"position.disgap","Type","LateralAcc"
-195,"Max",-0.492974581395856
-185,"Max",-0.490805549714395
-175,"Max",-0.567161736590718
-165,"Max",-1.18041115645643
-155,"Max",-1.13755190449659
-145,"Max",-0.573454105996047
-135,"Max",-0.587832055734412
-125,"Max",-0.97473715780717
-115,"Max",-0.670203876283765
-105,"Max",-0.91988050689865
-95,"Max",-1.16863035987121
-85,"Max",-0.659416632341018
-75,"Max",-1.09774839175666
-65,"Max",-1.23066763350936
-55,"Max",-1.05832787466903
-45,"Max",-0.924612009171486
-35,"Max",-0.647730305894311
-25,"Max",-0.649013259514472
-15,"Max",-1.48377158415665
-5,"Max",-0.706882301505343
5,"Max",-3.56683420242299
15,"Max",-0.729058753083699
25,"Max",-1.26343675203418
35,"Max",-1.25237952410374
45,"Max",-0.711823675066277
55,"Max",-0.676421819973938
65,"Max",-0.0214110256589581
75,"Max",-0.0102413615326754
85,"Max",-0.0116273376586083
95,"Max",-0.00876518100705887
105,"Max",0.00242175107580669
115,"Max",-0.00565398818362277
125,"Max",-0.00387220621343323
135,"Max",0.00130642707955663
145,"Max",-0.0178431349054295
155,"Max",-0.0340694689177981
165,"Max",-0.0128803320805889
175,"Max",-0.00838306585764126
185,"Max",0.00390143140848531
195,"Max",-0.00606590139445931
-195,"P85",-0.503637769167671
-185,"P85",-0.510517014810968
-175,"P85",-0.594803708177555
-165,"P85",-1.7431201133909
-155,"P85",-1.29428349644767
-145,"P85",-1.21724097150988
-135,"P85",-0.772124669064113
-125,"P85",-1.08399806534127
-115,"P85",-1.22944443399273
-105,"P85",-1.51690218816442
-95,"P85",-2.07803962776009
-85,"P85",-0.916502577775151
-75,"P85",-1.1190834726256
-65,"P85",-1.30272501779952
-55,"P85",-1.16184447683715
-45,"P85",-1.20172983845799
-35,"P85",-1.5361040854428
-25,"P85",-1.16125799561317
-15,"P85",-2.12963519667412
-5,"P85",-1.50064920634851
5,"P85",-4.99389496586317
15,"P85",-1.12093698631643
25,"P85",-1.39171338228306
35,"P85",-1.53741867190845
45,"P85",-1.02847434716332
55,"P85",-0.728823447869998
65,"P85",-0.0228142087277307
75,"P85",-0.0113837762344758
85,"P85",-0.0204258269311661
95,"P85",-0.0162372931938723
105,"P85",-0.00369074175944802
115,"P85",-0.0210708719780178
125,"P85",-0.0204354231844028
135,"P85",-0.0141723933360989
145,"P85",-0.0348012767415797
155,"P85",-0.0537189592241958
165,"P85",-0.0783928163664338
175,"P85",-0.0091670155600755
185,"P85",-0.00512357679461984
195,"P85",-0.522103313009287
-195,"Median",-0.713118743373329
-185,"Median",-0.578327357667549
-175,"Median",-1.08097048048782
-165,"Median",-3.72106711463134
-155,"Median",-3.23560663567638
-145,"Median",-2.74318699972738
-135,"Median",-1.22790441392943
-125,"Median",-3.53024435238546
-115,"Median",-1.99369547426433
-105,"Median",-3.39582032666965
-95,"Median",-3.07444615449111
-85,"Median",-1.99638546996684
-75,"Median",-1.93761985337584
-65,"Median",-1.51571412332432
-55,"Median",-1.6549613943567
-45,"Median",-1.60999861956925
-35,"Median",-1.96410841336019
-25,"Median",-1.69360532306231
-15,"Median",-3.70964235680824
-5,"Median",-2.65495111250449
5,"Median",-6.25264339917815
15,"Median",-3.10887002651055
