"position.disgap","Type","LateralAcc"
-195,"Max",-0.0012369384543477
-185,"Max",0
-175,"Max",-0.000801864675318164
-165,"Max",-0.511652396230841
-155,"Max",-1.98258989856663
-145,"Max",-0.591011633298662
-135,"Max",-0.9530362178297
-125,"Max",-1.11879537455913
-115,"Max",-1.12690353126103
-105,"Max",-1.14592791274121
-95,"Max",-1.32339818658904
-85,"Max",-0.948048760862076
-75,"Max",-1.64436732175042
-65,"Max",-0.992846557489487
-55,"Max",-1.18018424990073
-45,"Max",-2.50101474182981
-35,"Max",-0.923144084357766
-25,"Max",-1.02462864345498
-15,"Max",-1.11786662297894
-5,"Max",-1.10598186353102
5,"Max",-0.641043229455105
15,"Max",-1.28202347142415
25,"Max",-1.27777052587915
35,"Max",-1.39105021612032
45,"Max",-0.765944982945562
55,"Max",-0.668308495466545
65,"Max",-0.792386041706364
75,"Max",-0.627393557991213
85,"Max",-0.682507901235555
95,"Max",-0.585278616507222
105,"Max",0.0166644792099429
115,"Max",-0.729294481731078
125,"Max",-0.613035487167277
135,"Max",-0.688900264446924
145,"Max",-0.717756721045995
155,"Max",-0.661228576389992
165,"Max",-0.722943414825772
175,"Max",-0.746990517291136
185,"Max",-0.787282809050026
195,"Max",-0.774381556898572
-195,"P85",-0.00184389168815516
-185,"P85",0
-175,"P85",-0.0011523568934365
-165,"P85",-0.552281335236571
-155,"P85",-1.98805223869821
-145,"P85",-0.642308275836894
-135,"P85",-1.11981279602591
-125,"P85",-1.16801392268661
-115,"P85",-1.28915568178085
-105,"P85",-1.3857955938848
-95,"P85",-1.44187215072116
-85,"P85",-1.21919909836293
-75,"P85",-1.6812272637769
-65,"P85",-1.22534606540771
-55,"P85",-1.27232048865474
-45,"P85",-2.51832427450539
-35,"P85",-1.0616391431738
-25,"P85",-1.2364848738344
-15,"P85",-1.21176958520683
-5,"P85",-1.14530703975498
5,"P85",-0.714760311109481
15,"P85",-1.29012005832244
25,"P85",-1.36187772760117
35,"P85",-1.69655540287945
45,"P85",-0.972157916243594
55,"P85",-1.95217270332857
65,"P85",-0.945618305049572
75,"P85",-0.654721741846812
85,"P85",-0.695333506506795
95,"P85",-0.66894367790485
105,"P85",-0.524172618101675
115,"P85",-0.747212321998196
125,"P85",-0.705368988598135
