"position.disgap","Type","LateralAcc"
-195,"Max",-1.77856426148907
-185,"Max",-1.35334865598598
-175,"Max",-1.78332125777966
-165,"Max",-1.08315062332331
-155,"Max",-1.34104980309159
-145,"Max",-1.79201321271779
-135,"Max",-0.784651395712251
-125,"Max",-0.000226524248014117
-115,"Max",-0.00217341518571255
-105,"Max",-0.00107046582153904
-95,"Max",-2.76432662936356
-85,"Max",-0.00014960962687225
-75,"Max",-0.00277587159278126
-65,"Max",-0.0159367718585025
-55,"Max",-0.00178623455315992
-45,"Max",-0.00358134393095753
-35,"Max",-0.00157648209034443
-25,"Max",-0.0109796326850531
-15,"Max",0
-5,"Max",-0.00238273231925355
5,"Max",0
15,"Max",-0.000529072233036508
25,"Max",-0.00704535757584568
35,"Max",0
45,"Max",-0.00379988336089037
55,"Max",-1.41181005147874
65,"Max",-0.000991681578639987
75,"Max",-0.000364849147710732
85,"Max",-0.000297423574699862
95,"Max",-0.00184930628397956
105,"Max",-0.00133675294303314
115,"Max",-0.000298125090262975
125,"Max",0
135,"Max",-1.40663253047639
145,"Max",-0.00296925058437529
155,"Max",0
165,"Max",-0.00035245464514106
175,"Max",-0.000715494860987305
185,"Max",0
195,"Max",-1.84892565007945
-195,"P85",-1.8025241385818
-185,"P85",-1.63351966968779
-175,"P85",-1.83336607030764
-165,"P85",-1.25453655294022
-155,"P85",-1.61984595568284
-145,"P85",-1.81256202877796
-135,"P85",-1.13719516536713
-125,"P85",-0.00377726553069642
-115,"P85",-0.00245727709201256
-105,"P85",-1.08071054493684
-95,"P85",-4.47987101988753
-85,"P85",-0.00199783956730147
-75,"P85",-0.00504148440038705
-65,"P85",-0.683282735202318
-55,"P85",-0.822849530472222
-45,"P85",-1.10141215318097
-35,"P85",-0.00626302157850659
-25,"P85",-1.1260227523545
-15,"P85",-0.848962268794516
-5,"P85",-0.00238426172171101
5,"P85",-1.1320669369745
15,"P85",-0.000655149466158618
25,"P85",-0.00837380062355696
35,"P85",-0.00169582705167164
45,"P85",-0.00917815255179294
55,"P85",-1.67035288814987
65,"P85",-1.10595652893999
75,"P85",-1.106936259147
85,"P85",-0.00138150369154454
95,"P85",-1.10807476538004
105,"P85",-0.845773796008879
115,"P85",-1.13602051853825
125,"P85",-0.0069487739667503
135,"P85",-1.67222438488582
145,"P85",-0.478427788967232
155,"P85",-1.10954336999581
165,"P85",-0.000510910234186685
175,"P85",-0.000897702131764916
185,"P85",-1.13135305135806
195,"P85",-4.13167613377872
-195,"Median",-1.86496187547907
-185,"Median",-1.86567657339527
-175,"Median",-2.73129000690051
-165,"Median",-1.78558096917264
-155,"Median",-1.82768525593753
-145,"Median",-1.82866279320723
-135,"Median",-1.40294724796861
-125,"Median",-0.00654690915805652
-115,"Median",-1.79677550765086
-105,"Median",-1.81402749069152
-95,"Median",-10.3428630876301
-85,"Median",-1.80450817402882
-75,"Median",-1.80887633902935
-65,"Median",-5.52719659547391
-55,"Median",-1.84618245903251
