"position.disgap","Type","LateralAcc"
-195,"Max",-5.5963052697409
-185,"Max",-2.94377555739942
-175,"Max",-2.94653573694774
-165,"Max",-4.43875115055215
-155,"Max",-3.87399628021785
-145,"Max",-1.9775917716128
-135,"Max",-2.78928487490974
-125,"Max",-4.65253995766465
-115,"Max",-2.91964994000423
-105,"Max",-1.92845650032509
-95,"Max",-4.31760669333872
-85,"Max",-5.84131510388388
-75,"Max",-3.81866351645019
-65,"Max",-4.29323924534422
-55,"Max",-3.85832738515657
-45,"Max",-3.70449582303671
-35,"Max",-2.77971965651706
-25,"Max",-3.77276381319181
-15,"Max",-2.78177919106697
-5,"Max",-3.85907668379363
5,"Max",-3.85544509637414
15,"Max",-5.60652340388933
25,"Max",-2.99391417948738
35,"Max",-2.79108564917237
45,"Max",-2.78440875899967
55,"Max",-5.73517206122466
65,"Max",-3.68801587086549
75,"Max",-2.85703890774344
85,"Max",-1.85626087526366
95,"Max",-3.85451027141425
105,"Max",-1.8285510887026
115,"Max",-5.66050958277237
125,"Max",-3.8467787339947
135,"Max",-4.32455293271678
145,"Max",-3.62691136422346
155,"Max",-1.96624073492304
165,"Max",-2.94220780355863
175,"Max",-3.71830898436571
185,"Max",-1.81311180374361
195,"Max",-3.7183572004425
-195,"P85",-5.70408628562499
-185,"P85",-3.41250291487675
-175,"P85",-4.53169124608761
-165,"P85",-5.12287621412668
-155,"P85",-3.89359554368627
-145,"P85",-3.12985475846923
-135,"P85",-3.44885649179156
-125,"P85",-5.19959007809797
-115,"P85",-3.39137220471613
-105,"P85",-1.93932268411012
-95,"P85",-5.19892592415273
-85,"P85",-9.22634478636261
-75,"P85",-4.92021036822844
-65,"P85",-6.15805770480869
-55,"P85",-3.8745462906514
-45,"P85",-6.14093769925493
-35,"P85",-2.81223452601329
-25,"P85",-3.82404833518148
-15,"P85",-3.50552444247047
-5,"P85",-3.93720887474702
5,"P85",-6.55151908032799
15,"P85",-5.71183445086207
25,"P85",-3.51251153997784
35,"P85",-4.4754353060464
45,"P85",-2.85118961547032
55,"P85",-9.7961974161624
65,"P85",-4.81482608762195
75,"P85",-3.46268271699291
85,"P85",-1.88378439060135
95,"P85",-4.84114461782174
105,"P85",-2.46413187349714
115,"P85",-6.63941179830593
125,"P85",-4.19964166331845
135,"P85",-5.11530324786266
145,"P85",-3.68121635703926
155,"P85",-3.0381425458254
165,"P85",-4.43806064279175
175,"P85",-4.74969422697733
185,"P85",-2.95657199626892
195,"P85",-3.93670580635484
-195,"Median",-5.90851844052949
-185,"Median",-4.43604303022546
-175,"Median",-5.91898909511045
-165,"Median",-5.79425856957238
-155,"Median",-5.57440686778541
-145,"Median",-7.75970846924012
-135,"Median",-3.95715637538627
-125,"Median",-5.78548939745378
-115,"Median",-3.85732659825038
-105,"Median",-3.97538074842892
-95,"Median",-5.96870640395873
-85,"Median",-11.9420446399144
-75,"Median",-5.84118605131862
-65,"Median",-7.7806139090476
-55,"Median",-5.7106942918281
-45,"Median",-11.5760015228317
-35,"Median",-3.86213193209074
-25,"Median",-5.81986669704173
-15,"Median",-5.65160512885474
-5,"Median",-5.62724084429389
5,"Median",-11.9680019306376
15,"Median",-5.98645245240927
25,"Median",-4.31839476333373
35,"Median",-5.75207502876167
45,"Median",-3.70967098995575
55,"Median",-15.7656470421226
65,"Median",-5.71645629766648
75,"Median",-4.17523093863228
85,"Median",-3.9581579082217
95,"Median",-5.56332441551642
105,"Median",-5.9283515328232
115,"Median",-11.5300835774255
125,"Median",-5.63803225241734
135,"Median",-7.87225213232677
145,"Median",-3.84107982958541
155,"Median",-3.83543295629164
165,"Median",-5.5776888851099
175,"Median",-7.8347686388698
185,"Median",-3.91293422924265
195,"Median",-11.4766524130897
-195,"Avg",-8.14299609912249
-185,"Avg",-4.53881835072662
-175,"Avg",-6.52794586534215
-165,"Avg",-6.27669249724969
-155,"Avg",-8.75638114433108
-145,"Avg",-6.89964034787298
-135,"Avg",-4.9719001702908
-125,"Avg",-7.06307049591612
-115,"Avg",-3.66196559365861
-105,"Avg",-3.83855582860743
-95,"Avg",-7.39632209588156
-85,"Avg",-23.0692055919219
-75,"Avg",-8.41373507051824
-65,"Avg",-15.2323287879154
-55,"Avg",-5.96695789868464
-45,"Avg",-10.3650630973778
-35,"Avg",-6.43912065339878
-25,"Avg",-6.11192666715301
-15,"Avg",-8.59748785492821
-5,"Avg",-8.59793890175313
5,"Avg",-11.2963220195528
15,"Avg",-9.6762652036928
25,"Avg",-6.51691756864769
