"position.disgap","Type","LateralAcc"
-195,"Max",0
-185,"Max",0
-175,"Max",-0.00176421442135489
-165,"Max",-0.00175719924656474
-155,"Max",-1.70725547854326
-145,"Max",-1.90359445483205
-135,"Max",-0.921142395018566
-125,"Max",-1.14277287627022
-115,"Max",0
-105,"Max",-0.00735386155332163
-95,"Max",-1.33501436773358
-85,"Max",-0.00131589722878768
-75,"Max",-1.33658118405234
-65,"Max",0
-55,"Max",-1.75392354227755
-45,"Max",-1.74356440894635
-35,"Max",0
-25,"Max",-1.11135963021007
-15,"Max",-1.74692901686765
-5,"Max",-1.74047532066995
5,"Max",-15.3404389991625
15,"Max",-1.8551883175479
25,"Max",-5.22285964077536
35,"Max",-4.17755214327756
45,"Max",-4.17878129423876
55,"Max",-1.92093354766303
65,"Max",-3.47032915677442
75,"Max",-5.19966993499853
85,"Max",-2.87674158528511
95,"Max",-1.86301598721736
105,"Max",-3.64790212303383
115,"Max",-3.83253663496501
125,"Max",-1.86165199079591
135,"Max",-4.30838452452937
145,"Max",-4.30592102671948
155,"Max",-3.45147967965412
165,"Max",-3.82557761860761
175,"Max",-3.82433986071073
185,"Max",-3.87711653395292
195,"Max",-5.16365094902023
-195,"P85",-0.00105739481953511
-185,"P85",-0.00173198276868393
-175,"P85",-0.766241415666298
-165,"P85",-0.00205504044536251
-155,"P85",-1.74433764415081
-145,"P85",-3.94554466434402
-135,"P85",-1.13796727426715
-125,"P85",-1.25298172453442
-115,"P85",-0.00113460861540008
-105,"P85",-0.00974893198723176
-95,"P85",-1.59043868678385
-85,"P85",-0.792051922992284
-75,"P85",-1.58923567641567
-65,"P85",-0.000792259241420007
-55,"P85",-1.77644950669908
-45,"P85",-1.74935656798296
-35,"P85",-0.00103863303643606
-25,"P85",-1.23006120266181
-15,"P85",-1.75003303695991
-5,"P85",-1.80872548182606
5,"P85",-15.890299006016
15,"P85",-2.82425222291449
25,"P85",-5.25771598819176
35,"P85",-4.93092195245678
45,"P85",-4.28041210248949
55,"P85",-3.89393373148709
65,"P85",-4.65593708671316
75,"P85",-5.35093286860061
85,"P85",-4.26851725990138
95,"P85",-3.08234088281245
105,"P85",-4.90965742140777
115,"P85",-4.81772043202458
125,"P85",-2.93759141442634
135,"P85",-4.93884038235831
145,"P85",-4.94424192977988
155,"P85",-3.61586264116335
165,"P85",-4.63488701867507
175,"P85",-4.63244787712202
185,"P85",-4.85694495054159
195,"P85",-6.39128872444333
-195,"Median",-0.00225376666604363
-185,"Median",-0.00300480830594433
-175,"Median",-1.77138993574548
-165,"Median",-1.70260066824393
-155,"Median",-1.77070973035366
-145,"Median",-17.4432304997729
-135,"Median",-1.76790579861173
-125,"Median",-1.71461613484835
-115,"Median",-0.00601038022211186
-105,"Median",-5.72141809525107
-95,"Median",-1.8420411281414
-85,"Median",-1.33409276191762
-75,"Median",-1.91052137958209
-65,"Median",-0.00168237026124626
-55,"Median",-5.21322728174676
