"position.disgap","Type","MinLateralSpeed"
-195,"Max",0.047809041195578
-185,"Max",0.157538986992895
-175,"Max",0.227749306553274
-165,"Max",0.0234258433660675
-155,"Max",0.0215486106866328
-145,"Max",-0.00913581863773457
-135,"Max",0.0465502440057462
-125,"Max",0.382948330256699
-115,"Max",0.378658913727004
-105,"Max",0.0747374258459254
-95,"Max",-0.260286045890143
-85,"Max",0.329386026653025
-75,"Max",0.521174594911613
-65,"Max",0.572920674064958
-55,"Max",0.463313952432017
-45,"Max",0.251069686153431
-35,"Max",0.276585785462149
-25,"Max",0.0360813934971106
-15,"Max",0.0947539246037032
-5,"Max",-0.00841200602436939
5,"Max",-0.459657325868059
15,"Max",-0.123936421215243
25,"Max",0.0500985185179455
35,"Max",0.0839882674274896
45,"Max",0.00180249781904768
55,"Max",0.0331154229227167
65,"Max",0.0665524602968199
75,"Max",0.11644709816995
85,"Max",0.163577880239481
95,"Max",0.11769064766107
105,"Max",0.132813442827934
115,"Max",0.139947440837195
125,"Max",-0.247499747582572
135,"Max",-0.257024892826615
145,"Max",-0.169663711452927
155,"Max",-0.0644844522760245
165,"Max",0.209461630560229
175,"Max",0.124683397270383
185,"Max",0.0657474089945684
195,"Max",0.148819176447469
-195,"P85",0.00673223028844755
-185,"P85",0.121347997844505
-175,"P85",0.0896418343623804
-165,"P85",0.00143676059399292
-155,"P85",-0.0433571532396799
-145,"P85",-0.0497725784857568
-135,"P85",-0.0136900287331798
-125,"P85",-0.016240929461868
-115,"P85",-0.0167041569921247
-105,"P85",-0.200473888732019
-95,"P85",-0.367357776173093
-85,"P85",-0.207631831024228
-75,"P85",0.125024921393994
-65,"P85",-0.434448607596888
-55,"P85",-0.551490678278397
-45,"P85",0.197954977707818
-35,"P85",0.0607633304232269
-25,"P85",0.0195394715325378
-15,"P85",0.0909991541741148
-5,"P85",-0.00986260125839068
5,"P85",-0.479668085557063
15,"P85",-0.148306944263916
25,"P85",0.0338577493283352
35,"P85",0.0490459368051612
45,"P85",-0.0130800868112755
55,"P85",-0.0195127148245056
65,"P85",0.0303918088579986
75,"P85",0.0742855531471334
85,"P85",0.122404091947651
95,"P85",0.0666882163587925
105,"P85",0.108490656570783
115,"P85",0.134711430760967
125,"P85",-0.294576239302463
135,"P85",-0.282175475512889
145,"P85",-0.180485325026706
155,"P85",-0.111413758200884
165,"P85",0.124981601996221
175,"P85",0.102345569569182
185,"P85",0.0591343960882869
195,"P85",0.132969209177303
-195,"Median",-0.284167540516214
-185,"Median",-0.221462928687796
-175,"Median",-0.123168463972754
-165,"Median",-0.0764401602450068
-155,"Median",-0.164375050919815
-145,"Median",-0.263902759507455
-135,"Median",-0.277478025122464
-125,"Median",-0.398602910944031
-115,"Median",-0.463607206366062
-105,"Median",-0.443391157906403
-95,"Median",-0.593292884990461
-85,"Median",-0.65894401646825
-75,"Median",-0.774897681286159
-65,"Median",-0.980405097983816
-55,"Median",-0.995575499552037
-45,"Median",-0.465412779747607
-35,"Median",-0.452573345404101
-25,"Median",-0.139363841039659
-15,"Median",-0.331498812446486
-5,"Median",-0.334504760591632
5,"Median",-0.635815197555347
15,"Median",-0.171734758883943
25,"Median",-0.0450751707881331
35,"Median",-0.0196935520613877
45,"Median",-0.0494599936026859
55,"Median",-0.105933576863749
65,"Median",-0.116116158327638
75,"Median",-0.0585337361281738
85,"Median",-0.0355394343803642
95,"Median",0.0404281913338591
105,"Median",0.038159497229941
115,"Median",0.0732837605847124
125,"Median",-0.337214680457797
135,"Median",-0.302403645372057
145,"Median",-0.241201198056367
155,"Median",-0.18562998133447
165,"Median",-0.0681763628834458
175,"Median",-0.00260129771516252
185,"Median",0.0535129325692141
195,"Median",0.0204090699457755
-195,"Avg",-0.264381297207031
-185,"Avg",-0.190314316893468
-175,"Avg",-0.137673931110485
-165,"Avg",-0.17828930869286
-155,"Avg",-0.237515409787194
