"position.disgap","Type","MinLateralSpeed"
-195,"Max",0.29004696955748
-185,"Max",0.236167406324133
-175,"Max",0.188518865313519
-165,"Max",0.132624131615948
-155,"Max",0.104648388417645
-145,"Max",0.0206036007222891
-135,"Max",-0.00719905557199722
-125,"Max",0.252150445038771
-115,"Max",0.307700772222438
-105,"Max",0.391049801269943
-95,"Max",0.41949684417041
-85,"Max",0.24206637819675
-75,"Max",0.0655908960464857
-65,"Max",0.0515154929095064
-55,"Max",-0.177879073750589
-45,"Max",-0.150761236300641
-35,"Max",-0.0692321971856448
-25,"Max",-0.0146763510204034
-15,"Max",0.0128589328898878
-5,"Max",0.0963521768009728
5,"Max",0.149791828036349
15,"Max",-0.0234870400224092
25,"Max",0.00411392522849904
35,"Max",0.0607976918215139
45,"Max",0.117517605574836
55,"Max",-0.0596620482767033
65,"Max",-0.0313069668171403
75,"Max",-0.0256420794893153
85,"Max",0.00273542101954631
95,"Max",0.0594955625877779
105,"Max",-0.142743254975872
115,"Max",-0.0873770985823107
125,"Max",-0.031965085419787
135,"Max",0.0240344639503705
145,"Max",0.108141642200322
155,"Max",-0.0655739716717553
165,"Max",-0.0370733455098053
175,"Max",0.0189680429596182
185,"Max",0.0756547489542687
195,"Max",0.131982834823465
-195,"P85",0.138835456994134
-185,"P85",0.10050023062161
-175,"P85",0.18472567783284
-165,"P85",0.129976699103304
-155,"P85",0.0863138646703795
-145,"P85",0.0203286544285735
-135,"P85",-0.0072489507933152
-125,"P85",0.0964888107327599
-115,"P85",0.0135132432621337
-105,"P85",0.0650771700548
-95,"P85",0.106391018534947
-85,"P85",0.0860110532958053
-75,"P85",-0.151853345847151
-65,"P85",-0.134739886955308
-55,"P85",-0.19630523974678
-45,"P85",-0.152342505150198
-35,"P85",-0.086535573056407
-25,"P85",-0.031479509734267
-15,"P85",0.0127335860270186
-5,"P85",0.0954302845839187
5,"P85",0.0121640033400208
15,"P85",-0.0404261365308786
25,"P85",0.00407800773603839
35,"P85",0.0602790365151172
45,"P85",-0.00437556844981535
55,"P85",-0.0752474299904312
65,"P85",-0.044094455302431
75,"P85",-0.041850237602752
85,"P85",-0.134405088172077
95,"P85",-0.0950198691320797
105,"P85",-0.142856100730693
115,"P85",-0.0874537838362828
125,"P85",-0.032230766894972
135,"P85",0.0238912317314286
145,"P85",0.09173347616929
155,"P85",-0.0818610470429714
165,"P85",-0.0373025777525302
175,"P85",0.0189473695089942
185,"P85",0.0755667354814111
195,"P85",0.130476541071484
-195,"Median",0.0362833871272058
-185,"Median",-0.0171328572279342
-175,"Median",-0.0706857169556161
-165,"Median",-0.124423886006598
-155,"Median",-0.178233781584774
-145,"Median",0.0199256021435893
-135,"Median",-0.00729052932586846
-125,"Median",-0.214608323285554
-115,"Median",-0.205930584381354
-105,"Median",-0.153393275288083
-95,"Median",-0.39335484842329
-85,"Median",-0.366443329110206
-75,"Median",-0.312945214860732
-65,"Median",-0.263580292680614
-55,"Median",-0.210241082899937
-45,"Median",-0.154809453191811
-35,"Median",-0.324871610972961
-25,"Median",-0.297548823681378
-15,"Median",-0.215665553894235
-5,"Median",-0.164568960559884
5,"Median",-0.109096644935052
15,"Median",-0.0525276512532502
25,"Median",0.00399258717665048
35,"Median",0.0590369500396295
45,"Median",-0.142727454083328
55,"Median",-0.0876102152037254
65,"Median",-0.110266226486069
75,"Median",-0.0533641280918352
85,"Median",-0.228854382885458
95,"Median",-0.1982175036821
105,"Median",-0.144768018141816
115,"Median",-0.0885958772986592
125,"Median",-0.0327424316645241
135,"Median",0.0234695497523783
145,"Median",-0.120112691526151
155,"Median",-0.0945097901752262
165,"Median",-0.0646590737299622
175,"Median",0.018822438941098
185,"Median",0.0744000518049061
195,"Median",0.0186209317573406
-195,"Avg",-0.053070265468941
-185,"Avg",-0.102059696955104
-175,"Avg",-0.104401597472149
-165,"Avg",-0.0830963571025146
-155,"Avg",-0.0726543553093512
-145,"Avg",-0.0707148142497166
-135,"Avg",-0.0577337753457373
-125,"Avg",-0.0927779709452271
-115,"Avg",-0.100612535895318
-105,"Avg",-0.0540119109834848
-95,"Avg",-0.185563367438597
-85,"Avg",-0.176984209085379
-75,"Avg",-0.235495184811692
-65,"Avg",-0.245500348144286
-55,"Avg",-0.253969178594258
-45,"Avg",-0.24567742715931
-35,"Avg",-0.237318703433426
-25,"Avg",-0.193137764364866
-15,"Avg",-0.126555401713173
-5,"Avg",-0.0711248822193822
5,"Avg",-0.148029944927131
15,"Avg",-0.149218134974371
25,"Avg",-0.0990190219825288
35,"Avg",-0.058746434563506
45,"Avg",-0.100100156864336
55,"Avg",-0.11217414841172
65,"Avg",-0.0934090621297459
75,"Avg",-0.0987775739174158
85,"Avg",-0.192803030263068
95,"Avg",-0.188619973287896
105,"Avg",-0.196475138236035
115,"Avg",-0.151854852158053
125,"Avg",-0.158054822664732
135,"Avg",-0.101965103960638
145,"Avg",-0.0800348252844365
155,"Avg",-0.121828569252396
165,"Avg",-0.0769732276442016
175,"Avg",0.0187832473307323
185,"Avg",0.00637556742205486
195,"Avg",0.0117656094187528
-195,"Min",-0.314859140134877
-185,"Min",-0.369738219095884
-175,"Min",-0.42470482477353
-165,"Min",-0.424863427058085
-155,"Min",-0.181942710757197
-145,"Min",-0.232266539569503
-135,"Min",-0.259451201234212
-125,"Min",-0.259541616338334
-115,"Min",-0.214608323285554
-105,"Min",-0.196952811539256
-95,"Min",-0.455553916978917
-85,"Min",-0.373490027777738
-75,"Min",-0.318528609908978
-65,"Min",-0.487865092364639
-55,"Min",-0.460667136490784
-45,"Min",-0.406612059777565
-35,"Min",-0.35970557847685
-25,"Min",-0.306518491480396
-15,"Min",-0.222083258437358
-5,"Min",-0.193873652117228
5,"Min",-0.360459210841239
15,"Min",-0.31264236669337
25,"Min",-0.256467731452972
35,"Min",-0.273216947799257
45,"Min",-0.245663949247672
55,"Min",-0.190639833206375
65,"Min",-0.137320960905544
75,"Min",-0.30841667666986
85,"Min",-0.258844839636441
95,"Min",-0.405600213699656
105,"Min",-0.405639502304406
115,"Min",-0.406276562055761
125,"Min",-0.406203247672632
135,"Min",-0.34959883090195
