"position.disgap","Type","MinLateralSpeed"
-195,"Max",0.0833304866227625
-185,"Max",0.083294681212824
-175,"Max",0.0863824865609058
-165,"Max",0.0864425217500039
-155,"Max",0.0865122329755801
-145,"Max",0.0894421260898532
-135,"Max",0.0894805696564522
-125,"Max",0.0895047777725037
-115,"Max",0.0895649569374262
-105,"Max",0.0896231726246917
-95,"Max",0.0896740296978735
-85,"Max",0.0897343142404297
-75,"Max",0.0897914631234804
-65,"Max",0.330019531481807
-55,"Max",0.330145270112384
-45,"Max",0.330304582665228
-35,"Max",0.330523161231104
-25,"Max",0.330679426452578
-15,"Max",0.330869142227726
-5,"Max",0.331061491193851
5,"Max",-0.0428356767600052
15,"Max",-0.0140490653288649
25,"Max",-0.039294862488839
35,"Max",-0.03930731888173
45,"Max",-0.0129160443036002
55,"Max",0.0135586777964443
65,"Max",-0.0387501755780721
75,"Max",0.13323598343755
85,"Max",0.133430183135011
95,"Max",0.13355566306132
105,"Max",-0.0126745382542362
115,"Max",-0.0126624142635906
125,"Max",0.0140272680214636
135,"Max",0.0132576587518394
145,"Max",0.0137277288313137
155,"Max",0.0140653369185744
165,"Max",0.01323657322499
175,"Max",-0.0126221685961022
185,"Max",-0.0126180793653382
195,"Max",0.0132209170772219
-195,"P85",0.0830172325372778
-185,"P85",0.0811757236954145
-175,"P85",0.0845139864891188
-165,"P85",0.0845007434045481
-155,"P85",0.0685764349742376
-145,"P85",0.0856339087653094
-135,"P85",0.0856258159363338
-125,"P85",0.0855864802857736
-115,"P85",0.0842794352200332
-105,"P85",-0.0469320473289307
-95,"P85",-0.129866084807159
-85,"P85",-0.0495244528836995
-75,"P85",0.0880532078357528
-65,"P85",0.184173274163569
-55,"P85",0.184227957790619
-45,"P85",0.184322078155442
-35,"P85",0.184435483860032
-25,"P85",0.184513824803814
-15,"P85",0.184615684907588
-5,"P85",0.184707239648381
5,"P85",-0.188776010256259
15,"P85",-0.145751116425624
25,"P85",-0.117101835044796
35,"P85",-0.0573048907589167
45,"P85",-0.0467565298757156
55,"P85",-0.0027380039610215
65,"P85",-0.055117914965887
75,"P85",0.115921507741076
85,"P85",0.131561814884731
95,"P85",0.13153723754286
105,"P85",-0.0128922539523894
115,"P85",-0.0289213274779062
125,"P85",0.0138321208756528
135,"P85",-0.00255045888002752
145,"P85",-0.00255479620295685
155,"P85",0.0135740073056276
165,"P85",-0.00276359343662132
175,"P85",-0.0131137011112618
185,"P85",-0.0296474719404737
195,"P85",-0.00279267965982095
-195,"Median",0.0796669541386876
-185,"Median",-0.141283341793676
-175,"Median",0.0799024871073012
-165,"Median",0.08003471964636
-155,"Median",0.0546626412809551
-145,"Median",-0.136798418596872
-135,"Median",0.080436205559
-125,"Median",0.0805995347081427
-115,"Median",-0.141238272200551
-105,"Median",-0.281786939108148
-95,"Median",-0.281763235651936
-85,"Median",-0.276643689988255
-75,"Median",0.083712097448596
-65,"Median",0.0838754989977822
-55,"Median",0.0840558353787284
-45,"Median",0.0842553581995791
-35,"Median",0.0843683271144321
-25,"Median",0.0845341255345344
-15,"Median",0.0846566647384928
-5,"Median",0.084779223751005
5,"Median",-0.294325770989523
15,"Median",-0.246732287983647
25,"Median",-0.274721003978393
35,"Median",-0.313092900783636
45,"Median",-0.257350519267214
55,"Median",-0.230916925641311
65,"Median",-0.247074093304259
75,"Median",-0.247200733403254
85,"Median",-0.242218406001271
95,"Median",-0.219456143886113
105,"Median",-0.242599024939286
