"position.disgap","Type","LongitudinalAcc"
-195,"Max",0.45284096769075
-185,"Max",0.907014712454204
-175,"Max",0.440237343628508
-165,"Max",0.442186673684576
-155,"Max",0.301889046710464
-145,"Max",0.434722581112856
-135,"Max",0.431444063342702
-125,"Max",0.894320339125524
-115,"Max",0.903026000507161
-105,"Max",1.08737403959398
-95,"Max",1.25668410559494
-85,"Max",1.19268315719888
-75,"Max",1.11798467797191
-65,"Max",1.02933488799783
-55,"Max",1.49063794434779
-45,"Max",1.05387874612583
-35,"Max",1.76552523302594
-25,"Max",1.21925389422534
-15,"Max",1.0248417167984
-5,"Max",1.07906768903608
5,"Max",1.08453788096384
15,"Max",2.06066020717347
25,"Max",2.14228666967201
35,"Max",1.0942773234725
45,"Max",1.2075509642906
55,"Max",1.76343228663445
65,"Max",1.04072472320674
75,"Max",1.11677306653797
85,"Max",1.04708076558728
95,"Max",0.893716650255759
105,"Max",0.923182692679709
115,"Max",1.35503937460301
125,"Max",1.35575714724753
135,"Max",0.906014171792875
145,"Max",1.3602504666146
155,"Max",0.914317620077738
165,"Max",1.7076159152944
175,"Max",0.893704591563078
185,"Max",1.32759011473741
195,"Max",0.893750465986579
-195,"P85",0.445141527243083
-185,"P85",0.229620819287477
-175,"P85",0.214524168345146
-165,"P85",0.204630650025155
-155,"P85",0.195775993486191
-145,"P85",0.239426605272886
-135,"P85",0.216773371408359
-125,"P85",0.601956006249926
-115,"P85",0.893814524118267
-105,"P85",0.93895182714828
-95,"P85",1.20506672420773
-85,"P85",1.07698315229242
-75,"P85",1.06613825780014
-65,"P85",0.956038918785509
-55,"P85",1.16617827809529
-45,"P85",1.04070719128487
-35,"P85",1.20562051522764
-25,"P85",0.982338078299016
-15,"P85",0.932980269618354
-5,"P85",1.0387158467073
5,"P85",1.03890011740965
15,"P85",1.29453103901662
25,"P85",1.30651110116395
35,"P85",1.08977522372253
45,"P85",1.10886784501395
55,"P85",1.36080788697638
65,"P85",0.97065394248234
75,"P85",1.06007771946353
85,"P85",1.03051896462409
95,"P85",0.891720769411358
105,"P85",0.90806750595593
115,"P85",1.10926752124
125,"P85",1.20068165235967
135,"P85",0.902296453388016
145,"P85",1.13083222971255
155,"P85",0.914267454364228
165,"P85",1.10989710927668
175,"P85",0.889736697380334
185,"P85",0.998935958477757
195,"P85",0.805067790257247
-195,"Median",0.177624076436286
-185,"Median",0
-175,"Median",0.0983212051816987
-165,"Median",0
-155,"Median",0.131164711796871
-145,"Median",0.00671504083095731
-135,"Median",0.0723178504859271
-125,"Median",0.00139771143971762
-115,"Median",0.32903562295769
-105,"Median",0.482049017910403
-95,"Median",0.403063069703245
-85,"Median",0.828268976782256
-75,"Median",0.678538255184428
-65,"Median",0.541007279621154
-55,"Median",0.598853102376811
-45,"Median",0.673732183542977
-35,"Median",0.867251866325332
-25,"Median",0.716990933065697
-15,"Median",0.787452284095301
-5,"Median",0.885176180305965
5,"Median",0.908217085005407
15,"Median",0.983017642431739
25,"Median",0.993967829828579
35,"Median",1.04809642123539
45,"Median",1.01035307836525
55,"Median",1.19335836713901
65,"Median",0.9103355193758
75,"Median",0.970975653718453
85,"Median",0.832197853233495
95,"Median",0.842099321416724
105,"Median",0.892811214153197
115,"Median",0.909616715239363
125,"Median",0.89836464935908
135,"Median",0.864679461173682
145,"Median",0.855481687900743
155,"Median",0.907806111362479
165,"Median",0.896474689697252
175,"Median",0.79750105515618
185,"Median",0.882603306438079
195,"Median",0.747925057807358
-195,"Avg",0.212523024815908
-185,"Avg",0.151806261225462
-175,"Avg",0.129886350176648
-165,"Avg",0.0946053304149873
-155,"Avg",0.136363388979873
-145,"Avg",0.101701436214383
-135,"Avg",0.120825825720428
-125,"Avg",0.233419795390363
-115,"Avg",0.410008212111917
-105,"Avg",0.511182212599678
-95,"Avg",0.590279383422175
-85,"Avg",0.67499491414716
-75,"Avg",0.590846584821699
-65,"Avg",0.514745157775553
-55,"Avg",0.626565444983173
-45,"Avg",0.613658976817188
-35,"Avg",0.843337308472668
-25,"Avg",0.724874606755325
-15,"Avg",0.682966766564092
-5,"Avg",0.821956618023038
5,"Avg",0.792318895732135
15,"Avg",1.00709951618764
25,"Avg",1.09221948999214
35,"Avg",0.963599894774345
45,"Avg",0.911686935696295
55,"Avg",1.18929011765282
65,"Avg",0.85169653764501
75,"Avg",0.970159790202315
85,"Avg",0.863763079865362
95,"Avg",0.8097603915664
105,"Avg",0.858292641217375
115,"Avg",0.970153242365218
125,"Avg",0.937244708730729
135,"Avg",0.831575532813407
145,"Avg",0.915163095956548
155,"Avg",0.874385126422484
165,"Avg",0.939371497322761
175,"Avg",0.766664303293517
185,"Avg",0.933082321784076
195,"Avg",0.710214714284115
-195,"Min",0
-185,"Min",0
-175,"Min",0
