"position.disgap","Type","LongitudinalAcc"
-195,"Max",-0.00140902559550169
-185,"Max",0
-175,"Max",0
-165,"Max",0
-155,"Max",0
-145,"Max",0
-135,"Max",0
-125,"Max",0
-115,"Max",0
-105,"Max",0
-95,"Max",0
-85,"Max",0
-75,"Max",0
-65,"Max",-0.00179413894822434
-55,"Max",0
-45,"Max",-0.00055226769617939
-35,"Max",-0.000197005473741938
-25,"Max",0
-15,"Max",0
-5,"Max",0
5,"Max",0
15,"Max",-0.399963723181366
25,"Max",-0.399971007583355
35,"Max",-0.404607685111613
45,"Max",-0.383849176237086
55,"Max",-0.322663523101298
65,"Max",-0.00300296291499353
75,"Max",0.399744463312255
85,"Max",0.392523385753025
95,"Max",0
105,"Max",-0.0202827953337888
115,"Max",0.00997666032561481
125,"Max",0.32253619787159
135,"Max",-0.0366876615624409
145,"Max",0
155,"Max",0.285128878893971
165,"Max",0.318855151878292
175,"Max",0
185,"Max",0
195,"Max",0
-195,"P85",-0.0518849437192437
-185,"P85",-0.000807450457430316
-175,"P85",-0.00576273353941065
-165,"P85",-0.00332767905111578
-155,"P85",-0.00764101237962917
-145,"P85",-0.000612743234019166
-135,"P85",0
-125,"P85",0
-115,"P85",-0.0947181711097729
-105,"P85",0
-95,"P85",0
-85,"P85",0
-75,"P85",0
-65,"P85",-0.0102635881462698
-55,"P85",-0.0184946307013512
-45,"P85",-0.023269637696094
-35,"P85",-0.0318938534771669
-25,"P85",-0.0323778876105091
-15,"P85",-0.0331364157898831
-5,"P85",0
5,"P85",-0.249978378819954
15,"P85",-0.400057322043681
25,"P85",-0.402738805447382
35,"P85",-0.601116689153781
45,"P85",-0.595546068810515
55,"P85",-0.353193541119974
65,"P85",-0.303874864426624
75,"P85",-0.274926539488443
85,"P85",-0.170640223565027
95,"P85",-0.377000857178343
105,"P85",-0.314372489228136
115,"P85",-0.0497708062340072
125,"P85",0.0510938573439814
135,"P85",-0.0468736619771938
145,"P85",-0.246983074683256
155,"P85",0.0712822197234927
165,"P85",0.079713787969573
175,"P85",-0.00865677621892492
185,"P85",-0.00511660497544122
195,"P85",-0.0065976075834644
-195,"Median",-0.366648233099966
-185,"Median",-0.451875477143153
-175,"Median",-0.366898001968286
-165,"Median",-0.699956128801024
-155,"Median",-0.418230295246636
-145,"Median",-0.580519465576491
-135,"Median",-0.533297081670494
-125,"Median",-0.464418793367838
-115,"Median",-0.323009996255962
-105,"Median",-0.253981390499687
-95,"Median",-0.436490856272306
-85,"Median",-0.29551599419257
-75,"Median",-0.535416916403885
-65,"Median",-0.500641636563889
-55,"Median",-0.477307895874968
-45,"Median",-0.535202529807098
-35,"Median",-0.331660314820081
-25,"Median",-0.392840673354523
-15,"Median",-0.500339636169697
-5,"Median",-0.533479232658963
5,"Median",-0.572299832772819
15,"Median",-0.472049380061259
25,"Median",-0.585764904867866
35,"Median",-1.00704013170339
45,"Median",-0.833109499157132
55,"Median",-0.594687413820675
65,"Median",-0.509380937817758
75,"Median",-0.669877236858121
85,"Median",-0.539109834432726
95,"Median",-0.67913733901753
105,"Median",-0.579337934323882
115,"Median",-0.472954230122522
125,"Median",-0.449741090097239
135,"Median",-0.592019997953373
145,"Median",-0.56790483668334
155,"Median",-0.493105818267101
165,"Median",-0.536325698591554
175,"Median",-0.535517531780119
185,"Median",-0.588156997394616
195,"Median",-0.346672986607781
-195,"Avg",-0.356454665072872
-185,"Avg",-0.444936365329256
-175,"Avg",-0.346367426116376
-165,"Avg",-0.567390085891772
-155,"Avg",-0.363329829792232
-145,"Avg",-0.693640981888373
-135,"Avg",-0.455933890652228
-125,"Avg",-0.431945431726275
-115,"Avg",-0.323153593411338
-105,"Avg",-0.263269192217615
-95,"Avg",-0.423274187207052
-85,"Avg",-0.314691716485513
-75,"Avg",-0.456753431218091
-65,"Avg",-0.613877449221256
-55,"Avg",-0.410918496552271
-45,"Avg",-0.465987196817033
-35,"Avg",-0.398212849665794
-25,"Avg",-0.414960303112344
-15,"Avg",-0.441190402921098
-5,"Avg",-0.430803201023251
5,"Avg",-0.745848461799369
15,"Avg",-0.523615932862668
25,"Avg",-0.608789969975743
35,"Avg",-1.1804977634132
45,"Avg",-1.01060647772314
55,"Avg",-0.699198119674248
65,"Avg",-0.591564455276256
75,"Avg",-0.600065237570362
85,"Avg",-0.409208147579107
95,"Avg",-0.543293040465758
105,"Avg",-0.700708539217141
115,"Avg",-0.3953964342343
125,"Avg",-0.331444433380693
135,"Avg",-0.544872122678096
145,"Avg",-0.467661747034434
155,"Avg",-0.338959164495557
165,"Avg",-0.569981504863985
175,"Avg",-0.402544452877654
185,"Avg",-0.420213373532995
195,"Avg",-0.394522723360151
-195,"Min",-0.668060143721894
-185,"Min",-0.999996932211488
-175,"Min",-0.670058691739582
-165,"Min",-0.999996862072038
-155,"Min",-0.666666456583812
-145,"Min",-1.99999863073654
-135,"Min",-0.999933246719408
-125,"Min",-0.996171032126565
-115,"Min",-0.666615065628558
-105,"Min",-0.671653647963329
-95,"Min",-0.999998879016871
-85,"Min",-0.799999762293129
-75,"Min",-0.998982812785547
-65,"Min",-1.99805855583759
-55,"Min",-0.799622397431352
-45,"Min",-1.02745754159828
-35,"Min",-0.999995283567955
-25,"Min",-0.994751546655886
-15,"Min",-0.935615582400969
-5,"Min",-0.799942086864252
5,"Min",-1.99719411623573
15,"Min",-0.731520455216338
25,"Min",-0.999627365784249
35,"Min",-1.99931449488031
45,"Min",-2.01468312388157
55,"Min",-1.34217840616875
65,"Min",-1.4735396458975
75,"Min",-1.47954911236208
85,"Min",-0.718617362240261
95,"Min",-0.701444202868958
105,"Min",-1.92822923607954
115,"Min",-0.688307480256524
125,"Min",-0.696155355055972
135,"Min",-0.999176067885286
145,"Min",-0.674584383548239
155,"Min",-0.666651383570752
165,"Min",-1.99996157457858
175,"Min",-0.666637395316444
185,"Min",-0.671515428489804
195,"Min",-0.998936975380203
