"position.disgap","Type","LongitudinalAcc"
-195,"Max",-0.373303951774402
-185,"Max",-0.296769292967629
-175,"Max",-0.469386558581669
-165,"Max",-0.62595025505426
-155,"Max",-0.225780901419831
-145,"Max",-0.625189469561936
-135,"Max",-0.22868682292804
-125,"Max",-0.183860700570893
-115,"Max",-0.469183839639769
-105,"Max",-0.231583847968601
-95,"Max",-0.26322113386418
-85,"Max",-0.23486065682711
-75,"Max",-0.260853405641288
-65,"Max",-0.239225416855959
-55,"Max",-0.25066938682745
-45,"Max",-0.362902641987947
-35,"Max",-0.246337302777975
-25,"Max",-0.5177781351063
-15,"Max",-0.247649340046496
-5,"Max",-0.612407571452979
5,"Max",-0.274591620160923
15,"Max",-0.618967997752022
25,"Max",-0.619283288504462
35,"Max",-0.463059341582616
45,"Max",-0.248824771878966
55,"Max",-0.622025547614291
65,"Max",-0.251781179653181
75,"Max",-0.253070011078187
85,"Max",-0.254240530187383
95,"Max",-0.256091244342066
105,"Max",-0.257259133194762
115,"Max",-0.198836518670123
125,"Max",-0.258699267697673
135,"Max",-0.0307112448560356
145,"Max",-0.0185831983344711
155,"Max",-0.0444148544254523
165,"Max",-0.0110261520565876
175,"Max",-0.265988428169574
185,"Max",-0.275715382774673
195,"Max",-0.0348768666058025
-195,"P85",-0.525621831355688
-185,"P85",-0.493389634259161
-175,"P85",-0.556509072086451
-165,"P85",-0.655606918874961
-155,"P85",-0.465271732795852
-145,"P85",-0.625654629499669
-135,"P85",-0.466978383563151
-125,"P85",-0.450842731940126
-115,"P85",-0.555987590191557
-105,"P85",-0.233516797051317
-95,"P85",-0.319419784301913
-85,"P85",-0.237914516753864
-75,"P85",-0.376864998802801
-65,"P85",-0.242242680144131
-55,"P85",-0.472333673548753
-45,"P85",-0.50129080944035
-35,"P85",-0.470210845718458
-25,"P85",-0.524406495302338
-15,"P85",-0.376324118346004
-5,"P85",-0.615837091257979
5,"P85",-0.397382695973854
15,"P85",-0.686734695263131
25,"P85",-0.619844799756962
35,"P85",-0.630177262020344
45,"P85",-0.294946691280652
55,"P85",-0.699543145013527
65,"P85",-0.253008188836
75,"P85",-0.255374922979565
85,"P85",-0.256542287479103
95,"P85",-0.257530399755531
105,"P85",-0.258909583183423
115,"P85",-0.234633191062092
125,"P85",-0.259404598488167
135,"P85",-0.169196544811013
145,"P85",-0.163719650841052
155,"P85",-0.176345318054654
165,"P85",-0.163568197705912
175,"P85",-0.266640892685839
185,"P85",-0.35141814855006
195,"P85",-0.176766960403275
-195,"Median",-0.627747843711388
-185,"Median",-0.627273990024787
-175,"Median",-0.622161511162126
-165,"Median",-0.925670033813606
-155,"Median",-0.625073899712779
-145,"Median",-0.626364590044755
-135,"Median",-0.626471987453292
-125,"Median",-0.641859504372861
-115,"Median",-0.624727458584431
-105,"Median",-0.235999412370543
-95,"Median",-0.629708884499872
-85,"Median",-0.46685230519177
-75,"Median",-0.621756165310071
-65,"Median",-0.354540093604039
-55,"Median",-0.622031403116426
-45,"Median",-0.646756967488271
-35,"Median",-0.621313806713977
-25,"Median",-0.621935927264727
-15,"Median",-0.618753686620147
-5,"Median",-0.61878469510915
5,"Median",-0.61043784921806
15,"Median",-0.752813069333032
25,"Median",-0.866219130177684
35,"Median",-0.743808572287429
45,"Median",-0.46302904428479
55,"Median",-0.759675756363245
65,"Median",-0.255142348717873
75,"Median",-0.382074935082947
85,"Median",-0.272037169730302
95,"Median",-0.259834988124888
105,"Median",-0.614696565000931
115,"Median",-0.258909200606114
125,"Median",-0.261523966223129
135,"Median",-0.262713372240362
145,"Median",-0.262765712161344
155,"Median",-0.267896921444103
165,"Median",-0.265496531520175
175,"Median",-0.268503357110468
185,"Median",-0.603137073723141
195,"Median",-0.27742271213523
-195,"Avg",-0.623234143518136
-185,"Avg",-0.826956674538586
-175,"Avg",-0.590763372595578
-165,"Avg",-1.19401855392837
-155,"Avg",-0.545385039215085
-145,"Avg",-0.887802860843581
-135,"Avg",-0.589827466682257
-125,"Avg",-0.633061224376514
-115,"Avg",-0.63883382346365
-105,"Avg",-0.407633548637412
-95,"Avg",-0.550368522962692
-85,"Avg",-0.574285463337663
-75,"Avg",-0.630862729029466
-65,"Avg",-0.665316742835598
-55,"Avg",-0.586336031415604
-45,"Avg",-0.638025157538754
-35,"Avg",-0.600497443187427
-25,"Avg",-0.81656966923946
-15,"Avg",-0.587384063217098
-5,"Avg",-0.638449795477539
5,"Avg",-0.571136466301154
15,"Avg",-0.767421576962009
25,"Avg",-0.855713297675177
35,"Avg",-0.715070430798961
45,"Avg",-0.669937675849901
55,"Avg",-0.774397577625335
65,"Avg",-0.400525767654382
75,"Avg",-0.422965285741501
85,"Avg",-0.484198097020268
95,"Avg",-0.405615203404822
105,"Avg",-0.546909488510489
115,"Avg",-0.253548079558928
125,"Avg",-0.476484621796081
135,"Avg",-0.444469048306006
145,"Avg",-0.235761235733961
155,"Avg",-0.395406353996754
165,"Avg",-0.283749891821399
175,"Avg",-0.457528959799674
185,"Avg",-0.539998336187128
195,"Avg",-0.44574246527684
-195,"Min",-0.859006860556211
-185,"Min",-1.8674209333038
-175,"Min",-0.6248748230567
-165,"Min",-1.87513374447789
-155,"Min",-0.626009197743685
-145,"Min",-1.87827602393427
-135,"Min",-0.840122031265202
-125,"Min",-0.856838464409835
-115,"Min",-0.856846607327405
-105,"Min",-0.678893864789294
-95,"Min",-0.857234138944158
-85,"Min",-1.30808498933112
-75,"Min",-0.96324479790385
-65,"Min",-1.86667061329714
-55,"Min",-0.7203322945457
-45,"Min",-0.861758974928816
-35,"Min",-0.864782669071531
-25,"Min",-1.30020038840802
-15,"Min",-0.862571931850982
-5,"Min",-0.724090400648639
5,"Min",-0.868111640204066
15,"Min",-0.868614195849758
25,"Min",-1.30345645210367
35,"Min",-0.867493394869316
45,"Min",-1.84880920099201
55,"Min",-0.871182416538674
65,"Min",-0.871546264245246
75,"Min",-0.761261754010416
85,"Min",-0.857751021637723
95,"Min",-0.792574001939538
105,"Min",-0.805922100300216
115,"Min",-0.288927822052924
125,"Min",-0.807440749980539
135,"Min",-0.869214663071303
145,"Min",-0.370110731081804
155,"Min",-0.789664878589499
165,"Min",-0.610795734953803
175,"Min",-0.875624582912679
185,"Min",-0.808417519891005
195,"Min",-0.837402437188413
