"position.disgap","Type","LongitudinalAcc"
-195,"Max",-0.0771535428761154
-185,"Max",-0.0436036818548741
-175,"Max",-0.238663859172678
-165,"Max",-0.0265398794671976
-155,"Max",-0.0188159600971472
-145,"Max",-0.0299289678224557
-135,"Max",-0.00832850276654824
-125,"Max",-0.318250900823583
-115,"Max",-0.239227844202053
-105,"Max",-0.314678753391924
-95,"Max",-0.32014254247129
-85,"Max",-0.327961249593506
-75,"Max",-0.351406684287038
-65,"Max",-0.385571945723943
-55,"Max",-0.326043573123501
-45,"Max",-0.0302343158580231
-35,"Max",-0.297560343416389
-25,"Max",-0.0278873100910449
-15,"Max",-0.309391694587416
-5,"Max",-0.262420587689516
5,"Max",-0.307960940645783
15,"Max",-0.304215128433316
25,"Max",-0.325895820911614
35,"Max",-0.299522064243725
45,"Max",-0.305678688254799
55,"Max",-0.428133296081225
65,"Max",-0.32059529135702
75,"Max",-0.293973465491356
85,"Max",-0.338777212279464
95,"Max",-0.278570268028241
105,"Max",-0.455716830768173
115,"Max",-0.290823186291778
125,"Max",-0.305058627104167
135,"Max",-0.585573732330679
145,"Max",-0.403087269379379
155,"Max",-0.304950016049558
165,"Max",-0.285625152393439
175,"Max",-0.287956072701205
185,"Max",-0.216478494957294
195,"Max",-0.294036374986214
-195,"P85",-0.229024280983756
-185,"P85",-0.163921826122674
-175,"P85",-0.27682511248031
-165,"P85",-0.230586050855844
-155,"P85",-0.217534581921267
-145,"P85",-0.361682264902456
-135,"P85",-0.163736304011685
-125,"P85",-0.319589059985302
-115,"P85",-0.295962177265363
-105,"P85",-0.320271786271639
-95,"P85",-0.330475854355102
-85,"P85",-0.332868606416134
-75,"P85",-0.401445455147139
-65,"P85",-0.392534338556378
-55,"P85",-0.326491610420293
-45,"P85",-0.135000453106954
-35,"P85",-0.303411845812943
-25,"P85",-0.211044854927556
-15,"P85",-0.310216927412282
-5,"P85",-0.276374783996685
5,"P85",-0.322596474108477
15,"P85",-0.320088977580314
25,"P85",-0.326810806740939
35,"P85",-0.442864938829597
45,"P85",-0.480878820809854
55,"P85",-0.439009991041398
65,"P85",-0.342666897088618
75,"P85",-0.478684306561264
85,"P85",-0.497945894619041
95,"P85",-0.302831153599677
105,"P85",-0.53666008497475
115,"P85",-0.419262166919831
125,"P85",-0.435395563393004
135,"P85",-0.594228247741228
145,"P85",-0.431702098831366
155,"P85",-0.395093387537514
165,"P85",-0.288063373174077
175,"P85",-0.291209353452557
185,"P85",-0.257904782967923
195,"P85",-0.29597764228786
-195,"Median",-0.348105906371156
-185,"Median",-0.359114672518961
-175,"Median",-0.324875460197885
-165,"Median",-0.553358813593168
-155,"Median",-0.437395676078321
-145,"Median",-0.597146190696877
-135,"Median",-0.608469147174376
-125,"Median",-0.581925659507217
-115,"Median",-0.383616686983605
-105,"Median",-0.32859957905367
-95,"Median",-0.360285214933011
-85,"Median",-0.591972670965698
-75,"Median",-0.901867757591848
-65,"Median",-0.875948416995901
-55,"Median",-0.376007586895104
-45,"Median",-0.342666323592753
-35,"Median",-0.319904707731181
-25,"Median",-0.369267699357523
-15,"Median",-0.324764035720654
-5,"Median",-0.340155651956296
5,"Median",-0.642067725341372
15,"Median",-0.712729290287201
25,"Median",-0.578589176308694
35,"Median",-0.598241001573026
45,"Median",-0.626980877144447
55,"Median",-0.447339049662381
65,"Median",-0.601807701353347
75,"Median",-0.671268237422451
85,"Median",-0.612435797954187
95,"Median",-0.598656043806733
105,"Median",-0.607352182115975
115,"Median",-0.598364198539965
125,"Median",-0.601765769956326
135,"Median",-0.603968563503302
145,"Median",-0.590590264411358
155,"Median",-0.597605547986268
165,"Median",-0.607677099878359
175,"Median",-0.436593382860327
185,"Median",-0.290025082149714
195,"Median",-0.335284165098658
-195,"Avg",-0.436160277796776
-185,"Avg",-0.374048774268324
-175,"Avg",-0.427483396902748
-165,"Avg",-0.444499491016441
-155,"Avg",-0.400378559893068
-145,"Avg",-0.616926133103957
-135,"Avg",-0.550205812226832
-125,"Avg",-0.535269245093397
-115,"Avg",-0.445637742846984
-105,"Avg",-0.638380560712054
-95,"Avg",-0.470231640809085
-85,"Avg",-0.620635583491311
-75,"Avg",-0.714183140042745
-65,"Avg",-0.703419138303866
-55,"Avg",-0.707692365716529
-45,"Avg",-0.422952843933645
-35,"Avg",-0.394070496544812
-25,"Avg",-0.514015701918105
-15,"Avg",-0.660701685100639
-5,"Avg",-0.513052834497888
5,"Avg",-0.623187657809828
15,"Avg",-0.649032551492301
25,"Avg",-0.546298152103502
35,"Avg",-0.763630950827546
45,"Avg",-0.666617029241038
55,"Avg",-0.489145758223917
65,"Avg",-0.791611991211349
75,"Avg",-0.673163502751001
85,"Avg",-0.67473246851682
95,"Avg",-0.598405038932299
105,"Avg",-0.694429435422892
115,"Avg",-0.589213846337131
125,"Avg",-0.778790272690557
135,"Avg",-0.644694498752043
145,"Avg",-0.534570736488899
155,"Avg",-0.528851969840377
165,"Avg",-0.543457050620148
175,"Avg",-0.430741613200421
185,"Avg",-0.319530914128616
195,"Avg",-0.567586804858905
-195,"Min",-0.878924526007282
-185,"Min",-0.860796817760431
-175,"Min",-0.704826857233838
-165,"Min",-0.676012378354541
-155,"Min",-0.609056039766382
-145,"Min",-0.963861710632751
-135,"Min",-0.959560820602852
-125,"Min",-0.865655151382058
-115,"Min",-0.687268188314464
-105,"Min",-1.7868943862107
-95,"Min",-0.896037401374357
-85,"Min",-0.940911356818364
-75,"Min",-0.943148764053495
-65,"Min",-0.960284896989968
-55,"Min",-1.82982021537465
-45,"Min",-0.934029374151774
-35,"Min",-0.590458084852445
-25,"Min",-0.940596641726333
-15,"Min",-1.76065394782104
-5,"Min",-0.911755968261439
5,"Min",-0.930761229958812
15,"Min",-0.999963503391598
25,"Min",-0.903334299970703
35,"Min",-1.78184259004175
45,"Min",-0.906399585909526
55,"Min",-0.671841079534564
65,"Min",-1.79546767564552
75,"Min",-0.906736511145946
85,"Min",-0.924139976496848
95,"Min",-0.90983112459806
105,"Min",-0.933755841354483
115,"Min",-0.950490413126498
125,"Min",-1.86076954688725
135,"Min",-0.766165972858665
145,"Min",-0.61692660610099
155,"Min",-0.684170780252871
165,"Min",-0.920887718040702
175,"Min",-0.602809284369221
185,"Min",-0.449081667345705
195,"Min",-1.05899743779031
