"position.disgap","Type","LongitudinalAcc"
-195,"Max",0
-185,"Max",0
-175,"Max",-0.0164618163831807
-165,"Max",-0.00619642853884856
-155,"Max",-0.00620386358084673
-145,"Max",-0.260881773594572
-135,"Max",-0.00445416382639913
-125,"Max",-0.0180197658610527
-115,"Max",0
-105,"Max",0
-95,"Max",0
-85,"Max",-0.006467878659091
-75,"Max",-0.00647586525868009
-65,"Max",0
-55,"Max",-0.00650987264521656
-45,"Max",0
-35,"Max",0
-25,"Max",-0.281033424722703
-15,"Max",-0.00654962828882815
-5,"Max",-0.00655167136638235
5,"Max",-0.36375879516214
15,"Max",-0.227141041167357
25,"Max",-0.546624582338566
35,"Max",-0.276596978715524
45,"Max",-0.37363001930933
55,"Max",-0.209877435810666
65,"Max",-0.375054004101457
75,"Max",-0.271922000327754
85,"Max",-0.0346992299306552
95,"Max",-0.370321904629241
105,"Max",-0.13143376481476
115,"Max",-0.21643686674351
125,"Max",-0.0137134424311712
135,"Max",-0.0107884754433778
145,"Max",-0.295875432983109
155,"Max",-0.273437246252866
165,"Max",-0.224163773121525
175,"Max",-0.36410791814949
185,"Max",-0.240799347918183
195,"Max",-0.016622188405095
-195,"P85",0
-185,"P85",-0.337885253664632
-175,"P85",-0.259635909660087
-165,"P85",-0.216478408926546
-155,"P85",-0.256007505338708
-145,"P85",-0.309307455775084
-135,"P85",-0.0055124565403639
-125,"P85",-0.221740966114096
-115,"P85",0
-105,"P85",-0.00722548091535148
-95,"P85",-0.160433324077442
-85,"P85",-0.21614026115785
-75,"P85",-0.215109568501557
-65,"P85",-0.0876817854511894
-55,"P85",-0.0343928798392625
-45,"P85",-0.168441677846237
-35,"P85",-0.331427480855754
-25,"P85",-0.44394255169334
-15,"P85",-0.211356796718142
-5,"P85",-0.130422129469036
5,"P85",-0.36918253860748
15,"P85",-0.434692916765067
25,"P85",-0.908580391656331
35,"P85",-0.328019693622578
45,"P85",-0.401592667855479
55,"P85",-0.30687818469224
65,"P85",-0.486275104256622
75,"P85",-0.301806664250212
85,"P85",-0.0347396765254221
95,"P85",-0.473389498544495
105,"P85",-0.374231653158728
115,"P85",-0.293466973051206
125,"P85",-0.22064764612992
135,"P85",-0.0222976345082483
145,"P85",-0.450693588694032
155,"P85",-0.312188831349234
165,"P85",-0.336529395110627
175,"P85",-0.397028984287788
185,"P85",-0.432704138869052
195,"P85",-0.336356081515328
-195,"Median",0
-185,"Median",-0.563173719937084
-175,"Median",-0.560793081510786
-165,"Median",-0.422108237388159
-155,"Median",-0.553970637209096
-145,"Median",-0.356278225133946
-135,"Median",-0.0180046917187035
-125,"Median",-0.421225793207852
-115,"Median",-0.535143322317698
-105,"Median",-0.33653560422547
-95,"Median",-0.563927007845224
-85,"Median",-0.419902398924853
-75,"Median",-0.558988886709042
-65,"Median",-0.354002771917715
-55,"Median",-0.558353879155317
-45,"Median",-0.410525623203224
-35,"Median",-0.557715692491271
