"position.disgap","Type","MinLongitudinalSpeed"
-195,"Max",83.1998878621923
-185,"Max",83.72734875293
-175,"Max",84.5338937490372
-165,"Max",85.2435266285794
-155,"Max",85.8544356768637
-145,"Max",86.24466536472
-135,"Max",86.1776872051985
-125,"Max",85.680815813763
-115,"Max",85.1102608800177
-105,"Max",82.6034151282074
-95,"Max",81.6333342896074
-85,"Max",81.7860320181182
-75,"Max",81.9247465231278
-65,"Max",82.0232256084511
-55,"Max",82.045338491926
-45,"Max",81.6737976142851
-35,"Max",81.3205176390537
-25,"Max",80.9792133228081
-15,"Max",80.6016483630355
-5,"Max",80.2692938612239
5,"Max",79.946880943568
15,"Max",79.4567965476943
25,"Max",76.043688183046
35,"Max",71.1530003105566
45,"Max",65.798073444832
55,"Max",61.7339453736795
65,"Max",60.0823772692428
75,"Max",59.7337014007225
85,"Max",59.3018085775372
95,"Max",58.283673354652
105,"Max",55.3500007316424
115,"Max",50.89150671304
125,"Max",50.5411481349242
135,"Max",50.1992996919548
145,"Max",49.8664190711832
155,"Max",49.5362350691685
165,"Max",49.2623612869442
175,"Max",49.0197525516765
185,"Max",48.820595619169
195,"Max",48.6834164212399
-195,"P85",82.1330142876423
-185,"P85",82.6998190211366
-175,"P85",83.0881777470882
-165,"P85",83.1555542552438
-155,"P85",83.0722275710031
-145,"P85",82.9215272890947
-135,"P85",82.6273301426686
-125,"P85",82.297519503117
-115,"P85",82.2846699735832
-105,"P85",81.7785813425461
-95,"P85",80.3833153998342
-85,"P85",80.1458718993691
-75,"P85",79.8862723459598
-65,"P85",79.6213286659472
-55,"P85",79.3926668197787
-45,"P85",79.0592752091033
-35,"P85",78.6869913514681
-25,"P85",78.3592815677099
-15,"P85",77.9947861309762
-5,"P85",77.708959538822
5,"P85",77.1142151082534
15,"P85",74.7983221459384
25,"P85",70.2037497851684
35,"P85",64.6085927000467
45,"P85",61.4243459252101
55,"P85",60.1421732164941
65,"P85",59.4970667023643
75,"P85",59.1493808948017
85,"P85",58.7825934568071
95,"P85",56.8031724852316
105,"P85",53.7160399859214
115,"P85",50.5236478440159
125,"P85",49.4545929102977
135,"P85",49.1096418577394
145,"P85",48.7833348987251
155,"P85",48.4754714729261
165,"P85",48.2215889716576
175,"P85",48.0109048281131
185,"P85",47.8978399328528
195,"P85",47.8582715474795
-195,"Median",80.03958400896
-185,"Median",80.1427006831351
-175,"Median",80.1130046327029
-165,"Median",80.0825938661181
-155,"Median",80.243990447268
-145,"Median",80.3857748956613
-135,"Median",80.5706315807247
-125,"Median",80.7225089497271
-115,"Median",80.5830740996776
-105,"Median",80.3520012094629
-95,"Median",79.3160745835531
-85,"Median",77.6108961951935
-75,"Median",77.2869764414363
-65,"Median",76.9214818633887
-55,"Median",76.5918065743035
-45,"Median",75.2734549514255
-35,"Median",72.7354582921123
-25,"Median",69.3997398873462
-15,"Median",66.0068519617497
-5,"Median",63.8529313795812
5,"Median",61.3191028167382
15,"Median",58.8007238967633
25,"Median",56.3600431061666
35,"Median",55.2713605047395
45,"Median",53.0529386955302
55,"Median",49.7888347134263
65,"Median",49.4830347754776
75,"Median",49.5726048405685
85,"Median",49.6207848189777
95,"Median",49.6808159594171
105,"Median",49.7006710709174
115,"Median",49.0783883554607
125,"Median",47.9751887854219
135,"Median",47.9089681419358
145,"Median",47.6412264156052
155,"Median",47.3960282891896
165,"Median",47.1734958281223
175,"Median",47.03598171706
185,"Median",46.9628349757229
195,"Median",46.9589449389414
-195,"Avg",80.4061126976858
-185,"Avg",80.7803899737485
-175,"Avg",80.9693302842385
-165,"Avg",81.0776400320109
-155,"Avg",81.1451097924247
-145,"Avg",81.1684515183679
-135,"Avg",81.0969423262895
-125,"Avg",80.9385694481381
-115,"Avg",80.745874544459
-105,"Avg",80.1930546808673
-95,"Avg",79.328481877506
-85,"Avg",78.0266565388748
