"position.disgap","Type","MinLongitudinalSpeed"
-195,"Max",86.1038303598219
-185,"Max",86.0227914501646
-175,"Max",85.9377566897585
-165,"Max",85.869596880412
-155,"Max",85.7775201675457
-145,"Max",85.6985756013388
-135,"Max",85.6119225217905
-125,"Max",85.5360303790642
-115,"Max",85.467085821615
-105,"Max",85.3718753313423
-95,"Max",85.2965805738597
-85,"Max",85.2127429684079
-75,"Max",85.1393320095645
-65,"Max",85.0482675891054
-55,"Max",84.9852998799337
-45,"Max",84.9156518571551
-35,"Max",84.8391271399733
-25,"Max",84.7624987827305
-15,"Max",84.691195299947
-5,"Max",84.6010254933518
5,"Max",84.4827418196213
15,"Max",84.3653781053087
25,"Max",84.2473266260413
35,"Max",84.1476084660811
45,"Max",84.0549730350215
55,"Max",83.9559178962477
65,"Max",83.8563519307565
75,"Max",83.7902720325297
85,"Max",83.7724227710777
95,"Max",83.7277846018917
105,"Max",83.6574411191571
115,"Max",83.5893349937744
125,"Max",83.5337149080317
135,"Max",83.4824916920588
145,"Max",83.4148848259557
155,"Max",83.3286971692481
165,"Max",83.2689482344978
175,"Max",83.209046525049
185,"Max",83.1556009127879
195,"Max",83.1193479845554
-195,"P85",83.4206131672015
-185,"P85",83.3405890445086
-175,"P85",83.2613894912848
-165,"P85",83.1947552790493
-155,"P85",83.1079360035813
-145,"P85",83.0323368555451
-135,"P85",82.9533914645782
-125,"P85",82.8844506868167
-115,"P85",82.8122281460854
-105,"P85",82.7293145208028
-95,"P85",82.6541830343413
-85,"P85",82.5748862618174
-75,"P85",82.5033190809999
-65,"P85",82.4264402392736
-55,"P85",82.3635093503857
-45,"P85",82.2949624950418
-35,"P85",82.2322117820717
-25,"P85",82.1568050714619
-15,"P85",82.0895466995369
-5,"P85",82.0207568244287
5,"P85",81.9231603157118
15,"P85",81.8639703032865
25,"P85",81.8306031563423
35,"P85",81.8041184180714
45,"P85",81.769894913296
55,"P85",81.7453970914399
65,"P85",81.6972859068861
75,"P85",81.6671393788579
85,"P85",81.6603939663043
95,"P85",81.6359659118541
105,"P85",81.5965329014191
115,"P85",81.5536098801274
125,"P85",81.5222306268402
135,"P85",81.4844655369418
145,"P85",81.4312030664264
155,"P85",81.3708560608287
165,"P85",81.3239299725836
175,"P85",81.2756759124549
185,"P85",81.2183298659413
195,"P85",81.168427858944
-195,"Median",80.2738914105331
-185,"Median",80.1719078797796
-175,"Median",80.0820151050873
-165,"Median",80.0111476106776
-155,"Median",79.9433563399976
-145,"Median",79.9489587145288
-135,"Median",79.9643689434601
-125,"Median",79.9726855264544
-115,"Median",79.9781226433498
-105,"Median",79.9858152200851
-95,"Median",79.9832792628883
-85,"Median",79.9935560580781
-75,"Median",80.0006779166763
-65,"Median",79.9995090507235
-55,"Median",80.0100305908125
-45,"Median",80.0126343777882
-35,"Median",80.0232922568075
-25,"Median",80.0477292087818
-15,"Median",80.0911738641274
-5,"Median",80.1189670915264
5,"Median",80.1610993017548
15,"Median",80.1271257728316
25,"Median",80.049131414317
35,"Median",79.9732372466733
45,"Median",79.8744863221809
55,"Median",79.7807782743934
65,"Median",79.7469515339669
75,"Median",79.7492931110855
85,"Median",79.7404028483664
95,"Median",79.7349198648021
105,"Median",79.7300149406228
115,"Median",79.7075810870971
125,"Median",79.6990916553754
135,"Median",79.670927814217
145,"Median",79.6432529695942
155,"Median",79.6071931461791
165,"Median",79.5736086269201
175,"Median",79.5399524847958
185,"Median",79.4798434309551
195,"Median",79.4300310921994
-195,"Avg",81.3763118679691
-185,"Avg",81.3288318076005
-175,"Avg",81.2841672568459
-165,"Avg",81.2467566884933
-155,"Avg",81.2011615002775
-145,"Avg",81.1650890048336
-135,"Avg",81.1296101865602
-125,"Avg",81.0922351320093
-115,"Avg",81.0545178826281
-105,"Avg",81.0137788118368
-95,"Avg",80.9717834440778
-85,"Avg",80.9396111487942
-75,"Avg",80.9131600954383
-65,"Avg",80.8809227908237
-55,"Avg",80.8559092156763
-45,"Avg",80.8340952895357
-35,"Avg",80.8161977359672
-25,"Avg",80.7952718281284
-15,"Avg",80.782346128723
-5,"Avg",80.7656535618976
5,"Avg",80.7352460540671
15,"Avg",80.700041418217
25,"Avg",80.6686330778063
35,"Avg",80.6342285936743
45,"Avg",80.5915753274024
55,"Avg",80.5462977870357
65,"Avg",80.5015596145025
