"position.disgap","Type","MinLongitudinalSpeed"
-195,"Max",106.68161313543
-185,"Max",106.406109434563
-175,"Max",106.477768074461
-165,"Max",106.569083714696
-155,"Max",106.658014195597
-145,"Max",106.759468687566
-135,"Max",106.858909385203
-125,"Max",106.945933632677
-115,"Max",107.062650737156
-105,"Max",107.18310867873
-95,"Max",107.294122560382
-85,"Max",107.419422432372
-75,"Max",107.445019385318
-65,"Max",107.487306566515
-55,"Max",107.526160617532
-45,"Max",107.558760506111
-35,"Max",107.57493246894
-25,"Max",107.62504756392
-15,"Max",107.642327212433
-5,"Max",107.678401803508
5,"Max",107.710500453149
15,"Max",107.720186074287
25,"Max",107.733908020512
35,"Max",107.693765032175
45,"Max",107.546345700366
55,"Max",107.359416432934
65,"Max",107.188181498334
75,"Max",107.014581638889
85,"Max",106.86942802459
95,"Max",106.711009825787
105,"Max",106.597773106369
115,"Max",106.437181010616
125,"Max",106.308089492643
135,"Max",106.178611102428
145,"Max",106.049493186205
155,"Max",105.918861407496
165,"Max",105.787603836406
175,"Max",105.673517731494
185,"Max",105.536501258996
195,"Max",105.404937436908
-195,"P85",106.470529573558
-185,"P85",106.350194201851
-175,"P85",106.179177942185
-165,"P85",106.026515232487
-155,"P85",105.866367051837
-145,"P85",105.722794809637
-135,"P85",105.654418472911
-125,"P85",105.784021681541
-115,"P85",105.863200824221
-105,"P85",105.899444798463
-95,"P85",105.959961828622
-85,"P85",106.036342468122
-75,"P85",106.022027434652
-65,"P85",105.95834356949
-55,"P85",105.923199755704
-45,"P85",105.885027171859
-35,"P85",105.856346944974
-25,"P85",105.851009125777
-15,"P85",105.811806555253
-5,"P85",105.64598039794
5,"P85",105.598461233174
15,"P85",105.606143541881
25,"P85",105.611758703602
35,"P85",105.595295226915
45,"P85",105.546020641484
55,"P85",105.456587893013
65,"P85",105.389431742196
75,"P85",105.31377193021
85,"P85",105.209777800143
95,"P85",105.089836149545
105,"P85",105.007039079707
115,"P85",104.901411108349
125,"P85",104.795345331474
135,"P85",104.715984771104
145,"P85",104.607510366973
155,"P85",104.508338680766
165,"P85",104.41895518585
175,"P85",104.326831907811
185,"P85",104.216391779367
195,"P85",104.087818084278
-195,"Median",104.402591293081
-185,"Median",104.359786278427
-175,"Median",104.300576466639
-165,"Median",104.375950162213
-155,"Median",104.533608297163
-145,"Median",104.692564842003
-135,"Median",104.729370594734
-125,"Median",104.414174391465
-115,"Median",104.157159109171
-105,"Median",104.122085047846
-95,"Median",104.122224649364
-85,"Median",104.108799624687
-75,"Median",104.123418187529
-65,"Median",104.157043526089
-55,"Median",104.15905051007
-45,"Median",104.163605111351
-35,"Median",104.175403599227
-25,"Median",104.17057163379
-15,"Median",104.168761626778
-5,"Median",104.182834736173
5,"Median",104.077922915708
15,"Median",103.821491576229
25,"Median",103.649631679407
35,"Median",103.441410235952
45,"Median",103.265161009223
55,"Median",103.040515004307
65,"Median",102.863205823288
75,"Median",102.635820604427
85,"Median",102.439967753525
95,"Median",102.252363229143
105,"Median",102.030043378921
115,"Median",101.856157168471
125,"Median",101.646983818197
135,"Median",101.452622801702
145,"Median",101.303277823357
155,"Median",101.158057712777
165,"Median",101.013504991038
175,"Median",100.84894258225
185,"Median",100.698994082243
195,"Median",100.542102783457
-195,"Avg",104.406099099603
-185,"Avg",104.348935341425
-175,"Avg",104.293244696387
-165,"Avg",104.243417271059
-155,"Avg",104.20260476668
-145,"Avg",104.174045600277
-135,"Avg",104.147551027207
-125,"Avg",104.117763722305
-115,"Avg",104.089620226117
-105,"Avg",104.038200975739
-95,"Avg",104.004685596527
-85,"Avg",103.976496130626
-75,"Avg",103.918248587374
-65,"Avg",103.852387003453
-55,"Avg",103.793938906002
-45,"Avg",103.745923002503
-35,"Avg",103.694098459566
-25,"Avg",103.655904505063
-15,"Avg",103.603535861244
-5,"Avg",103.505721613097
5,"Avg",103.425852564132
15,"Avg",103.322901838356
25,"Avg",103.246962509615
35,"Avg",103.151420940439
45,"Avg",103.038968620494
55,"Avg",102.909407798145
65,"Avg",102.797988511069
75,"Avg",102.67050596632
85,"Avg",102.544815238418
95,"Avg",102.409895580103
105,"Avg",102.296137376335
115,"Avg",102.177682249495
125,"Avg",102.052651542364
135,"Avg",101.934824505623
145,"Avg",101.829407252382
155,"Avg",101.759760467206
165,"Avg",101.695341794697
175,"Avg",101.630346446541
185,"Avg",101.558412121201
195,"Avg",101.49201610005
-195,"Min",100.682307443162
-185,"Min",100.57364622018
-175,"Min",100.473621117088
-165,"Min",100.374657029116
-155,"Min",100.293833270847
-145,"Min",100.214621457701
-135,"Min",100.136300277803
-125,"Min",100.094755700827
-115,"Min",100.037151855703
-105,"Min",99.9930472575431
-95,"Min",99.9627977605341
-85,"Min",99.9418357628391
-75,"Min",99.8942015139542
-65,"Min",99.8999163572437
-55,"Min",99.9297807745287
-45,"Min",99.9878346946766
-35,"Min",100.020637315611
-25,"Min",100.0699243151
-15,"Min",100.113893689711
-5,"Min",100.134842309457
5,"Min",100.135021548977
15,"Min",100.119576688033
25,"Min",100.125031537946
35,"Min",100.139548947144
45,"Min",100.0289921673
55,"Min",99.8029499071336
65,"Min",99.5761037371796
75,"Min",99.3499887803261
85,"Min",99.1225547948427
95,"Min",98.8531968376957
105,"Min",98.6624228241171
115,"Min",98.4243085380025
125,"Min",98.1840316965127
135,"Min",97.9416842976645
145,"Min",97.7836511410989
155,"Min",97.7836511410989
165,"Min",97.8043822466226
175,"Min",97.8383208279303
185,"Min",97.8582381116163
195,"Min",97.925022079884
