"position.disgap","Type","MinLongitudinalSpeed"
-195,"Max",102.453843968163
-185,"Max",102.492160729449
-175,"Max",102.549703800105
-165,"Max",102.599352587731
-155,"Max",102.658030349915
-145,"Max",102.747437230204
-135,"Max",102.771864893822
-125,"Max",102.819408907443
-115,"Max",102.888540257969
-105,"Max",102.955416046086
-95,"Max",103.013838560877
-85,"Max",103.083090964895
-75,"Max",103.14836642861
-65,"Max",103.199761980978
-55,"Max",103.237841319818
-45,"Max",103.288899778821
-35,"Max",103.35725105449
-25,"Max",103.404874297362
-15,"Max",103.465442095006
-5,"Max",103.524347579896
5,"Max",103.582566074646
15,"Max",103.593458092562
25,"Max",103.635289290864
35,"Max",103.674204860721
45,"Max",103.72651058647
55,"Max",103.728440800803
65,"Max",103.660053979607
75,"Max",103.581297949984
85,"Max",103.561847886821
95,"Max",103.523840468624
105,"Max",103.475664368253
115,"Max",103.456282128031
125,"Max",103.399053879508
135,"Max",103.361788641062
145,"Max",103.341040276091
155,"Max",103.299642974625
165,"Max",103.248082862547
175,"Max",103.227426597749
185,"Max",103.204443933136
195,"Max",103.161682231969
-195,"P85",100.437844902979
-185,"P85",100.494529916308
-175,"P85",100.559470997975
-165,"P85",100.620493580938
-155,"P85",100.69201334516
-145,"P85",100.764257347452
-135,"P85",100.798623866922
-125,"P85",100.854147493171
-115,"P85",100.899450996408
-105,"P85",100.994599121025
-95,"P85",101.022674938884
-85,"P85",101.10378928516
-75,"P85",101.139964513626
-65,"P85",101.205442373538
-55,"P85",101.225715063895
-45,"P85",101.281055368683
-35,"P85",101.338234061916
-25,"P85",101.37525571157
-15,"P85",101.429320348565
-5,"P85",101.469890017507
5,"P85",101.513203332055
15,"P85",101.540814343705
25,"P85",101.561963382392
35,"P85",101.590716831336
45,"P85",101.646821642948
55,"P85",101.67200002556
65,"P85",101.649298874814
75,"P85",101.642251612529
85,"P85",101.635910786345
95,"P85",101.646779396462
105,"P85",101.63396802996
115,"P85",101.63879405018
125,"P85",101.653203389661
135,"P85",101.661093985968
145,"P85",101.664453429281
155,"P85",101.648843640069
165,"P85",101.645444402093
175,"P85",101.647972817746
185,"P85",101.636510064983
195,"P85",101.607078873362
-195,"Median",95.7266370774028
-185,"Median",95.6855052945284
-175,"Median",95.6548747645757
-165,"Median",95.5838898682496
-155,"Median",95.5233720715886
-145,"Median",95.5791276963377
-135,"Median",95.6359131138696
-125,"Median",95.7160066371901
