"position.disgap","Type","P85LateralSpeed"
-195,"Max",0.197723066867911
-185,"Max",0.161164107451418
-175,"Max",0.106320237045661
-165,"Max",0.0805960038590941
-155,"Max",0.180472570624798
-145,"Max",0.238740244178516
-135,"Max",0.0505924773760045
-125,"Max",0.0663872865075248
-115,"Max",0.126933527343659
-105,"Max",0.146587132240687
-95,"Max",0.154934738006879
-85,"Max",0.147855834449388
-75,"Max",0.164595711415842
-65,"Max",0.159438418854168
-55,"Max",0.219699880809049
-45,"Max",0.342641271107084
-35,"Max",0.368245101804226
-25,"Max",0.164796488202067
-15,"Max",0.158903930117402
-5,"Max",0.00329933839336248
5,"Max",-0.0782804231482291
15,"Max",0.118352384020196
25,"Max",0.219647861469546
35,"Max",0.352457194478932
45,"Max",-0.737179804556933
55,"Max",-0.532652783073201
65,"Max",-0.235826758960273
75,"Max",-0.180154700044102
85,"Max",-0.1434087925499
95,"Max",0.0858274444965348
105,"Max",0.130107978972895
115,"Max",0.175725172288406
125,"Max",0.222702136675716
135,"Max",0.336782405443357
145,"Max",0.37881594309114
155,"Max",0.420351046356806
165,"Max",0.149125461431245
175,"Max",0.212899834472409
185,"Max",0.258746087239252
195,"Max",0.286785028824384
-195,"P85",0.0901538365082983
-185,"P85",0.037664412690511
-175,"P85",0.104182663000481
-165,"P85",0.0634480392639578
-155,"P85",0.131649606806622
-145,"P85",0.190395601749796
-135,"P85",0.0199068411618495
-125,"P85",0.0496403682810789
-115,"P85",0.108915946098525
-105,"P85",0.131680270576604
-95,"P85",0.0907370599425448
-85,"P85",0.0911323210604045
-75,"P85",0.143466100582465
-65,"P85",0.146198726266137
-55,"P85",0.0559747127503256
-45,"P85",0.162558124786235
-35,"P85",0.185513234974839
-25,"P85",0.164747760578186
-15,"P85",0.156765210718454
-5,"P85",-0.0121200176584498
5,"P85",-0.101823417623803
15,"P85",0.106118390298971
25,"P85",-0.79162546383055
35,"P85",-0.477126903457302
45,"P85",-0.776031883955812
55,"P85",-0.563361198572131
65,"P85",-0.311039433365231
75,"P85",-0.250123747372313
