"position.disgap","Type","P85LateralSpeed"
-195,"Max",0.310724399825563
-185,"Max",0.258973815987728
-175,"Max",0.230458199802062
-165,"Max",0.173744455881801
-155,"Max",0.117035175927982
-145,"Max",0.0604699392350922
-135,"Max",0.0321958148606015
-125,"Max",0.0603602083352271
-115,"Max",0.116610808818412
-105,"Max",0.211740667895603
-95,"Max",0.270798482362643
-85,"Max",0.329790947446259
-75,"Max",0.388537055594319
-65,"Max",0.424373570608817
-55,"Max",0.229272746204546
-45,"Max",0.317464743145704
-35,"Max",0.376147669833706
-25,"Max",0.405433042996757
-15,"Max",0.31082963085237
-5,"Max",0.162212366078992
5,"Max",0.217632428557584
15,"Max",0.273045174958978
25,"Max",0.0706365099143486
35,"Max",0.139856893503553
45,"Max",0.210511489071818
55,"Max",0.266271706023358
65,"Max",0.321953917573079
75,"Max",0.377746905729802
85,"Max",0.371297933160334
95,"Max",0.231384793349405
105,"Max",0.259223435888314
115,"Max",0.265730412559684
125,"Max",0.29246302022599
135,"Max",0.117693895964338
145,"Max",0.173966316292408
155,"Max",0.229488684687969
165,"Max",0.266265961502219
175,"Max",0.334051580779938
185,"Max",0.14660283783673
195,"Max",0.218664675779232
-195,"P85",0.307622223413185
-185,"P85",0.256414394823333
-175,"P85",0.226188906186529
-165,"P85",0.171937215897355
-155,"P85",0.112554005259826
-145,"P85",0.0598544294325672
-135,"P85",0.031871302409149
-125,"P85",0.0597552885514993
-115,"P85",0.115453003220286
-105,"P85",0.205172543149306
-95,"P85",0.262410107565607
-85,"P85",0.319585285086571
-75,"P85",0.376551858723197
-65,"P85",0.405494328508372
-55,"P85",0.221205884852508
-45,"P85",0.306501155510897
-35,"P85",0.361822164619519
-25,"P85",0.390197570230389
-15,"P85",0.180767570938756
-5,"P85",0.154749851711691
5,"P85",0.212762586121735
15,"P85",0.118938867974256
25,"P85",0.0703518583292226
35,"P85",0.139223958268874
45,"P85",0.193045660138344
55,"P85",0.263736119911929
65,"P85",0.318800731825117
75,"P85",0.373922451345175
85,"P85",0.296358716123356
95,"P85",0.228988343660654
105,"P85",0.256512163585395
115,"P85",0.256760777706017
125,"P85",0.154110967932618
135,"P85",0.112274088076637
145,"P85",0.173359681335939
155,"P85",0.227108804028112
165,"P85",0.124452663325159
175,"P85",0.186949697988633
185,"P85",0.143197895957657
195,"P85",0.212875437753611
-195,"Median",0.0528530629637107
-185,"Median",0.250803668529303
-175,"Median",0.222418943211967
-165,"Median",0.168556155409565
-155,"Median",0.0914292330902169
-145,"Median",0.0587978437549722
-135,"Median",0.0272405011286352
-125,"Median",0.0588358125018609
-115,"Median",-0.125642468720674
-105,"Median",0.197527295821533
-95,"Median",0.253998432989921
-85,"Median",0.3095528163509
-75,"Median",0.365081602669767
-65,"Median",0.174857073628715
-55,"Median",0.21408297170762
-45,"Median",0.26937004465261
-35,"Median",0.260999520157355
-25,"Median",0.024305161974166
-15,"Median",0.0844646025256605
-5,"Median",0.14318589520118
5,"Median",-0.0398102633620716
15,"Median",0.0153799936988442
25,"Median",0.0308291829381917
35,"Median",-0.130856649110771
45,"Median",0.179942924761654
55,"Median",-0.0469656550319032
65,"Median",-0.0552794469347655
75,"Median",0.0146568118238743
85,"Median",0.0728341107696694
95,"Median",0.130934097358605
105,"Median",0.188957878361255
115,"Median",0.205329140658457
125,"Median",0.0616123852524325
135,"Median",0.102924652574678
145,"Median",0.15755636250749
155,"Median",0.186752272492128
165,"Median",0.0200687971047719
175,"Median",0.0854495471152084
185,"Median",0.140140109703982
195,"Median",0.165150024749088
-195,"Avg",0.153655320257855
-185,"Avg",0.1502085056829
-175,"Avg",0.115129054022128
-165,"Avg",0.0653664484521561
-155,"Avg",-0.00730313023867385
-145,"Avg",-0.04749639649335
-135,"Avg",-0.0764684311235452
-125,"Avg",-0.0474337498251803
-115,"Avg",-0.0366824743923265
-105,"Avg",0.0918397829010375
-95,"Avg",0.134674672063522
-85,"Avg",0.179721658907429
-75,"Avg",0.246630625275915
-65,"Avg",0.262013539851228
-55,"Avg",0.21256132417699
-45,"Avg",0.213595981888333
-35,"Avg",0.196441228718164
-25,"Avg",0.171586546892723
-15,"Avg",0.124138237889607
-5,"Avg",0.0528677220163819
