"position.disgap","Type","P85LateralSpeed"
-195,"Max",-0.00491060317882182
-185,"Max",-0.00439347381304699
-175,"Max",-0.00437897847356462
-165,"Max",0.256262760598965
-155,"Max",0.209602625362695
-145,"Max",-0.00433034081727606
-135,"Max",-0.00494167189111571
-125,"Max",0.268773032902286
-115,"Max",0.513678749516559
-105,"Max",0.514126657723858
-95,"Max",0.774344626401256
-85,"Max",0.774462450759919
-75,"Max",0.79582692169768
-65,"Max",0.797031063233631
-55,"Max",1.06566241330046
-45,"Max",1.06733301815528
-35,"Max",1.06843341350273
-25,"Max",1.06916882760941
-15,"Max",0.923822141873682
-5,"Max",0.810237698377884
5,"Max",0.988472961103677
15,"Max",0.804423844142106
25,"Max",0.265678663664935
35,"Max",0.222223651229552
45,"Max",0.0675018445222721
55,"Max",0.0430273736316965
65,"Max",0.0769518866457484
75,"Max",0.0568617758920911
85,"Max",0.0733470304649654
95,"Max",0.178403466099956
105,"Max",0.391552432937948
115,"Max",0.439593899035922
125,"Max",0.723050400518123
135,"Max",0.67644436441576
145,"Max",0.362040279043618
155,"Max",0.438417952752421
165,"Max",0.177902655476316
175,"Max",-0.0727534429593096
185,"Max",0.151748194668551
195,"Max",0.15112403456376
-195,"P85",-0.00494563676805659
-185,"P85",-0.00478588730911447
-175,"P85",-0.00478531855946527
-165,"P85",0.221629848951078
-155,"P85",0.048723890476816
-145,"P85",-0.00475179644328045
-135,"P85",-0.00520095991799522
-125,"P85",0.257850800635446
-115,"P85",0.329363290535262
-105,"P85",0.328436960265695
-95,"P85",0.389251383951282
-85,"P85",0.589605747220501
-75,"P85",0.779563677875961
-65,"P85",0.777398256056497
-55,"P85",0.841348680803795
-45,"P85",0.838668286234237
-35,"P85",0.835937406484101
-25,"P85",0.833023693388879
-15,"P85",0.56790054187537
-5,"P85",0.774104333759101
5,"P85",0.828975347578784
15,"P85",0.532722761765024
25,"P85",0.264560459850111
35,"P85",0.0997270345663934
45,"P85",0.0527324406508472
55,"P85",0.0378855839809632
65,"P85",-0.0389930186647029
75,"P85",0.00973896870294895
85,"P85",0.0143068002177749
95,"P85",0.111711933017545
105,"P85",0.227611444725399
115,"P85",0.281729596192294
125,"P85",0.543479903985548
135,"P85",0.406967892608518
145,"P85",0.352873940112743
155,"P85",0.427442134208157
165,"P85",0.143553173015928
175,"P85",-0.0798699981013192
185,"P85",-0.0234618709701418
195,"P85",0.135735541637667
-195,"Median",-0.00534639183522707
-185,"Median",-0.00513898945709951
-175,"Median",-0.00512745525794529
-165,"Median",-0.00491918919961124
-155,"Median",-0.00511862804452106
-145,"Median",-0.00511526956149303
-135,"Median",-0.110959869568515
-125,"Median",-0.00458776750681371
-115,"Median",-0.00457400486567445
-105,"Median",0.128153304184296
-95,"Median",0.0898550507294446
-85,"Median",-0.00514904179529564
-75,"Median",0.0561718112753843
-65,"Median",0.19194975357667
-55,"Median",0.0988975206258258
-45,"Median",0.0987525716086347
-35,"Median",0.0986130459299914
-25,"Median",0.228307092790228
-15,"Median",0.252444366558015
-5,"Median",0.252230693039064
5,"Median",0.218390622209602
15,"Median",0.0885384260354845
25,"Median",0.0833417443818264
35,"Median",0.0198034175148869
45,"Median",-0.0623940642110603
55,"Median",-0.111379253960995
65,"Median",-0.125418548674869
75,"Median",-0.12950933289584
85,"Median",-0.156659479652829
95,"Median",-0.0902673176360815
105,"Median",-0.0832893481799598
115,"Median",0.0104517459195931
125,"Median",0.14273934486678
135,"Median",0.180042235778954
145,"Median",0.123116438150157
155,"Median",0.0294571544578688
165,"Median",-0.0269788329346975
175,"Median",-0.153652585019485
185,"Median",-0.142397041769543
195,"Median",-0.0313974928229675
-195,"Avg",-0.0412092213612056
-185,"Avg",-0.00511914665576131
-175,"Avg",-0.0051092035249038
-165,"Avg",0.0301892384622662
-155,"Avg",-0.0135182549715233
-145,"Avg",-0.0492005048486748
-135,"Avg",-0.124484588350644
-125,"Avg",0.0839071191786777
-115,"Avg",0.0862088616753033
-105,"Avg",0.130170140850895
-95,"Avg",0.159627745562433
-85,"Avg",0.137689915574931
-75,"Avg",0.197722523542004
-65,"Avg",0.323643249290973
-55,"Avg",0.336588019416417
-45,"Avg",0.336131170855175
-35,"Avg",0.335601526445024
-25,"Avg",0.393247768252766
-15,"Avg",0.345770649101743
-5,"Avg",0.344638996976703
5,"Avg",0.365358820713944
15,"Avg",0.206686318123975
25,"Avg",0.0795494015417585
35,"Avg",-0.00279516351586439
45,"Avg",-0.0836618100211678
55,"Avg",-0.130312963668667
65,"Avg",-0.109527201046591
75,"Avg",-0.0983637086843345
85,"Avg",-0.138282253535311
95,"Avg",-0.0703555483624949
105,"Avg",-0.0559864935304302
115,"Avg",-0.00822777454735925
125,"Avg",0.151644476031065
135,"Avg",0.117299216614536
145,"Avg",0.0099777791911612
155,"Avg",0.0844418779502892
165,"Avg",-0.0265389545347159
175,"Avg",-0.169731608571247
185,"Avg",-0.12882053306254
195,"Avg",-0.0572295427961435
-195,"Min",-0.22091030447515
-185,"Min",-0.00576806863869395
-175,"Min",-0.00572562048673888
-165,"Min",-0.269677433638377
-155,"Min",-0.269906319485907
-145,"Min",-0.270091770364696
-135,"Min",-0.270287349574089
-125,"Min",-0.00539943017892708
-115,"Min",-0.249796885638654
