"position.disgap","Type","P85LateralSpeed"
-195,"Max",0.64240022737529
-185,"Max",0.586624040997302
-175,"Max",0.550467367254167
-165,"Max",0.49003979772519
-155,"Max",0.424345172277242
-145,"Max",0.141247419693544
-135,"Max",0.0833298520504689
-125,"Max",0.280565956977792
-115,"Max",0.227819175228021
-105,"Max",0.192327291019671
-95,"Max",0.109047594303827
-85,"Max",0.077595546712374
-75,"Max",0.0196095716399404
-65,"Max",0.333464656162688
-55,"Max",0.303653165067689
-45,"Max",0.273804695910968
-35,"Max",0.214143157716604
-25,"Max",0.15438462935866
-15,"Max",0.379835231569396
-5,"Max",0.651834830038279
5,"Max",0.680298966892271
15,"Max",0.678302776851873
25,"Max",0.542224373322778
35,"Max",0.537909120888663
45,"Max",0.458598923315372
55,"Max",0.40215704643011
65,"Max",0.372224617760023
75,"Max",0.34162321065382
85,"Max",0.252215591814124
95,"Max",0.201744139499853
105,"Max",0.354423316532113
115,"Max",0.353583441684495
125,"Max",0.302604518667681
135,"Max",0.579828756216956
145,"Max",0.55196207345637
155,"Max",0.141016174065487
165,"Max",0.0716541462853
175,"Max",0.0141256041905916
185,"Max",-0.0146133737678357
195,"Max",0.273930553175346
-195,"P85",0.497044546070059
-185,"P85",0.438300310167432
-175,"P85",0.39157648728838
-165,"P85",0.349952983356017
-155,"P85",0.290235108841162
-145,"P85",0.124152944670421
-135,"P85",0.0717667572293464
-125,"P85",0.233669224877654
-115,"P85",0.224250974331456
-105,"P85",0.17804482014131
-95,"P85",0.106850989976102
-85,"P85",0.0768563464385608
-75,"P85",0.0193501226952604
-65,"P85",0.111018860522221
-55,"P85",0.290797303767194
-45,"P85",0.245619778067436
-35,"P85",0.207648282806967
-25,"P85",0.151859832702004
-15,"P85",0.226650518284415
-5,"P85",0.46221384926273
5,"P85",0.471124088702688
15,"P85",0.613285592900825
25,"P85",0.339701659897275
35,"P85",0.316830366740553
45,"P85",0.23854396586817
55,"P85",0.395102174058836
65,"P85",0.368389357601243
75,"P85",0.318781154000715
85,"P85",0.248186004506973
95,"P85",0.196163390132474
105,"P85",0.229619844285117
115,"P85",0.203319959446734
125,"P85",0.296458620143324
135,"P85",0.378794877535549
145,"P85",0.332971824586896
155,"P85",0.13154520665576
165,"P85",0.0703511026386937
175,"P85",0.0139214823625854
185,"P85",-0.0304558410610503
195,"P85",0.0523080541160207
-195,"Median",0.387762959045202
-185,"Median",0.331430361638091
-175,"Median",0.285490300878717
-165,"Median",0.247032248099868
-155,"Median",0.170277278747133
-145,"Median",0.111637614921785
-135,"Median",0.0585262933855349
-125,"Median",0.0537168876256957
-115,"Median",-0.0330674191249772
-105,"Median",-0.0917383055465679
-95,"Median",0.0483816229957488
-85,"Median",0.058401361546544
-75,"Median",-0.00983141600709214
-65,"Median",-0.0383987385933982
-55,"Median",-0.066857842589786
-45,"Median",0.0153403110314342
-35,"Median",0.199109774058769
-25,"Median",0.146111899105639
-15,"Median",0.11749734146319
-5,"Median",0.0915799452617428
5,"Median",0.0608273729391569
15,"Median",0.233631316213199
25,"Median",0.203859540334991
35,"Median",0.146841893332321
45,"Median",0.0889362408811986
55,"Median",0.0307168023107889
65,"Median",-0.0257119898021274
75,"Median",-0.0808768564053209
85,"Median",0.201955473049354
95,"Median",0.191843624348124
105,"Median",0.132926661420709
115,"Median",0.100580959072974
125,"Median",0.264628521044669
135,"Median",0.239683201520474
145,"Median",0.176487476163532
155,"Median",0.10051970481199
165,"Median",0.0677175928938284
175,"Median",0.0137029262664351
185,"Median",-0.0420648796079508
195,"Median",-0.0963448457947873
-195,"Avg",0.351424908643071
-185,"Avg",0.281954585248941
-175,"Avg",0.257302323929862
-165,"Avg",0.216303655682016
-155,"Avg",0.219716361664162
-145,"Avg",0.079150091816069
-135,"Avg",-0.00865092108531502
-125,"Avg",0.0415185052705358
-115,"Avg",-0.00525897573625896
-105,"Avg",-0.058220670642661
-95,"Avg",-0.0565295493186781
-85,"Avg",-0.104055770190669
-75,"Avg",-0.0545716282070103
-65,"Avg",-0.00340989548235407
-55,"Avg",0.0658409871285327
-45,"Avg",0.0469454926306544
-35,"Avg",0.116644851021729
-25,"Avg",0.0705617225606265
-15,"Avg",0.1448730163442
-5,"Avg",0.246620588351141
5,"Avg",0.228264507240614
15,"Avg",0.30342207436997
25,"Avg",0.207511526716496
35,"Avg",0.187463705408927
45,"Avg",0.162611151515235
55,"Avg",0.17101699453794
65,"Avg",0.131994016760175
75,"Avg",0.0798513031301795
85,"Avg",0.0844335083863066
95,"Avg",0.0658976047785173
105,"Avg",0.0868407085141558
115,"Avg",0.138791829192159
125,"Avg",0.182063122294528
135,"Avg",0.245169623821511
145,"Avg",0.154079342810254
155,"Avg",0.0213516267126176
165,"Avg",-0.0331353704154123
175,"Avg",-0.0381271988273594
185,"Avg",-0.0838158880301335
195,"Avg",-0.0237012062216436
-195,"Min",-0.0171701756984712
-185,"Min",-0.051194608718741
-175,"Min",-0.110396598860108
-165,"Min",-0.140134418153083
-155,"Min",0.144039232351114
-145,"Min",-0.0546681646267599
-135,"Min",-0.302908224657356
-125,"Min",-0.354110177464411
-115,"Min",-0.409549313418444
-105,"Min",-0.464949702398411
-95,"Min",-0.288180739220656
-85,"Min",-0.562045754410021
-75,"Min",-0.264533164629339
-65,"Min",-0.235659089600473
-55,"Min",-0.0974092276244088
-45,"Min",-0.155530347932627
-35,"Min",-0.183599345273096
-25,"Min",-0.241476805065785
-15,"Min",-0.0133127829118574
-5,"Min",0.0647370680241505
5,"Min",0.0336948880893273
15,"Min",0.000397677458497178
25,"Min",-0.054958888308118
35,"Min",-0.0628623787359032
45,"Min",0.0854899314716437
55,"Min",0.00199376233030678
65,"Min",-0.0265469917476819
75,"Min",-0.0835631587011736
85,"Min",-0.140325771995208
95,"Min",-0.441005422434889
105,"Min",-0.329146117218521
115,"Min",0.0413713794515464
125,"Min",0.014317986989076
135,"Min",-0.0152118557621537
145,"Min",-0.0741614829834529
155,"Min",-0.132980949000729
165,"Min",-0.191645714978524
175,"Min",-0.245606362029402
185,"Min",-0.279164456751012
195,"Min",-0.102820172511745
