"position.disgap","Type","P85LateralSpeed"
-195,"Max",0.303575021836483
-185,"Max",0.303778844557344
-175,"Max",0.303835667412481
-165,"Max",0.304096463433309
-155,"Max",0.152266519928334
-145,"Max",0.283267268494154
-135,"Max",0.283504500228932
-125,"Max",0.294986690045856
-115,"Max",0.295226841989389
-105,"Max",0.295380953524522
-95,"Max",0.29559119261248
-85,"Max",0.295574984139738
-75,"Max",0.281176614874085
-65,"Max",0.280901860917494
-55,"Max",0.280576865298504
-45,"Max",0.28026914177817
-35,"Max",0.280105357759992
-25,"Max",0.279828523561921
-15,"Max",0.279661313942907
-5,"Max",0.279280534272492
5,"Max",0.592963445053781
15,"Max",0.566279001730519
25,"Max",0.588024647314613
35,"Max",0.588689731390662
45,"Max",0.435931771108596
55,"Max",0.226658786126501
65,"Max",0.226616181936616
75,"Max",0.25510996729547
85,"Max",0.226301136206981
95,"Max",0.219436984528028
105,"Max",0.22620981788183
115,"Max",0.226106440030089
125,"Max",0.225937146857744
135,"Max",0.225894872219054
145,"Max",0.225810381403483
155,"Max",0.219748852731436
165,"Max",0.203585346588028
175,"Max",0.22560559838144
185,"Max",0.225576455841785
195,"Max",0.225493648278213
-195,"P85",0.209593232206507
-185,"P85",0.20975904859401
-175,"P85",0.206348446470561
-165,"P85",0.206533904894024
-155,"P85",0.145856038097319
-145,"P85",0.201745083681493
-135,"P85",0.201921128716792
-125,"P85",0.288239716389259
-115,"P85",0.288478118589932
-105,"P85",0.288682105813967
-95,"P85",0.287274469205197
-85,"P85",0.287097389113229
-75,"P85",0.278673304236338
-65,"P85",0.278820236819164
-55,"P85",0.278961270745956
-45,"P85",0.279170514432004
-35,"P85",0.279437833922266
-25,"P85",0.279527386107041
-15,"P85",0.279594773398538
-5,"P85",0.195784736974456
5,"P85",0.385172077439101
15,"P85",0.475947756977254
25,"P85",0.585575726305602
35,"P85",0.470880292601016
45,"P85",0.310405090860213
55,"P85",0.219128751063131
65,"P85",0.222171103488646
75,"P85",0.233636031791363
85,"P85",0.222128892630747
95,"P85",0.218331144538529
105,"P85",0.222174402553417
115,"P85",0.222147242215886
125,"P85",0.222122291076026
135,"P85",0.222181772734956
145,"P85",0.222213185594346
155,"P85",0.21231885233294
165,"P85",0.199636829670329
175,"P85",0.217373030439328
185,"P85",0.222143510959876
195,"P85",0.217764724633824
-195,"Median",-0.0796709188359114
-185,"Median",0.10761684600443
-175,"Median",-0.0799457515519581
-165,"Median",-0.0800779739682408
-155,"Median",-0.0802151868998858
-145,"Median",0.0824055541553626
-135,"Median",-0.080479451545949
-125,"Median",-0.0806427905315477
-115,"Median",0.141229706443434
-105,"Median",0.141159097072675
-95,"Median",0.2629824327499
-85,"Median",0.276536458113825
-75,"Median",-0.0837721589454213
-65,"Median",-0.0838923285335425
-55,"Median",-0.0840766608397843
