"position.disgap","Type","P85LongitudinalSpeed"
-195,"Max",102.564155822713
-185,"Max",102.060404231523
-175,"Max",101.547381256874
-165,"Max",101.016501146567
-155,"Max",100.512410521836
-145,"Max",99.9981796808172
-135,"Max",99.5049357030565
-125,"Max",98.9949334235364
-115,"Max",98.4584610241233
-105,"Max",97.9497106119248
-95,"Max",97.4391758465458
-85,"Max",96.9426531337114
-75,"Max",96.408670141398
-65,"Max",96.2980900203625
-55,"Max",96.4012573993618
-45,"Max",96.5523825649035
-35,"Max",96.6519258103136
-25,"Max",96.7566875287476
-15,"Max",96.9098335817072
-5,"Max",96.9676255785541
5,"Max",97.0821193568276
15,"Max",97.2093482048188
25,"Max",97.2935206640475
35,"Max",97.2619355084487
45,"Max",96.9290174810346
55,"Max",96.5075527196909
65,"Max",96.1243531540773
75,"Max",95.7786908985436
85,"Max",95.4070179041123
95,"Max",95.0165009848935
105,"Max",94.6720769174115
115,"Max",94.2895550567963
125,"Max",93.9202782837361
135,"Max",93.5682572936242
145,"Max",93.231592052112
155,"Max",92.8067702840916
165,"Max",92.4528251409875
175,"Max",92.0287599080455
185,"Max",91.6164893538264
195,"Max",91.2750388176305
-195,"P85",96.6783658737529
-185,"P85",96.696552910386
-175,"P85",96.7182817493162
-165,"P85",96.6694090692076
-155,"P85",96.5712864534511
-145,"P85",96.4948345735021
-135,"P85",96.4236556467601
-125,"P85",96.3797573130469
-115,"P85",96.3542285565352
-105,"P85",96.3064379346089
-95,"P85",96.263913544173
-85,"P85",96.2475221635498
-75,"P85",96.2166208623149
-65,"P85",96.0118193301567
-55,"P85",95.6503587148352
-45,"P85",95.3024090442799
-35,"P85",94.9488851337111
-25,"P85",94.6164191592333
-15,"P85",94.2371816414078
-5,"P85",93.8734549478169
5,"P85",93.8488480056095
15,"P85",94.0189734699977
25,"P85",93.8587251412264
35,"P85",93.5779327443197
45,"P85",93.1868089150899
55,"P85",92.7945927450007
65,"P85",92.4013035896633
75,"P85",92.0116666079291
85,"P85",91.586417998428
95,"P85",91.2610912091724
105,"P85",90.9027315731105
115,"P85",90.5239356604714
125,"P85",90.0368926451611
135,"P85",89.7481215014065
145,"P85",89.3399534795435
155,"P85",88.9708286696365
165,"P85",88.5975662363967
175,"P85",88.2120659453394
185,"P85",87.8160709781014
195,"P85",87.8358018815752
-195,"Median",91.2072980151333
-185,"Median",91.0108348484154
-175,"Median",90.739135286035
-165,"Median",90.6645023330413
-155,"Median",90.5763470422072
-145,"Median",90.4927004729482
-135,"Median",90.5872703409579
-125,"Median",90.7206746975917
-115,"Median",90.9185712797866
-105,"Median",91.1888524468471
-95,"Median",91.4151337153059
-85,"Median",91.6382368749675
-75,"Median",91.8196007250916
-65,"Median",91.8183893395158
-55,"Median",91.7451534502296
-45,"Median",91.6898191247091
-35,"Median",91.5926205842498
-25,"Median",91.5102861627151
-15,"Median",91.4180078302174
-5,"Median",91.3542410891397
5,"Median",90.9941321094397
15,"Median",90.4912969901688
25,"Median",90.0216835268458
35,"Median",89.5202510642867
45,"Median",88.7843845703018
55,"Median",88.0438127757692
65,"Median",87.2079961244637
75,"Median",86.1605615455454
85,"Median",85.5739992499588
95,"Median",85.0915357779628
105,"Median",84.621668430234
115,"Median",84.148126695848
125,"Median",83.6848416773146
135,"Median",83.3694535357134
145,"Median",83.3612224841611
155,"Median",83.3974512654782
165,"Median",83.6974805392992
175,"Median",84.3285317473144
185,"Median",84.8946073549698
195,"Median",85.553993536141
-195,"Avg",90.7780229669598
-185,"Avg",90.6329639914793
-175,"Avg",90.4598499371275
-165,"Avg",90.293855442842
-155,"Avg",90.1181994089734
-145,"Avg",89.9406767228814
-135,"Avg",89.8262213730407
-125,"Avg",89.7229619742992
