"position.disgap","Type","P85LongitudinalSpeed"
-195,"Max",92.7901928540218
-185,"Max",92.7380832185126
-175,"Max",92.6881937814054
-165,"Max",92.6408315038134
-155,"Max",92.5604465758766
-145,"Max",92.2315468195393
-135,"Max",91.7160550516333
-125,"Max",91.1746803541083
-115,"Max",90.6728793738133
-105,"Max",90.150385910748
-95,"Max",89.6729625826954
-85,"Max",89.072102523707
-75,"Max",88.4663636984518
-65,"Max",88.0890106713088
-55,"Max",87.5284268271322
-45,"Max",86.9870888763296
-35,"Max",86.5084574086147
-25,"Max",85.9924529340479
-15,"Max",85.425362657199
-5,"Max",84.7755771733456
5,"Max",84.2245090014595
15,"Max",83.8808033629304
25,"Max",84.7667002680114
35,"Max",85.2846565220603
45,"Max",85.2469501106673
55,"Max",85.1731988677114
65,"Max",84.9601202716199
75,"Max",84.7801824451604
85,"Max",84.5968140638027
95,"Max",84.3836694847187
105,"Max",84.1425406168286
115,"Max",83.8681829200506
125,"Max",83.4282246261997
135,"Max",82.8817827165534
145,"Max",82.3985494131303
155,"Max",81.8830156218804
165,"Max",81.3682219421812
175,"Max",80.9254972189608
185,"Max",80.3780404724659
195,"Max",79.8853904219624
-195,"P85",83.7511345877022
-185,"P85",83.390909750084
-175,"P85",83.4120571435755
-165,"P85",83.5137616401568
-155,"P85",83.5308854270216
-145,"P85",83.3434765007234
-135,"P85",82.9251910976226
-125,"P85",82.5534912118555
-115,"P85",82.1480090840698
-105,"P85",81.7179670068481
-95,"P85",80.9539263599383
-85,"P85",79.8581353699891
-75,"P85",78.820350922002
-65,"P85",77.9249492301092
-55,"P85",78.441045417315
-45,"P85",79.3041365706486
-35,"P85",80.1877085038197
-25,"P85",80.9827700946242
-15,"P85",81.7782675355405
-5,"P85",82.4517810647739
5,"P85",83.2062323268141
15,"P85",83.8370770686556
25,"P85",83.7299577082288
35,"P85",83.4434334744491
45,"P85",83.055806225139
55,"P85",82.6778518855362
65,"P85",82.3042373481997
75,"P85",81.9081334119646
85,"P85",81.5338724999403
95,"P85",81.1125159514465
105,"P85",80.7479647855873
115,"P85",80.3251675618577
125,"P85",79.9254249387929
135,"P85",79.4681955728572
145,"P85",79.0575072347964
155,"P85",78.6220197947892
165,"P85",78.1741374296492
175,"P85",77.7688056508889
185,"P85",77.30497522334
195,"P85",76.8604008868252
-195,"Median",80.1823132461747
-185,"Median",80.0577650746352
-175,"Median",79.7449474463515
-165,"Median",79.0078875612463
-155,"Median",77.6560301455333
-145,"Median",77.4200178065386
-135,"Median",77.1416168643756
-125,"Median",76.6970691755157
-115,"Median",76.2009101508736
-105,"Median",75.7577669961298
-95,"Median",75.2455480558804
-85,"Median",74.8149570438713
-75,"Median",74.3325762182335
-65,"Median",73.9226442914697
-55,"Median",73.2750056982812
-45,"Median",72.6272645353851
-35,"Median",70.0958048750312
-25,"Median",67.1134246109589
-15,"Median",66.1131782583667
-5,"Median",65.5138197133673
5,"Median",65.1613544898233
15,"Median",65.3420360459032
25,"Median",65.5889537890255
35,"Median",65.8129864741063
45,"Median",65.8271905985209
55,"Median",65.6119710983806
65,"Median",65.2896940639684
75,"Median",64.9395564733545
85,"Median",64.5850075006174
95,"Median",64.8209751837548
105,"Median",65.1188700003514
115,"Median",65.4552082687815
125,"Median",65.7961076753996
135,"Median",66.1159719811396
145,"Median",66.8648910738835
155,"Median",67.4821047001825
165,"Median",68.2924481390504
175,"Median",69.1581365167726
185,"Median",70.1312358162549
195,"Median",70.9765981140181
-195,"Avg",80.8341945105698
-185,"Avg",80.6912212759533
-175,"Avg",80.5311519136043
-165,"Avg",79.6184447664072
-155,"Avg",78.4173962588743
-145,"Avg",77.1108592701918
-135,"Avg",76.1791349004354
-125,"Avg",75.6324678408439
-115,"Avg",75.1217478383409
-105,"Avg",74.4946873193688
-95,"Avg",73.7645099586471
-85,"Avg",73.0259453601061
-75,"Avg",72.3167967218166
-65,"Avg",71.7111355423515
-55,"Avg",71.2372598526246
-45,"Avg",70.9387651046929
-35,"Avg",70.1125482750175
-25,"Avg",69.1288824903587
-15,"Avg",68.8112608536058
-5,"Avg",68.7843250596013
5,"Avg",68.9295087567843
15,"Avg",69.065883088937
25,"Avg",69.0928366152726
35,"Avg",69.0288538817277
45,"Avg",68.8431105957936
55,"Avg",68.5434568252067
65,"Avg",68.2994627046287
75,"Avg",68.2048990833546
85,"Avg",68.1232076547798
95,"Avg",68.3401760488974
105,"Avg",68.5437394969163
115,"Avg",68.6735792521635
125,"Avg",68.8469432687207
135,"Avg",69.1711102378688
145,"Avg",69.6143285711226
155,"Avg",70.0359766166807
165,"Avg",70.5342675243966
175,"Avg",70.8488394173478
185,"Avg",71.0372836050196
195,"Avg",71.1813191103379
-195,"Min",75.5540277402764
-185,"Min",75.1719993878769
-175,"Min",74.5506099566597
-165,"Min",70.1326041549763
-155,"Min",65.6283825299687
-145,"Min",61.2263011058583
-135,"Min",59.3750328118537
-125,"Min",59.7411609432489
-115,"Min",60.1997532791329
-105,"Min",60.029124530569
-95,"Min",59.6682745697811
-85,"Min",59.3420099120411
-75,"Min",59.2069633242646
-65,"Min",59.3270305453317
-55,"Min",58.9107216414529
-45,"Min",57.9865813709525
-35,"Min",57.6392613779417
-25,"Min",57.3355029688014
-15,"Min",57.0702898305153
-5,"Min",56.789708929333
5,"Min",56.5868312554859
15,"Min",56.4124729464003
25,"Min",56.0507469189523
35,"Min",55.6921035635806
45,"Min",55.33248896071
55,"Min",54.9727688343892
65,"Min",55.1226874260239
75,"Min",56.2669243924169
85,"Min",57.0112147159384
95,"Min",56.6296432673859
105,"Min",56.2607663480749
115,"Min",55.905039990729
125,"Min",56.0062992124976
135,"Min",57.3523797811932
145,"Min",58.5168420951806
155,"Min",59.7199303944078
165,"Min",61.0930641313301
175,"Min",61.49485305703
185,"Min",61.2345243793934
195,"Min",60.9346968601629
