"position.disgap","Type","P85LongitudinalSpeed"
-195,"Max",100.720476357848
-185,"Max",100.746991765154
-175,"Max",100.803737296038
-165,"Max",100.838165404268
-155,"Max",100.906724732329
-145,"Max",100.953588556186
-135,"Max",101.012205212856
-125,"Max",101.070260082131
-115,"Max",101.161657517042
-105,"Max",101.191173492852
-95,"Max",101.266910277228
-85,"Max",101.313123456411
-75,"Max",101.381410776053
-65,"Max",101.452380445734
-55,"Max",101.516152119076
-45,"Max",101.585325996165
-35,"Max",101.66015222595
-25,"Max",101.72216440155
-15,"Max",101.817382290898
-5,"Max",101.851987011054
5,"Max",101.91960298124
15,"Max",101.973479712423
25,"Max",102.026744019316
35,"Max",102.068210495973
45,"Max",102.09880687236
55,"Max",102.13210196264
65,"Max",102.156487987746
75,"Max",102.177471572042
85,"Max",102.193438567371
95,"Max",102.201264646429
105,"Max",102.206382981913
115,"Max",102.201271308682
125,"Max",102.199744395682
135,"Max",102.189563623617
145,"Max",102.174100061294
155,"Max",102.144719082662
165,"Max",102.117591706032
175,"Max",102.086514654309
185,"Max",102.044905319237
195,"Max",101.981658477025
-195,"P85",99.2313322198169
-185,"P85",99.2784932942556
-175,"P85",99.3692652097282
-165,"P85",99.4441338167171
-155,"P85",99.5299413750492
-145,"P85",99.6185361528879
-135,"P85",99.7544834907483
-125,"P85",99.8883550325288
-115,"P85",100.039628532699
-105,"P85",100.179313433869
-95,"P85",100.312542518291
-85,"P85",100.471042227729
-75,"P85",100.629021492903
-65,"P85",100.791876447736
-55,"P85",100.931339142009
-45,"P85",101.061368942606
-35,"P85",101.171422426212
-25,"P85",101.281112357089
-15,"P85",101.396205665384
-5,"P85",101.487101907428
5,"P85",101.556906722003
15,"P85",101.631141490575
25,"P85",101.709735717959
35,"P85",101.766731707784
45,"P85",101.816117059917
55,"P85",101.850568789887
65,"P85",101.897639487877
75,"P85",101.929206465272
85,"P85",101.968828487139
95,"P85",102.006136112533
105,"P85",102.027600803018
115,"P85",102.054583359257
125,"P85",102.062002481532
135,"P85",102.056378731409
145,"P85",102.043256938153
155,"P85",102.023247692035
165,"P85",101.995762736009
175,"P85",101.966706694548
185,"P85",101.926190676354
195,"P85",101.860937238096
-195,"Median",98.2284649276555
-185,"Median",98.295569668963
-175,"Median",98.3810492695551
-165,"Median",98.4633237780315
-155,"Median",98.5571029519613
-145,"Median",98.7153315068611
-135,"Median",98.8249865607015
-125,"Median",98.9078120324178
-115,"Median",99.0247077181959
-105,"Median",99.1213177763724
-95,"Median",99.2340067053658
-85,"Median",99.3526828649192
-75,"Median",99.4555022974739
-65,"Median",99.581451933212
-55,"Median",99.6935933827704
-45,"Median",99.8082182956108
-35,"Median",99.9353955944923
-25,"Median",100.041573286271
-15,"Median",100.16041767898
-5,"Median",100.258491053193
5,"Median",100.357064247034
15,"Median",100.463073709247
25,"Median",100.549341124215
35,"Median",100.642632401486
45,"Median",100.725025213671
55,"Median",100.800048090391
65,"Median",100.883111540941
75,"Median",100.960617991875
85,"Median",101.013473264735
95,"Median",101.070329706957
105,"Median",101.132230896188
115,"Median",101.160573290612
125,"Median",101.174574066626
135,"Median",101.216174771476
145,"Median",101.247458801872
155,"Median",101.273921669307
165,"Median",101.297151942754
175,"Median",101.317476310806
185,"Median",101.316300355837
195,"Median",101.301485714069
-195,"Avg",98.1192241924119
-185,"Avg",98.1907852365978
-175,"Avg",98.2766254436729
-165,"Avg",98.3576776569817
-155,"Avg",98.4479875145501
-145,"Avg",98.5529511836368
-135,"Avg",98.6636949591872
-125,"Avg",98.7715369011751
-115,"Avg",98.9013599132874
-105,"Avg",99.0130777095945
-95,"Avg",99.1266976850301
-85,"Avg",99.2586167941896
-75,"Avg",99.3823176979921
-65,"Avg",99.5151126215493
-55,"Avg",99.635455233619
-45,"Avg",99.756449583273
-35,"Avg",99.8704297446184
-25,"Avg",99.9809060165244
-15,"Avg",100.107713303848
-5,"Avg",100.198429868899
5,"Avg",100.291461315571
15,"Avg",100.388557689148
25,"Avg",100.475913827946
35,"Avg",100.556358783773
45,"Avg",100.624259505771
55,"Avg",100.688745867845
65,"Avg",100.76331783542
75,"Avg",100.818072829098
85,"Avg",100.870945663704
95,"Avg",100.928545991892
105,"Avg",100.969999017209
115,"Avg",101.006279005389
125,"Avg",101.033531916348
135,"Avg",101.057726577391
145,"Avg",101.077387980239
155,"Avg",101.089783690695
165,"Avg",101.098742836499
175,"Avg",101.098729500313
185,"Avg",101.09096473443
195,"Avg",101.068265157586
-195,"Min",96.12210891563
-185,"Min",96.2445021229674
-175,"Min",96.3665604125272
-165,"Min",96.4883165497761
-155,"Min",96.6222518058835
-145,"Min",96.7359262286226
-135,"Min",96.881202875281
-125,"Min",97.0004361031164
-115,"Min",97.1360680193718
-105,"Min",97.2599477195899
-95,"Min",97.3914022759359
-85,"Min",97.5558757467185
-75,"Min",97.6795102612268
-65,"Min",97.8210328412239
-55,"Min",97.954260094394
-45,"Min",98.1003374343251
-35,"Min",98.245670954803
-25,"Min",98.385403162391
-15,"Min",98.5424532443448
-5,"Min",98.6685028538743
5,"Min",98.8128740255341
15,"Min",98.9463968090246
25,"Min",99.045317981344
35,"Min",99.1784618756412
45,"Min",99.2866603098899
55,"Min",99.3997175803576
65,"Min",99.5095492299777
75,"Min",99.5737110560668
85,"Min",99.6311679277759
95,"Min",99.7029492334411
105,"Min",99.7266584483092
115,"Min",99.755015211345
125,"Min",99.7925161757223
135,"Min",99.8158047613295
145,"Min",99.8385107724777
155,"Min",99.8487607635755
165,"Min",99.8589589790056
175,"Min",99.8644838380622
185,"Min",99.8554631307089
195,"Min",99.8463019956975
