"position.disgap","Type","P85LongitudinalSpeed"
-195,"Max",106.965784611319
-185,"Max",106.595033036379
-175,"Max",106.555134303056
-165,"Max",106.644775221831
-155,"Max",106.747153497814
-145,"Max",106.836107430316
-135,"Max",106.934266725813
-125,"Max",107.048150545555
-115,"Max",107.156328145864
-105,"Max",107.261989791925
-95,"Max",107.43634194278
-85,"Max",107.469878403366
-75,"Max",107.504403876028
-65,"Max",107.526160617532
-55,"Max",107.575508983934
-45,"Max",107.590945132047
-35,"Max",107.625657161317
-25,"Max",107.631436213645
-15,"Max",107.676257064172
-5,"Max",107.695338757768
5,"Max",107.727254155289
15,"Max",107.754555034657
25,"Max",107.779933356356
35,"Max",107.762678843402
45,"Max",107.676997979767
55,"Max",107.513779025636
65,"Max",107.311719615411
75,"Max",107.157788387121
85,"Max",106.982250104508
95,"Max",106.838700347351
105,"Max",106.710132537663
115,"Max",106.565883967766
125,"Max",106.437016946252
135,"Max",106.307767251353
145,"Max",106.148718776145
155,"Max",106.016474268063
165,"Max",105.918118313314
175,"Max",105.772752505525
185,"Max",105.641826628861
195,"Max",105.512654494601
-195,"P85",106.630121962648
-185,"P85",106.516997953689
-175,"P85",106.37170717708
-165,"P85",106.199098991254
-155,"P85",106.05382614159
-145,"P85",105.899940814344
-135,"P85",105.763272877181
-125,"P85",105.861060591116
-115,"P85",105.921342644599
-105,"P85",105.952587024381
-95,"P85",106.044668923941
-85,"P85",106.084337556158
-75,"P85",106.086530103116
-65,"P85",106.024501315043
-55,"P85",105.98371784059
-45,"P85",105.938689168483
-35,"P85",105.908679763356
-25,"P85",105.886657359524
-15,"P85",105.868700335165
-5,"P85",105.814854134753
5,"P85",105.650546286533
15,"P85",105.639987471306
25,"P85",105.649615097196
35,"P85",105.642533609797
45,"P85",105.608403639787
55,"P85",105.546542390025
65,"P85",105.467330438654
75,"P85",105.398959794394
85,"P85",105.291903022717
95,"P85",105.189691249141
105,"P85",105.09946505903
115,"P85",104.986537564533
125,"P85",104.892632655413
135,"P85",104.795969350126
145,"P85",104.684556073945
155,"P85",104.594613204394
165,"P85",104.500396122415
175,"P85",104.404645625156
185,"P85",104.304763984629
195,"P85",104.207746342278
-195,"Median",104.463717001818
-185,"Median",104.401500056511
-175,"Median",104.355152541144
-165,"Median",104.50207089621
-155,"Median",104.660452020821
-145,"Median",104.819610686633
-135,"Median",104.94646812008
-125,"Median",104.648238031041
-115,"Median",104.366279252237
-105,"Median",104.153117987156
-95,"Median",104.152192179611
-85,"Median",104.135803024257
-75,"Median",104.178432571577
-65,"Median",104.181373036276
-55,"Median",104.189632764886
-45,"Median",104.186214094931
-35,"Median",104.195231326053
-25,"Median",104.202672883198
-15,"Median",104.217641966514
-5,"Median",104.213109144123
5,"Median",104.221592660566
15,"Median",104.015563447244
25,"Median",103.808985045703
35,"Median",103.600092188916
45,"Median",103.409450264492
55,"Median",103.233067734885
65,"Median",103.00843092703
75,"Median",102.815231942331
85,"Median",102.618285341111
95,"Median",102.409648750871
105,"Median",102.20812194576
115,"Median",102.003456177164
125,"Median",101.809653126076
135,"Median",101.63014060549
145,"Median",101.435593902246
155,"Median",101.286074794363
165,"Median",101.157449180641
175,"Median",100.986731968937
185,"Median",100.819490503952
195,"Median",100.68379677693
-195,"Avg",104.536215031366
-185,"Avg",104.466035942464
-175,"Avg",104.412663816297
-165,"Avg",104.36127844447
-155,"Avg",104.32518549471
-145,"Avg",104.288416184857
-135,"Avg",104.253655157046
-125,"Avg",104.215275620186
-115,"Avg",104.169160295991
-105,"Avg",104.131057580416
-95,"Avg",104.100246233391
-85,"Avg",104.053581315255
-75,"Avg",104.004665703501
-65,"Avg",103.93501278731
-55,"Avg",103.878355090807
-45,"Avg",103.820365135533
-35,"Avg",103.770706825299
-25,"Avg",103.729193819518
-15,"Avg",103.689433284631
-5,"Avg",103.618259151132
5,"Avg",103.520542508029
15,"Avg",103.427255863211
25,"Avg",103.336583301672
35,"Avg",103.244039789724
45,"Avg",103.143462595673
55,"Avg",103.034194805357
65,"Avg",102.896977758232
75,"Avg",102.780196667008
85,"Avg",102.660517115275
95,"Avg",102.528745547119
105,"Avg",102.415837301829
115,"Avg",102.296604003262
125,"Avg",102.174094222459
135,"Avg",102.050176951673
145,"Avg",101.919215499625
155,"Avg",101.832095646822
165,"Avg",101.776899627028
175,"Avg",101.704342113261
185,"Avg",101.638006381156
195,"Avg",101.581346199796
-195,"Min",100.771101177504
-185,"Min",100.663269815545
-175,"Min",100.560822281221
-165,"Min",100.460217925623
-155,"Min",100.378550469961
-145,"Min",100.29369417684
-135,"Min",100.214268749978
-125,"Min",100.142744775817
-115,"Min",100.077168479649
-105,"Min",100.052745736447
-95,"Min",99.9952103920703
-85,"Min",99.976307555759
-75,"Min",99.9490959150091
-65,"Min",99.9380724587367
-55,"Min",99.9741595893068
-45,"Min",100.022070448111
-35,"Min",100.08305112362
-25,"Min",100.131915957338
-15,"Min",100.160907402709
-5,"Min",100.1691546486
5,"Min",100.167850004859
15,"Min",100.169005693579
25,"Min",100.170437803613
35,"Min",100.163211295537
45,"Min",100.162634400226
55,"Min",100.003135690568
65,"Min",99.7383452302706
75,"Min",99.5119413249419
85,"Min",99.2992884321195
95,"Min",99.058677282257
105,"Min",98.8345129040255
115,"Min",98.6305191070953
125,"Min",98.3764577000478
135,"Min",98.1360314331557
145,"Min",97.9103993110966
155,"Min",97.818471853543
165,"Min",97.8540234367474
175,"Min",97.873966643459
185,"Min",97.9081765348247
195,"Min",97.9748559507101
