"position.disgap","Type","P85LongitudinalSpeed"
-195,"Max",102.492160729449
-185,"Max",102.560974793731
-175,"Max",102.629805850035
-165,"Max",102.668208401717
-155,"Max",102.728426514161
-145,"Max",102.794278765022
-135,"Max",102.859044237875
-125,"Max",102.893088329627
-115,"Max",102.977115211768
-105,"Max",103.024632244943
-95,"Max",103.083090964895
-85,"Max",103.139426604985
-75,"Max",103.196982999263
-65,"Max",103.239081462129
-55,"Max",103.287659038076
-45,"Max",103.347954175364
-35,"Max",103.416454373095
-25,"Max",103.455782760828
-15,"Max",103.509754188431
-5,"Max",103.555671366982
5,"Max",103.615490667759
15,"Max",103.644198220235
25,"Max",103.68646746621
35,"Max",103.728886358936
45,"Max",103.769755338848
55,"Max",103.749579317806
65,"Max",103.710574996576
75,"Max",103.6300713124
85,"Max",103.588031790831
95,"Max",103.544694894217
105,"Max",103.537160104818
115,"Max",103.47729233435
125,"Max",103.439194661445
135,"Max",103.400473827842
145,"Max",103.361130613078
155,"Max",103.330004289561
165,"Max",103.290058636775
175,"Max",103.267467142649
185,"Max",103.24562897615
195,"Max",103.205100963605
-195,"P85",100.482974448593
-185,"P85",100.56918872447
-175,"P85",100.632891392157
-165,"P85",100.678063923068
-155,"P85",100.7568698745
-145,"P85",100.801454829761
-135,"P85",100.870001625343
-125,"P85",100.920134209743
-115,"P85",100.99504886353
-105,"P85",101.045274103402
-95,"P85",101.113457276719
-85,"P85",101.156122784977
-75,"P85",101.199328333141
-65,"P85",101.24441341771
-55,"P85",101.275474366747
-45,"P85",101.334515310265
-35,"P85",101.380105819986
-25,"P85",101.425674801442
-15,"P85",101.470351502159
-5,"P85",101.505766011406
5,"P85",101.548934950852
15,"P85",101.584133989538
25,"P85",101.613672645686
35,"P85",101.654198089551
45,"P85",101.692268504083
55,"P85",101.697484602407
65,"P85",101.694789273444
75,"P85",101.678609029111
85,"P85",101.66601165091
95,"P85",101.673600182073
105,"P85",101.687593153624
115,"P85",101.678787999784
125,"P85",101.693005342069
135,"P85",101.689560053792
145,"P85",101.692155793147
155,"P85",101.684706766309
165,"P85",101.697579907729
175,"P85",101.688591913324
185,"P85",101.672753834994
195,"P85",101.642954446195
-195,"Median",95.7569380314927
-185,"Median",95.7266370774028
-175,"Median",95.6855052945284
-165,"Median",95.6249433843197
-155,"Median",95.5838898682496
-145,"Median",95.6359131138696
-135,"Median",95.7160066371901
-125,"Median",95.7961008316322
-115,"Median",95.8761956955141
-105,"Median",95.9562912271593
-95,"Median",96.0373289912862
-85,"Median",96.11532794429
-75,"Median",96.3030261162362
-65,"Median",96.510174960422
-55,"Median",96.7089815157572
-45,"Median",96.894942725926
-35,"Median",97.0789818934788
-25,"Median",97.2500959737755
-15,"Median",97.3601681262744
-5,"Median",97.466099685866
5,"Median",97.5300991125427
15,"Median",97.6162474283289
25,"Median",97.7099368088071
35,"Median",97.8193591234167
45,"Median",97.9302443848562
55,"Median",98.0131011022533
65,"Median",98.1035207564976
75,"Median",98.2159940278808
85,"Median",98.2987794624151
95,"Median",98.396949620321
105,"Median",98.4938668379727
115,"Median",98.6091465727295
125,"Median",98.7017838407399
135,"Median",98.7901128103764
145,"Median",98.859743982238
155,"Median",98.9706338061491
165,"Median",99.0414384302938
175,"Median",99.152695727927
185,"Median",99.2325360337533
195,"Median",99.3219278247208
-195,"Avg",96.8447152793742
-185,"Avg",96.916909441875
-175,"Avg",96.9808998052427
-165,"Avg",97.0388763490401
-155,"Avg",97.1014472458284
-145,"Avg",97.1595639431981
-135,"Avg",97.2295382914076
-125,"Avg",97.2874813983911
-115,"Avg",97.3469798276305
-105,"Avg",97.3953237635908
-95,"Avg",97.4479942571994
-85,"Avg",97.4957643626609
-75,"Avg",97.5638511613401
-65,"Avg",97.6334384639
-55,"Avg",97.7018267079533
-45,"Avg",97.7829155738914
-35,"Avg",97.8558317751438
-25,"Avg",97.9117133314874
-15,"Avg",97.9647106457438
-5,"Avg",98.0139185825244
5,"Avg",98.0585085279383
15,"Avg",98.1002521454124
25,"Avg",98.1395660870306
35,"Avg",98.1896142878631
45,"Avg",98.2448708601829
55,"Avg",98.2677813083461
65,"Avg",98.2939354991325
75,"Avg",98.3198067538223
85,"Avg",98.347408540572
95,"Avg",98.3808555029097
105,"Avg",98.4212770842315
115,"Avg",98.4513024414083
125,"Avg",98.4866093960231
135,"Avg",98.5167742128187
145,"Avg",98.5412012774639
155,"Avg",98.5711662696223
165,"Avg",98.6106221937496
175,"Avg",98.6397572651232
185,"Avg",98.6672112800118
195,"Avg",98.6957873661652
-195,"Min",91.6239984173131
-185,"Min",91.7583237031992
-175,"Min",91.9102066957669
-165,"Min",92.0813173201617
-155,"Min",92.2224976183094
-145,"Min",92.3713502259238
-135,"Min",92.5701347262527
-125,"Min",92.7385073031617
-115,"Min",92.9097481678295
-105,"Min",93.0609036186318
-95,"Min",93.2022828208331
-85,"Min",93.3692406477117
-75,"Min",93.5214710339269
-65,"Min",93.6659904370066
-55,"Min",93.8382739835063
-45,"Min",94.0055012972365
-35,"Min",94.192784949682
-25,"Min",94.305484883738
-15,"Min",94.3814701948622
-5,"Min",94.292456810179
5,"Min",94.2100759384635
15,"Min",94.1171036135294
25,"Min",94.0125076376364
35,"Min",93.940798842972
45,"Min",93.8701535994851
55,"Min",93.7818255146022
65,"Min",93.6989126743951
75,"Min",93.6352120403737
85,"Min",93.5751890677307
95,"Min",93.5157773801705
105,"Min",93.4670475805813
115,"Min",93.416158132006
125,"Min",93.3583331417092
135,"Min",93.3189105799429
145,"Min",93.2399275168389
155,"Min",93.1901543657183
165,"Min",93.1508834466323
175,"Min",93.091880572942
185,"Min",93.0511474076412
195,"Min",93.0194262539238
