"position.disgap","Type","SpeedingRate"
-195,"P85",1
-185,"P85",1
-175,"P85",1
-165,"P85",1
-155,"P85",1
-145,"P85",1
-135,"P85",1
-125,"P85",1
-115,"P85",1
-105,"P85",1
-95,"P85",1
-85,"P85",1
-75,"P85",1
-65,"P85",1
-55,"P85",1
-45,"P85",1
-35,"P85",1
-25,"P85",1
-15,"P85",1
-5,"P85",1
5,"P85",1
15,"P85",1
25,"P85",1
35,"P85",1
45,"P85",1
55,"P85",1
65,"P85",1
75,"P85",1
85,"P85",1
95,"P85",1
105,"P85",1
115,"P85",1
125,"P85",1
135,"P85",1
145,"P85",1
155,"P85",1
165,"P85",1
175,"P85",0.945454545454545
185,"P85",0.4
195,"P85",0.4
-195,"Median",1
-185,"Median",1
-175,"Median",1
-165,"Median",1
-155,"Median",0.25
-145,"Median",0.666666666666667
-135,"Median",0.91304347826087
-125,"Median",1
-115,"Median",1
-105,"Median",1
-95,"Median",1
-85,"Median",1
-75,"Median",1
-65,"Median",1
-55,"Median",1
-45,"Median",1
-35,"Median",1
-25,"Median",1
-15,"Median",1
-5,"Median",1
5,"Median",1
15,"Median",1
25,"Median",1
35,"Median",0.909090909090909
45,"Median",0
55,"Median",0
65,"Median",0
75,"Median",0
85,"Median",0
95,"Median",0
105,"Median",0
115,"Median",0
125,"Median",0
135,"Median",0
145,"Median",0
155,"Median",0
165,"Median",0
175,"Median",0
185,"Median",0
195,"Median",0
-195,"P25",0
-185,"P25",0
-175,"P25",0
-165,"P25",0
-155,"P25",0
-145,"P25",0
-135,"P25",0
-125,"P25",0
-115,"P25",0
-105,"P25",0
-95,"P25",0
-85,"P25",0
-75,"P25",0
-65,"P25",0
-55,"P25",0
-45,"P25",0
-35,"P25",0
-25,"P25",0
-15,"P25",0
-5,"P25",0
5,"P25",0
15,"P25",0
25,"P25",0
35,"P25",0
45,"P25",0
55,"P25",0
65,"P25",0
75,"P25",0
85,"P25",0
95,"P25",0
105,"P25",0
115,"P25",0
125,"P25",0
135,"P25",0
145,"P25",0
155,"P25",0
165,"P25",0
175,"P25",0
185,"P25",0
195,"P25",0
