"position.disgap","Type","Steering"
-195,"Max",0.006
-185,"Max",0.006
-175,"Max",0.0089
-165,"Max",0.0154
-155,"Max",0.0195
-145,"Max",0.0244
-135,"Max",0.0236
-125,"Max",0.022
-115,"Max",0.0214
-105,"Max",0.0199090909090909
-95,"Max",0.0166363636363636
-85,"Max",0.011
-75,"Max",0.011
-65,"Max",0.00809090909090909
-55,"Max",0.00890909090909091
-45,"Max",0.009
-35,"Max",0.0116428571428571
-25,"Max",0.0135384615384615
-15,"Max",0.00354545454545455
-5,"Max",0.00390909090909091
5,"Max",0.00414285714285714
15,"Max",0.00557142857142857
25,"Max",0.00786666666666667
35,"Max",0.007
45,"Max",0.00972222222222222
55,"Max",0.00757894736842105
65,"Max",0.00535714285714286
75,"Max",0.005
85,"Max",0.00494444444444444
95,"Max",0.00647619047619048
105,"Max",0.00452941176470588
115,"Max",0.00338888888888889
125,"Max",-0.001
135,"Max",-0.000473684210526316
145,"Max",0.00382352941176471
155,"Max",0.00888888888888889
165,"Max",0.0146315789473684
175,"Max",0.0129444444444444
185,"Max",0.013
195,"Max",0.011
-195,"P85",0.00456818181818182
-185,"P85",0.00525
-175,"P85",0.006725
-165,"P85",0.00835
-155,"P85",0.0122386363636364
-145,"P85",0.013375
-135,"P85",0.0119
-125,"P85",0.012
-115,"P85",0.0139409090909091
-105,"P85",0.0163636363636364
-95,"P85",0.0121090909090909
-85,"P85",0.0108636363636364
-75,"P85",0.0094375
-65,"P85",0.00689772727272727
-55,"P85",0.00747727272727273
-45,"P85",0.00777272727272727
-35,"P85",0.00918344155844156
-25,"P85",0.00788461538461539
-15,"P85",0.00313636363636364
-5,"P85",0.00313903743315508
5,"P85",0.00391071428571429
15,"P85",0.00439285714285714
25,"P85",0.00660729166666667
35,"P85",0.00683928571428571
45,"P85",0.00763888888888889
55,"P85",0.00604473684210526
65,"P85",0.00495693277310924
75,"P85",0.0039
85,"P85",0.00430132850241546
95,"P85",0.00386904761904762
105,"P85",0.00323949579831933
115,"P85",0.00102369281045752
125,"P85",-0.001
135,"P85",-0.00141008771929825
145,"P85",0.00117647058823529
155,"P85",0.00801767676767677
165,"P85",0.0115526315789474
175,"P85",0.010593253968254
185,"P85",0.012375
195,"P85",0.00898684210526316
-195,"Median",0.0014
-185,"Median",0.00192727272727273
-175,"Median",0.00406060606060606
-165,"Median",0.00476363636363636
-155,"Median",0.00595454545454545
-145,"Median",0.0065
-135,"Median",0.00681818181818182
-125,"Median",0.00685606060606061
-115,"Median",0.008
-105,"Median",0.0074280303030303
-95,"Median",0.00655909090909091
-85,"Median",0.00959090909090909
-75,"Median",0.00668333333333333
-65,"Median",0.006075
-55,"Median",0.0055
-45,"Median",0.00481818181818182
-35,"Median",0.00745454545454546
-25,"Median",0.00431470588235294
-15,"Median",0.001875
-5,"Median",0.00238461538461538
5,"Median",0.00183114035087719
15,"Median",0.00360714285714286
25,"Median",0.00431578947368421
35,"Median",0.00626388888888889
45,"Median",0.00592307692307692
55,"Median",0.00376244343891403
65,"Median",0.00146274509803922
75,"Median",0.00191736694677871
85,"Median",0.0019812030075188
95,"Median",0.00068266253869969
105,"Median",0.00163541666666667
115,"Median",-0.000584033613445378
125,"Median",-0.00224415204678363
135,"Median",-0.00266310160427807
145,"Median",-0.000432539682539683
155,"Median",0.00495321637426901
165,"Median",0.0074453781512605
175,"Median",0.00563636363636364
185,"Median",0.00735281385281385
195,"Median",0.00718575851393189
-195,"Avg",0.00134292929292929
-185,"Avg",0.00220353535353535
-175,"Avg",0.00373080808080808
-165,"Avg",0.00533636363636364
-155,"Avg",0.00720454545454545
-145,"Avg",0.00836944444444444
-135,"Avg",0.00777272727272727
-125,"Avg",0.00811313131313131
-115,"Avg",0.00947575757575757
-105,"Avg",0.00949116161616162
-95,"Avg",0.00620757575757576
-85,"Avg",0.00520580808080808
-75,"Avg",0.00424419191919192
-65,"Avg",0.00418875291375291
-55,"Avg",0.00384848484848485
-45,"Avg",0.00409848484848485
-35,"Avg",0.0068525974025974
-25,"Avg",0.0055696455505279
-15,"Avg",0.00139448051948052
-5,"Avg",0.00085535053182112
5,"Avg",0.00178895154553049
15,"Avg",0.00291883116883117
25,"Avg",0.00425415107553266
35,"Avg",0.00546464183964184
45,"Avg",0.00604472934472934
55,"Avg",0.00367100941141189
65,"Avg",0.00219416433239963
75,"Avg",0.00216981014628073
85,"Avg",0.00217859745983316
95,"Avg",0.000985490687503072
105,"Avg",0.000990517040149393
115,"Avg",3.68036103330221e-05
125,"Avg",-0.00360050166265337
135,"Avg",-0.00267525356766843
145,"Avg",-0.00102281766507773
155,"Avg",0.00460056707425128
165,"Avg",0.00769215485237157
175,"Avg",0.00669072376425318
185,"Avg",0.00787686387686388
195,"Avg",0.00761288023981522
-195,"Min",-0.004
-185,"Min",-0.000833333333333333
-175,"Min",-0.001
-165,"Min",-0.00190909090909091
-155,"Min",-0.002
-145,"Min",-0.00208333333333333
-135,"Min",-0.0036
-125,"Min",9e-04
-115,"Min",0.002
-105,"Min",0.002
-95,"Min",-0.0052
