"position.disgap","Type","Steering"
-195,"Max",0.0117058823529412
-185,"Max",0.0035
-175,"Max",0.00321428571428571
-165,"Max",0.0036
-155,"Max",-0.000944444444444444
-145,"Max",-0.001
-135,"Max",-0.00133333333333333
-125,"Max",0.00561111111111111
-115,"Max",-0.000722222222222222
-105,"Max",-0.003
-95,"Max",-0.00125
-85,"Max",0.00211764705882353
-75,"Max",0.00173333333333333
-65,"Max",0.00293333333333333
-55,"Max",0.0045
-45,"Max",0.00426666666666667
-35,"Max",0.000428571428571429
-25,"Max",-0.000857142857142857
-15,"Max",-0.001
-5,"Max",-0.001
5,"Max",0.00188888888888889
15,"Max",0.004
25,"Max",0.004
35,"Max",0.0055625
45,"Max",0.0110625
55,"Max",0.01025
65,"Max",0.00573333333333333
75,"Max",0.004
85,"Max",0.004
95,"Max",0.003
105,"Max",0.002
115,"Max",0.002
125,"Max",0.002
135,"Max",0.00158333333333333
145,"Max",0.00266666666666667
155,"Max",0.00558333333333333
165,"Max",0.0177
175,"Max",0.0197272727272727
185,"Max",0.0104545454545455
195,"Max",0.004
-195,"P85",0.00963480392156863
-185,"P85",0.002925
-175,"P85",0.00260357142857143
-165,"P85",0.0017
-155,"P85",-0.00273611111111111
-145,"P85",-0.00104411764705882
-135,"P85",-0.001375
-125,"P85",0.00205277777777778
-115,"P85",-0.000880555555555556
-105,"P85",-0.0031
-95,"P85",-0.00295955882352941
-85,"P85",-0.000620588235294118
-75,"P85",0.00140392156862745
-65,"P85",0.00223333333333333
-55,"P85",0.002015625
-45,"P85",0.000316666666666667
-35,"P85",-0.00134285714285714
-25,"P85",-0.00190178571428571
-15,"P85",-0.0025
-5,"P85",-0.00245588235294118
5,"P85",-0.000277777777777778
15,"P85",0.001
25,"P85",0.000307692307692308
35,"P85",0.000640625
45,"P85",0.002015625
55,"P85",0.0019625
65,"P85",0.00273333333333333
75,"P85",0.00395
85,"P85",0.004
95,"P85",0.00267857142857143
105,"P85",0.0018
115,"P85",0.00125
125,"P85",0.00125
135,"P85",0.00114583333333333
145,"P85",0.000462121212121212
155,"P85",0.00337310606060606
165,"P85",0.0099875
175,"P85",0.0109318181818182
