"position.disgap","Type","Steering"
-195,"Max",0.00222727272727273
-185,"Max",0.001
-175,"Max",0.001
-165,"Max",0.00080952380952381
-155,"Max",1e-04
-145,"Max",0.001
-135,"Max",0.001
-125,"Max",0.001
-115,"Max",0.001
-105,"Max",0.001
-95,"Max",0.001
-85,"Max",0.0019047619047619
-75,"Max",0.00176190476190476
-65,"Max",0.000260869565217391
-55,"Max",-0.001
-45,"Max",-0.001
-35,"Max",-0.001
-25,"Max",-0.001
-15,"Max",-0.001
-5,"Max",-0.00254545454545455
5,"Max",-0.002
15,"Max",-6e-04
25,"Max",0.000818181818181818
35,"Max",0.001
45,"Max",0.001
55,"Max",1e-04
65,"Max",-0.000272727272727273
75,"Max",0.001
85,"Max",0.001
95,"Max",0.000272727272727273
105,"Max",-0.001
115,"Max",-0.001
125,"Max",-0.001
135,"Max",-0.001
145,"Max",-0.001
155,"Max",-0.001
165,"Max",-0.001
175,"Max",-0.00127272727272727
185,"Max",-5e-04
195,"Max",0.000454545454545455
-195,"P85",0.00209090909090909
-185,"P85",0.000727272727272727
-175,"P85",4e-04
-165,"P85",0.000323809523809524
-155,"P85",4e-05
-145,"P85",4e-04
-135,"P85",0.000608695652173913
-125,"P85",0.001
-115,"P85",0.000828571428571429
-105,"P85",4e-04
-95,"P85",4e-04
-85,"P85",0.000579296066252589
-75,"P85",0.000104761904761906
-65,"P85",-0.000495652173913043
-55,"P85",-0.00121818181818182
-45,"P85",-0.00128695652173913
-35,"P85",-0.001
-25,"P85",-0.00113636363636364
-15,"P85",-0.00208571428571428
-5,"P85",-0.00281818181818182
5,"P85",-0.00265454545454545
15,"P85",-0.000949090909090909
25,"P85",0.000818181818181818
35,"P85",0.000727272727272727
45,"P85",0.000290909090909091
55,"P85",-0.00056
65,"P85",-0.000709090909090909
75,"P85",4e-04
85,"P85",0.001
95,"P85",-0.000250909090909091
105,"P85",-0.00127272727272727
115,"P85",-0.0016
125,"P85",-0.00192727272727273
135,"P85",-0.001
145,"P85",-0.00155
155,"P85",-0.0016
