"position.disgap","Type","Steering"
-195,"Max",0.004
-185,"Max",0.003
-175,"Max",0.002
-165,"Max",0.0017
-155,"Max",0.003
-145,"Max",0.003
-135,"Max",0.003
-125,"Max",0.003
-115,"Max",0.00205
-105,"Max",0.00119047619047619
-95,"Max",0.00386363636363636
-85,"Max",0.00428571428571429
-75,"Max",0.00531818181818182
-65,"Max",0.007
-55,"Max",0.00276190476190476
-45,"Max",0.003
-35,"Max",0.0059047619047619
-25,"Max",0.006
-15,"Max",0.006
-5,"Max",0.00523809523809524
5,"Max",0.004
15,"Max",0.00304545454545455
25,"Max",0.0025
35,"Max",0.004
45,"Max",0.0043
55,"Max",0.0047
65,"Max",0.00157142857142857
75,"Max",0.00414285714285714
85,"Max",0.00557142857142857
95,"Max",0.006
105,"Max",0.00822727272727273
115,"Max",0.0132857142857143
125,"Max",0.00759090909090909
135,"Max",0.001
145,"Max",0.001
155,"Max",0.001
165,"Max",0.00314285714285714
175,"Max",0.005
185,"Max",0.006
195,"Max",0.0049047619047619
-195,"P85",0.0034
-185,"P85",0.0018
-175,"P85",0.0014
-165,"P85",0.00128
-155,"P85",0.0018
-145,"P85",0.00231428571428571
-135,"P85",0.0024
-125,"P85",0.00189473684210526
-115,"P85",0.00142
-105,"P85",0.00107619047619048
-95,"P85",0.00214545454545455
-85,"P85",0.00288428571428572
-75,"P85",0.00492727272727273
-65,"P85",0.00568571428571429
-55,"P85",0.00206476190476191
-45,"P85",0.00251428571428571
-35,"P85",0.00359047619047619
-25,"P85",0.0036
-15,"P85",0.00402857142857143
-5,"P85",0.0044952380952381
5,"P85",0.00388
15,"P85",0.00256103896103896
25,"P85",0.0022
35,"P85",0.0028
45,"P85",0.00292
55,"P85",0.00282285714285714
65,"P85",0.00122857142857143
75,"P85",0.00285714285714286
85,"P85",0.00342857142857143
95,"P85",0.0036
105,"P85",0.00474805194805195
115,"P85",0.00591428571428572
125,"P85",0.00355064935064935
135,"P85",4e-04
145,"P85",4e-04
155,"P85",0.000828571428571429
165,"P85",0.00185714285714286
175,"P85",0.00398
185,"P85",0.0054
195,"P85",0.00407619047619048
-195,"Median",0.0022
-185,"Median",0.001
-175,"Median",0.001
-165,"Median",0
-155,"Median",-0.00133333333333333
-145,"Median",0.001
-135,"Median",0.001
-125,"Median",0.001
-115,"Median",0.001
-105,"Median",0.001
-95,"Median",0.001
-85,"Median",0.001
-75,"Median",0.001
-65,"Median",0.001
-55,"Median",0.00145454545454545
-45,"Median",0.001
-35,"Median",0.001
-25,"Median",0.001
-15,"Median",0.002
-5,"Median",0.00247619047619048
5,"Median",0.001
15,"Median",0.001
25,"Median",0.001
35,"Median",0.001
45,"Median",0.001
55,"Median",0.001
65,"Median",0.000761904761904762
75,"Median",0.001
85,"Median",0.000666666666666667
95,"Median",0
105,"Median",0.002
115,"Median",0.000285714285714286
125,"Median",5e-04
135,"Median",0
145,"Median",-9e-04
155,"Median",0
165,"Median",0
175,"Median",0.001
185,"Median",0.00122727272727273
195,"Median",0.002
-195,"Avg",0.00177
-185,"Avg",0.00114190476190476
-175,"Avg",-0.00055
-165,"Avg",-0.000850476190476191
-155,"Avg",-0.000392121212121212
-145,"Avg",0.000171428571428571
-135,"Avg",2e-04
-125,"Avg",0.000212531328320802
-115,"Avg",6e-05
-105,"Avg",3.80952380952381e-05
-95,"Avg",0.000688516746411483
-85,"Avg",0.00164714285714286
-75,"Avg",0.0023969696969697
-65,"Avg",0.00267619047619048
-55,"Avg",0.00116329004329004
-45,"Avg",0.00103809523809524
-35,"Avg",0.00174502164502165
-25,"Avg",0.00176842105263158
-15,"Avg",0.00194285714285714
-5,"Avg",0.00241904761904762
5,"Avg",0.0015
15,"Avg",0.000685281385281385
25,"Avg",0.000319047619047619
35,"Avg",4e-04
45,"Avg",0.00024
55,"Avg",0.000654285714285714
65,"Avg",-0.000114285714285714
75,"Avg",0.000628571428571429
85,"Avg",0.000847619047619048
95,"Avg",0.000904761904761905
105,"Avg",0.00234069264069264
115,"Avg",0.00233428571428571
125,"Avg",0.00098961038961039
135,"Avg",-6e-04
145,"Avg",-0.00135142857142857
155,"Avg",-0.000457142857142857
165,"Avg",0.000283116883116883
175,"Avg",0.00146952380952381
185,"Avg",0.00264545454545455
195,"Avg",0.00210571428571429
-195,"Min",-0.00135
-185,"Min",-0.00019047619047619
-175,"Min",-0.004
-165,"Min",-0.00395238095238095
-155,"Min",-0.0024
-145,"Min",-0.003
-135,"Min",-0.003
-125,"Min",-0.003
-115,"Min",-0.003
-105,"Min",-0.003
-95,"Min",-0.00242105263157895
-85,"Min",0
-75,"Min",0
-65,"Min",0.000238095238095238
-55,"Min",-0.001
-45,"Min",-0.001
-35,"Min",-0.001
-25,"Min",-0.00115789473684211
-15,"Min",-0.002
-5,"Min",-0.000619047619047619
5,"Min",-0.00155
15,"Min",-0.00385714285714286
25,"Min",-0.00452380952380952
35,"Min",-0.003
45,"Min",-0.0031
55,"Min",-0.003
65,"Min",-0.003
75,"Min",-0.003
85,"Min",-0.003
95,"Min",-0.00247619047619048
105,"Min",-0.001
115,"Min",-0.0019
125,"Min",-0.003
135,"Min",-0.003
145,"Min",-0.004
155,"Min",-0.004
165,"Min",-0.00272727272727273
175,"Min",-0.00195238095238095
185,"Min",0
195,"Min",-9e-04
