"position.disgap","Type","Steering"
-195,"Max",0
-185,"Max",0
-175,"Max",0.00143478260869565
-165,"Max",0.00179166666666667
-155,"Max",0.000208333333333333
-145,"Max",0.00278260869565217
-135,"Max",0.004
-125,"Max",0.00195652173913043
-115,"Max",0.001
-105,"Max",0.001
-95,"Max",0.00140909090909091
-85,"Max",0.002
-75,"Max",0.00145454545454545
-65,"Max",0.001
-55,"Max",0.001
-45,"Max",0.001
-35,"Max",0.001
-25,"Max",0.001
-15,"Max",0.001
-5,"Max",0.000772727272727273
5,"Max",0
15,"Max",0
25,"Max",0.00195238095238095
35,"Max",0.00195
45,"Max",0.000904761904761905
55,"Max",0
65,"Max",0.000952380952380952
75,"Max",0.001
85,"Max",0.001
95,"Max",0
105,"Max",0
115,"Max",0.000380952380952381
125,"Max",0.000666666666666667
135,"Max",0
145,"Max",0.000391304347826087
155,"Max",0.002
165,"Max",0
175,"Max",-0.001
185,"Max",-0.001
195,"Max",-0.001
-195,"P85",0
-185,"P85",0
-175,"P85",0.000573913043478261
-165,"P85",0.000716666666666667
-155,"P85",8.33333333333334e-05
-145,"P85",0.00111304347826087
-135,"P85",0.0016
-125,"P85",0.000782608695652175
-115,"P85",0.001
-105,"P85",0.001
-95,"P85",0.00116363636363636
-85,"P85",0.000852173913043479
-75,"P85",0.000581818181818182
-65,"P85",4e-04
-55,"P85",0.000863636363636364
-45,"P85",0.001
-35,"P85",4e-04
-25,"P85",4e-04
-15,"P85",4e-04
-5,"P85",0.000309090909090909
5,"P85",0
15,"P85",0
25,"P85",0.000780952380952382
35,"P85",0.00051913043478261
45,"P85",0.000170995670995671
55,"P85",0
65,"P85",0.000380952380952381
75,"P85",4e-04
85,"P85",4e-04
95,"P85",0
105,"P85",0
115,"P85",0.000152380952380953
125,"P85",0.000266666666666667
135,"P85",0
145,"P85",0.000156521739130435
155,"P85",0.000800000000000001
165,"P85",-2.72727272727273e-05
175,"P85",-0.00102608695652174
185,"P85",-0.00135
195,"P85",-0.00123478260869565
-195,"Median",-0.000380952380952381
-185,"Median",-0.001
-175,"Median",-0.001
-165,"Median",-0.000181818181818182
-155,"Median",0
-145,"Median",0
-135,"Median",0
-125,"Median",0
-115,"Median",0
-105,"Median",-0.000695652173913044
-95,"Median",-0.001
-85,"Median",-0.001
-75,"Median",-0.001
-65,"Median",-0.00091304347826087
-55,"Median",0
-45,"Median",-0.001
-35,"Median",-0.001
-25,"Median",-0.000863636363636364
-15,"Median",-0.00116666666666667
-5,"Median",-0.002
5,"Median",-0.002
15,"Median",-0.00176923076923077
25,"Median",-0.001
35,"Median",-0.001
45,"Median",-0.00260869565217391
55,"Median",-0.002
65,"Median",-0.002
75,"Median",-0.000909090909090909
85,"Median",0
95,"Median",0
105,"Median",0
115,"Median",0
125,"Median",0
135,"Median",0
145,"Median",-0.001
155,"Median",-0.000272727272727273
165,"Median",-0.000260869565217391
175,"Median",-0.00165217391304348
185,"Median",-0.002
195,"Median",-0.002
-195,"Avg",-0.000476190476190476
-185,"Avg",-6e-04
-175,"Avg",-0.000351138716356108
-165,"Avg",-0.000278030303030303
-155,"Avg",-0.00046268115942029
-145,"Avg",-4.34782608695652e-05
-135,"Avg",2e-04
-125,"Avg",-6.95652173913043e-05
-115,"Avg",-2e-04
-105,"Avg",-0.000461352657004831
-95,"Avg",-0.000718181818181818
-85,"Avg",-0.000782608695652174
-75,"Avg",-0.000909090909090909
-65,"Avg",-0.000511180124223603
-55,"Avg",-5.4978354978355e-05
-45,"Avg",-0.000556521739130435
-35,"Avg",-8e-04
-25,"Avg",-0.000610822510822511
-15,"Avg",-0.000833333333333333
-5,"Avg",-0.00154110671936759
5,"Avg",-0.002
15,"Avg",-0.00165819397993311
25,"Avg",-0.000513871635610766
35,"Avg",-0.00119302277432712
45,"Avg",-0.00220442311311877
55,"Avg",-0.00190238095238095
65,"Avg",-0.00124430641821946
75,"Avg",-0.000781818181818182
85,"Avg",-0.000275324675324675
95,"Avg",-6e-04
105,"Avg",-6e-04
115,"Avg",-0.000623809523809524
125,"Avg",-0.000666666666666667
135,"Avg",-8e-04
145,"Avg",-0.000685375494071146
155,"Avg",-0.000454545454545455
165,"Avg",-0.000861264822134387
175,"Avg",-0.0017304347826087
185,"Avg",-0.00191666666666667
195,"Avg",-0.00191462450592885
-195,"Min",-0.001
-185,"Min",-0.001
-175,"Min",-0.00119047619047619
-165,"Min",-0.002
-155,"Min",-0.002
-145,"Min",-0.002
-135,"Min",-0.002
-125,"Min",-0.002
-115,"Min",-0.002
-105,"Min",-0.002
-95,"Min",-0.003
-85,"Min",-0.003
-75,"Min",-0.003
-65,"Min",-0.0015
-55,"Min",-0.00104761904761905
-45,"Min",-0.002
-35,"Min",-0.002
-25,"Min",-0.002
-15,"Min",-0.002
-5,"Min",-0.00447826086956522
5,"Min",-0.006
15,"Min",-0.00452173913043478
25,"Min",-0.00247826086956522
35,"Min",-0.00395652173913043
45,"Min",-0.006
55,"Min",-0.00508333333333333
65,"Min",-0.00317391304347826
75,"Min",-0.002
85,"Min",-0.00228571428571429
95,"Min",-0.003
105,"Min",-0.003
115,"Min",-0.003
125,"Min",-0.003
135,"Min",-0.003
145,"Min",-0.00140909090909091
155,"Min",-0.002
165,"Min",-0.002
175,"Min",-0.00295652173913043
185,"Min",-0.003
195,"Min",-0.00318181818181818
