"position.disgap","Type","SteeringRate"
-195,"Max",0.0158730158730148
-185,"Max",0.0179365079365076
-175,"Max",0.0120448179271711
-165,"Max",0.00762385762385789
-155,"Max",0.0153968253968251
-145,"Max",0.0168888888888902
-135,"Max",0.0178075396825454
-125,"Max",0.00949735449735499
-115,"Max",0.0113744588744591
-105,"Max",0.0103641456582634
-95,"Max",0.00704365079365127
-85,"Max",0.0486147186147422
-75,"Max",0.00747549019607815
-65,"Max",0.00204081632653081
-55,"Max",0.00476190476190521
-45,"Max",0.00846560846560879
-35,"Max",0.00738209159261873
-25,"Max",0.00873015873015818
-15,"Max",0.00493827160493896
-5,"Max",0.00649859943977623
5,"Max",0.00968253968253641
15,"Max",0.00476190476190399
25,"Max",0.00219780219780241
35,"Max",0.00952380952380844
45,"Max",0.00520833333333412
55,"Max",0.00773809523809543
65,"Max",0.00968253968253984
75,"Max",0.00673579109063037
85,"Max",0.00992063492063455
95,"Max",0.0123809523809598
105,"Max",0.0114087301587308
115,"Max",0.00701058201058265
125,"Max",0.0058673469387748
135,"Max",0.0162698412698489
145,"Max",0.0180952380952366
155,"Max",0.0350529100529103
165,"Max",0.0209956709956694
175,"Max",0.0191341991342015
185,"Max",0.022510822510822
195,"Max",0.0134199134199147
-195,"P85",0.0116402116402119
-185,"P85",0.0144922438672442
-175,"P85",0.0113842203548085
-165,"P85",0.00642977392977421
-155,"P85",0.0120396825396833
-145,"P85",0.00731746031746014
-135,"P85",0.0177752976190496
-125,"P85",0.00682870370370354
-115,"P85",0.0106610750360761
-105,"P85",0.00592436974789984
-95,"P85",0.00461805555555479
-85,"P85",0.0174477973007445
-75,"P85",0.00484506302520956
-65,"P85",0.00170068027210901
-55,"P85",0.00404761904761915
-45,"P85",0.00687830687830697
-35,"P85",0.00516184942876786
-25,"P85",0.00551587301587275
-15,"P85",0.00302028218694896
-5,"P85",0.00494097639055638
5,"P85",0.00742063492063391
15,"P85",0.00450680272108832
25,"P85",0.000549450549450603
35,"P85",0.00919913419913904
45,"P85",0.00363974567099589
55,"P85",0.00570075757575803
65,"P85",0.00551587301587255
75,"P85",0.0033322994210094
85,"P85",0.00462301587301651
95,"P85",0.00831501831502042
105,"P85",0.00678075396825476
115,"P85",0.00659626342318566
125,"P85",0.00575718923933213
135,"P85",0.00738378684807539
145,"P85",0.00816964285714371
155,"P85",0.0295667989418022
165,"P85",0.0129870129870121
175,"P85",0.0142458731744462
185,"P85",0.0206876456876449
195,"P85",0.00900974025974085
-195,"Median",0.00827763086586637
-185,"Median",0.00505230880230863
-175,"Median",0.00691876750700335
-165,"Median",0.0047486772486771
-155,"Median",0.00123456790123452
-145,"Median",0.00367258014316835
-135,"Median",0.00710866514437945
-125,"Median",0.00440035273368614
-115,"Median",0.00420394420394438
