"position.disgap","Type","SteeringRate"
-195,"Max",0.0203921568627422
-185,"Max",0.0142857142857179
-175,"Max",0.0143939393939525
-165,"Max",0.0131818181818196
-155,"Max",0.0241241111829289
-145,"Max",0.0181587301587162
-135,"Max",0.0213333333333322
-125,"Max",0.00949494949494491
-115,"Max",0.0044217687074837
-105,"Max",0.0394940476190747
-95,"Max",0.0080357142857079
-85,"Max",0.0115925925925947
-75,"Max",0.0185964912280671
-65,"Max",0.00661375661376263
-55,"Max",0.021925925925929
-45,"Max",0.00982142857143267
-35,"Max",0.0152173913043617
-25,"Max",0.00910173160173857
-15,"Max",0.00842490842490765
-5,"Max",0.0110144927536155
5,"Max",0.0132440476190519
15,"Max",0.032286145227337
25,"Max",0.0244974287050064
35,"Max",0.0138888888888943
45,"Max",0.0150000000000136
55,"Max",0.00784313725490166
65,"Max",0.00764705882352708
75,"Max",0.00840048840049245
85,"Max",0.00471107839528602
95,"Max",0.0126666666666602
105,"Max",0.00769230769230497
115,"Max",0.0108974358974458
125,"Max",0.0169230769230771
135,"Max",0.0157738095237979
145,"Max",0.00994047619047386
155,"Max",0.0253370439084574
165,"Max",0.0173333333333164
175,"Max",0.0126373626373623
185,"Max",0.0207482993197255
195,"Max",0.00756689704058627
-195,"P85",0.0116456582633035
-185,"P85",0.00952380952380899
-175,"P85",0.0134848484848607
-165,"P85",0.011835827216264
-155,"P85",0.0134844439447976
-145,"P85",0.0172570738440318
-135,"P85",0.0105833333333349
-125,"P85",0.00429681429681126
-115,"P85",0.00431950500191894
-105,"P85",0.0254416937229607
-95,"P85",0.00798718944099351
-85,"P85",0.0115345117845112
-75,"P85",0.0169317315026732
-65,"P85",0.00385932150638384
-55,"P85",0.0208981481481491
-45,"P85",0.00975694444443695
-35,"P85",0.0076086956521744
-25,"P85",0.00852543290040875
-15,"P85",0.00813301282051811
-5,"P85",0.00818840579710448
5,"P85",0.0124379960317519
15,"P85",0.0242671884807365
25,"P85",0.0184391719910639
35,"P85",0.0137293650793551
45,"P85",0.0105681818181914
55,"P85",0.00706282513005162
65,"P85",0.00759358288769974
75,"P85",0.00644536019536153
85,"P85",0.00377392344497771
95,"P85",0.00787254901959691
105,"P85",0.00348557692307766
115,"P85",0.00867673992673767
125,"P85",0.013516483516492
135,"P85",0.0097767857142881
145,"P85",0.00977678571428979
155,"P85",0.0123461657390194
165,"P85",0.0116232492997162
175,"P85",0.0077646038172339
185,"P85",0.0118835034013561
195,"P85",0.00689172426014638
-195,"Median",0.00280612244898049
-185,"Median",0.00352334943639612
-175,"Median",0.00111111111111002
-165,"Median",0.00265151515151595
-155,"Median",0.00739538239538141
-145,"Median",0.005669286853492
-135,"Median",0.00338068181818061
-125,"Median",0.00111111111111107
-115,"Median",0.00218181818181865
-105,"Median",0.00215201465201419
-95,"Median",0.00302197802197678
-85,"Median",0.00720238095238605
-75,"Median",0.0079220779220819
-65,"Median",0.000483091787439748
-55,"Median",0.00518849206349496
-45,"Median",0.00389825495415637
-35,"Median",0.00347576530612105
-25,"Median",0.00587285902503328
-15,"Median",0.00450310559006211
-5,"Median",0.0035745614035108
5,"Median",0.00625564738291529
15,"Median",0.00652215431627131
25,"Median",0.00610213316094538
35,"Median",0.00416666666666293
45,"Median",0.00691326530611816
55,"Median",0.00605555555554743
65,"Median",0.00614814814815374
75,"Median",0.00411481481481506
85,"Median",0.00230158730158827
95,"Median",0.00426065162906016
105,"Median",0.000999999999998636
115,"Median",0.00491718426501116
125,"Median",0.00719373219373874
135,"Median",0.00200000000000182
145,"Median",0.00303643724696147
155,"Median",0.00288194444444707
165,"Median",0.00477954144620362
175,"Median",0.00488888888888727
185,"Median",0.00224358974358905
195,"Median",0.00336538461538646
-195,"Avg",0.00578909341514341
-185,"Avg",0.00487815351583602
-175,"Avg",0.00496632996633378
-165,"Avg",0.00497866867432171
-155,"Avg",0.00814212736207426
-145,"Avg",0.00774230426747287
-135,"Avg",0.00584911616161599
-125,"Avg",0.00238021238021118
-115,"Avg",0.00217847036186417
-105,"Avg",0.0107592754467821
-95,"Avg",0.00367511413706947
-85,"Avg",0.00625208433541947
-75,"Avg",0.00981988508638203
-65,"Avg",0.00175351944320551
-55,"Avg",0.00880974426807913
-45,"Avg",0.00455889803586397
