"position.disgap","Type","SteeringRate"
-195,"Max",0.0108843537414824
-185,"Max",0.0137681159420195
-175,"Max",0.017297979797993
-165,"Max",0.00530303030302221
-155,"Max",0.00303030303030579
-145,"Max",0.00303030303030579
-135,"Max",0.00833333333334091
-125,"Max",0.00634920634920611
-115,"Max",0.010090702947855
-105,"Max",0.00666666666667273
-95,"Max",0.0242424242424233
-85,"Max",0.0114285714285623
-75,"Max",0.00579710144928063
-65,"Max",0.00606060606058861
-55,"Max",0.00317460317460606
-45,"Max",0.00833333333334091
-35,"Max",0.00375000000000341
-25,"Max",0.00408163265306494
-15,"Max",0.00317460317460606
-5,"Max",0.00317460317460606
5,"Max",0.00833333333331794
15,"Max",0.00378787878787649
25,"Max",0.00190476190476364
35,"Max",0.00583333333333864
45,"Max",0.00436507936508334
55,"Max",0
65,"Max",0.00238095238095455
75,"Max",0.00317460317460606
85,"Max",0.0127272727272843
95,"Max",0
105,"Max",0.00952380952381819
115,"Max",0.00555555555556061
125,"Max",0.00238095238095455
135,"Max",0.00555555555554707
145,"Max",0.00530303030303513
155,"Max",0.00757575757576447
165,"Max",0
175,"Max",0.00317460317460606
185,"Max",0.00436507936508334
195,"Max",0.00666666666664747
-195,"P85",0.00435374149659298
-185,"P85",0.0065981554677179
-175,"P85",0.0105555555555641
-165,"P85",0.00321212121211401
-155,"P85",0.00295125164690651
-145,"P85",0.00303030303030579
-135,"P85",0.00510606060606525
-125,"P85",0.00526695526695765
-115,"P85",0.00585446299732547
-105,"P85",0.00647619047619637
-95,"P85",0.0123056653491382
-85,"P85",0.00638961038960838
-75,"P85",0.00405797101449644
-65,"P85",0.00560606060604274
-55,"P85",0.00217893217893416
-45,"P85",0.0057142857142873
-35,"P85",0.00150000000000137
-25,"P85",0.00163265306122598
-15,"P85",0.00126984126984243
-5,"P85",0.00269841269841515
5,"P85",0.00469696969695703
15,"P85",0.0015151515151506
25,"P85",0.000761904761905456
35,"P85",0.00233333333333546
45,"P85",0.00424603174602183
55,"P85",0
65,"P85",0.00186147186147355
75,"P85",0.00269841269840703
85,"P85",0.0069090909090972
95,"P85",0
105,"P85",0.00380952380952728
115,"P85",0.00222222222222425
125,"P85",0.000952380952381819
135,"P85",0.00412698412698247
145,"P85",0.00212121212121405
155,"P85",0.0040303030303067
165,"P85",0
175,"P85",0.00217893217893072
185,"P85",0.00365079365079697
195,"P85",0.0040952380952236
-195,"Median",0
-185,"Median",0
-175,"Median",0.00606060606061157
-165,"Median",0.00151515151515289
-155,"Median",0
-145,"Median",0.00227272727272934
-135,"Median",0
-125,"Median",0
-115,"Median",0.00227272727272934
-105,"Median",0
-95,"Median",0
-85,"Median",0
-75,"Median",0.00181818181818347
-65,"Median",0
-55,"Median",0
-45,"Median",0
-35,"Median",0
-25,"Median",0
-15,"Median",0
-5,"Median",0
5,"Median",0
15,"Median",0
25,"Median",0
35,"Median",0
45,"Median",0
55,"Median",0
65,"Median",0
75,"Median",0.00238095238094101
85,"Median",0.00158730158730303
95,"Median",0
105,"Median",0
115,"Median",0
125,"Median",0
135,"Median",0
145,"Median",0
155,"Median",0
165,"Median",0
175,"Median",0
185,"Median",0
195,"Median",0
-195,"Avg",0.00217687074829649
-185,"Avg",0.0031172595520406
-175,"Avg",0.00679292929292463
-165,"Avg",0.00172727272727006
-155,"Avg",0.00118577075098922
-145,"Avg",0.00204761904762091
-135,"Avg",0.00225757575757781
-125,"Avg",0.00217893217893296
-115,"Avg",0.00307874665017802
-105,"Avg",0.00260317460317697
-95,"Avg",0.00571805006587429
-85,"Avg",0.00289177489177361
-75,"Avg",0.00210276679842088
-65,"Avg",0.00227272727272015
-55,"Avg",0.000937950937951791
-45,"Avg",0.00246031746031849
-35,"Avg",0.000750000000000682
-25,"Avg",0.000816326530612987
-15,"Avg",0.000634920634921212
-5,"Avg",0.00111111111111212
5,"Avg",0.00212121212120687
15,"Avg",0.000757575757575298
25,"Avg",0.000380952380952727
35,"Avg",0.00116666666666773
45,"Avg",0.00170634920634616
55,"Avg",0
65,"Avg",0.000779220779221488
75,"Avg",0.00158730158729762
85,"Avg",0.00346897546897862
95,"Avg",0
105,"Avg",0.00190476190476364
115,"Avg",0.00111111111111212
125,"Avg",0.000476190476190909
135,"Avg",0.00174603174603063
145,"Avg",0.00106060606060703
155,"Avg",0.00184848484848653
165,"Avg",0
175,"Avg",0.000937950937950643
185,"Avg",0.00150793650793788
195,"Avg",0.0018095238095177
-195,"Min",0
-185,"Min",0
-175,"Min",0
-165,"Min",0
-155,"Min",0
-145,"Min",0
-135,"Min",0
-125,"Min",0
-115,"Min",0
-105,"Min",0
-95,"Min",0
-85,"Min",0
-75,"Min",0
-65,"Min",0
-55,"Min",0
-45,"Min",0
-35,"Min",0
-25,"Min",0
-15,"Min",0
-5,"Min",0
5,"Min",0
15,"Min",0
25,"Min",0
35,"Min",0
45,"Min",0
55,"Min",0
65,"Min",0
75,"Min",0
85,"Min",0
95,"Min",0
105,"Min",0
115,"Min",0
125,"Min",0
135,"Min",0
145,"Min",0
155,"Min",0
165,"Min",0
175,"Min",0
185,"Min",0
195,"Min",0
