"position.disgap","Type","SteeringRate"
-195,"Max",0.00317460317460606
-185,"Max",0
-175,"Max",0.00507246376811438
-165,"Max",0.00208333333333523
-155,"Max",0.00555555555556061
-145,"Max",0.00826086956522216
-135,"Max",0
-125,"Max",0.00724637681160079
-115,"Max",0
-105,"Max",0.00529100529099349
-95,"Max",0.00227272727272934
-85,"Max",0.00173913043478419
-75,"Max",0.00227272727272934
-65,"Max",0.00530303030302867
-55,"Max",0.00317460317459403
-45,"Max",0.00434782608696048
-35,"Max",0.00217391304348024
-25,"Max",0.00530303030303513
-15,"Max",0.00486111111111553
-5,"Max",0.00869565217390997
5,"Max",0
15,"Max",0.00797101449275469
25,"Max",0.0050793650793697
35,"Max",0.00797101449276087
45,"Max",0.00317460317460606
55,"Max",0.00381944444444644
65,"Max",0.0036231884058004
75,"Max",0.00357142857142971
85,"Max",0.00282828282828412
95,"Max",0.0013605442176861
105,"Max",0
115,"Max",0.00303030303030579
125,"Max",0.00317460317460606
135,"Max",0
145,"Max",0.00555555555555384
155,"Max",0.00227272727272934
165,"Max",0.00608695652174192
175,"Max",0.00289855072464032
185,"Max",0.0027777777777803
195,"Max",0.00217391304348024
-195,"P85",0.00126984126984243
-185,"P85",0
-175,"P85",0.00393374741200939
-165,"P85",0.00161255411255431
-155,"P85",0.00352657004831239
-145,"P85",0.00330434782608887
-135,"P85",0
-125,"P85",0.0072463768115942
-115,"P85",0
-105,"P85",0.003855532551175
-95,"P85",0.000909090909091737
-85,"P85",0.000695652173913677
-75,"P85",0.000909090909091737
-65,"P85",0.00354978354978014
-55,"P85",0.00308802308802108
-45,"P85",0.00173913043478419
-35,"P85",0.000869565217392096
-25,"P85",0.00293753865182704
-15,"P85",0.00194444444444621
-5,"P85",0.00529644268774746
5,"P85",0
15,"P85",0.00349609810479423
25,"P85",0.00495100069013277
35,"P85",0.00795031055901344
45,"P85",0.0030880230880259
55,"P85",0.0029563492063513
65,"P85",0.00240165631470017
75,"P85",0.00142857142857189
85,"P85",0.00208369408369366
95,"P85",0.000544217687074442
105,"P85",0
115,"P85",0.00264069264069098
125,"P85",0.00126984126984243
135,"P85",0
145,"P85",0.00467676767676922
155,"P85",0.000909090909091737
165,"P85",0.00425296442688024
175,"P85",0.00277432712215408
185,"P85",0.00111111111111212
195,"P85",0.00177865612648211
-195,"Median",0
-185,"Median",0
-175,"Median",0
-165,"Median",0
-155,"Median",0
-145,"Median",0
-135,"Median",0
-125,"Median",0.00108695652173857
-115,"Median",0
-105,"Median",0
-95,"Median",0
-85,"Median",0
-75,"Median",0
-65,"Median",0.00217391304348024
-55,"Median",0
-45,"Median",0
-35,"Median",0
-25,"Median",0
-15,"Median",0
-5,"Median",0
5,"Median",0
15,"Median",0
25,"Median",0.00144927536232016
35,"Median",0.00507246376812056
45,"Median",0.00217391304347406
55,"Median",0
65,"Median",0
75,"Median",0
85,"Median",0
95,"Median",0
105,"Median",0
115,"Median",0
125,"Median",0
135,"Median",0
145,"Median",0.00303030303030579
155,"Median",0
165,"Median",0
175,"Median",0.00217391304347406
185,"Median",0
195,"Median",0
-195,"Avg",0.000634920634921212
-185,"Avg",0
-175,"Avg",0.00164941338854409
-165,"Avg",0.00067640692640712
-155,"Avg",0.00154589371980817
-145,"Avg",0.00165217391304443
-135,"Avg",0
-125,"Avg",0.00311594202898584
-115,"Avg",0
-105,"Avg",0.00163791120312456
-95,"Avg",0.000454545454545868
-85,"Avg",0.000347826086956838
-75,"Avg",0.000454545454545868
-65,"Avg",0.00197157914549134
-55,"Avg",0.00124098124097996
-45,"Avg",0.000869565217392095
-35,"Avg",0.000434782608696048
-25,"Avg",0.00133271490414469
-15,"Avg",0.000972222222223106
-5,"Avg",0.00234519104084315
5,"Avg",0
15,"Avg",0.00169676700111506
25,"Avg",0.00227881297446627
35,"Avg",0.0051959972394788
45,"Avg",0.00191385908777264
55,"Avg",0.0012400793650802
65,"Avg",0.00104209799862008
75,"Avg",0.000714285714285942
85,"Avg",0.00088311688311683
95,"Avg",0.000272108843537221
105,"Avg",0
115,"Avg",0.00108225108225071
125,"Avg",0.000634920634921212
135,"Avg",0
145,"Avg",0.003115063680282
155,"Avg",0.000454545454545868
165,"Avg",0.00182345191040954
175,"Avg",0.00155279503105553
185,"Avg",0.000555555555556061
195,"Avg",0.000737812911726052
-195,"Min",0
-185,"Min",0
-175,"Min",0
-165,"Min",0
-155,"Min",0
-145,"Min",0
-135,"Min",0
-125,"Min",0
-115,"Min",0
-105,"Min",0
-95,"Min",0
-85,"Min",0
-75,"Min",0
-65,"Min",0
-55,"Min",0
-45,"Min",0
-35,"Min",0
-25,"Min",0
-15,"Min",0
-5,"Min",0
5,"Min",0
15,"Min",0
25,"Min",0
35,"Min",0
45,"Min",0
55,"Min",0
65,"Min",0
75,"Min",0
85,"Min",0
95,"Min",0
105,"Min",0
115,"Min",0
125,"Min",0
135,"Min",0
145,"Min",0
155,"Min",0
165,"Min",0
175,"Min",0
185,"Min",0
195,"Min",0
