"position.disgap","Type","TLC"
-195,"Max",48.4932259928342
-185,"Max",15.1349620500625
-175,"Max",115.817333025924
-165,"Max",40.8909719662938
-155,"Max",30.7283467163721
-145,"Max",50.0283883556077
-135,"Max",32.1784282790237
-125,"Max",15.056782462665
-115,"Max",46.9541850159704
-105,"Max",18.7061599125019
-95,"Max",7.48913793943928
-85,"Max",15.0560076777764
-75,"Max",16.1468200170005
-65,"Max",6.20768133100542
-55,"Max",12.7242946634303
-45,"Max",27.455187413921
-35,"Max",61.7631618646253
-25,"Max",57.1431212551777
-15,"Max",26.6750394522205
-5,"Max",34.8287959827339
5,"Max",8.07331272820087
15,"Max",35.8736447729358
25,"Max",59.8322431732846
35,"Max",98.8811438931078
45,"Max",70.536901179005
55,"Max",49.9228885391459
65,"Max",51.9424128002153
75,"Max",27.8048607207931
85,"Max",63.7064135146183
95,"Max",34.1004443591768
105,"Max",174.02372035596
115,"Max",18.1289790022773
125,"Max",74.3464159192245
135,"Max",4.26581661190688
145,"Max",15.5982285808537
155,"Max",32.6067431299541
165,"Max",19.6020342193978
175,"Max",34.1186958824226
185,"Max",21.5722783560224
195,"Max",55.8883881416219
-195,"P85",28.9469301631024
-185,"P85",14.1817187726188
-175,"P85",46.7635087607058
-165,"P85",39.4708773266021
-155,"P85",23.1629013926173
-145,"P85",46.0161858055988
-135,"P85",25.0323106548436
-125,"P85",11.2790380216759
-115,"P85",14.9777672728281
-105,"P85",9.44858620390349
-95,"P85",6.3022816218052
-85,"P85",9.17269110621241
-75,"P85",7.0025596266693
-65,"P85",3.64738073384721
-55,"P85",11.3100320048347
-45,"P85",13.1977818880975
-35,"P85",33.8313403274068
-25,"P85",33.4585924006428
-15,"P85",23.1608647558248
-5,"P85",32.6658029701642
5,"P85",5.37705412805415
15,"P85",30.4260636606075
25,"P85",35.2054152406408
35,"P85",72.4486224374917
45,"P85",63.7325853662227
55,"P85",45.5922267993156
65,"P85",30.9592078058979
75,"P85",20.0026356538893
85,"P85",57.6668847711857
95,"P85",30.8226962979694
105,"P85",126.300026804768
115,"P85",17.2753471551419
125,"P85",34.6760738950909
135,"P85",4.09362696703838
145,"P85",9.30637804309736
155,"P85",27.2009347831515
165,"P85",18.0362478105673
175,"P85",32.6959017495096
185,"P85",20.0637451732654
195,"P85",32.9020531773174
-195,"Median",4.58646309099389
-185,"Median",6.72520099722258
-175,"Median",6.75420870115706
-165,"Median",15.6449810860167
-155,"Median",9.49212636939839
-145,"Median",20.5150790917364
-135,"Median",4.70764804482156
-125,"Median",3.98457832807354
-115,"Median",3.76842591728831
-105,"Median",3.91057184348169
-95,"Median",3.38875544681256
-85,"Median",4.6451846106762
-75,"Median",3.05094018003746
-65,"Median",2.64004027681871
-55,"Median",3.3200951872674
-45,"Median",3.91165652504026
-35,"Median",7.0064340782663
-25,"Median",14.3699388560407
-15,"Median",11.9974652487836
-5,"Median",3.13307839367761
5,"Median",2.79346714147574
15,"Median",26.7889182137867
25,"Median",20.7025503137072
35,"Median",39.2025875986255
45,"Median",20.9052056669322
55,"Median",16.7633632610761
65,"Median",14.8653758241733
75,"Median",14.6900661174423
85,"Median",34.6448538550541
95,"Median",27.7066128451827
105,"Median",40.2448141497473
115,"Median",14.2405407886908
125,"Median",19.3509501154627
135,"Median",3.40576688862749
145,"Median",4.75497884380798
155,"Median",15.6243144139334
165,"Median",10.4863759177695
175,"Median",16.7462213890013
185,"Median",17.3544704655499
195,"Median",22.7457868926798
-195,"Avg",13.793360863432
-185,"Avg",7.78209283794831
-175,"Avg",26.6839434246278
-165,"Avg",19.9083538272531
-155,"Avg",13.320676545643
-145,"Avg",23.4800191931133
-135,"Avg",11.3260056803862
-125,"Avg",6.04876842302245
-115,"Avg",10.3935996364219
-105,"Avg",6.05182379043562
-95,"Avg",3.95873522493744
-85,"Avg",5.93765020257683
-75,"Avg",4.59122676975381
-65,"Avg",2.55901992377681
-55,"Avg",5.38469949349556
-45,"Avg",7.82040836783896
-35,"Avg",17.4650951754853
-25,"Avg",19.3200109168195
-15,"Avg",12.5944553671011
-5,"Avg",12.4193728697748
5,"Avg",3.36720186872598
15,"Avg",24.2975772965806
25,"Avg",25.3060379507847
35,"Avg",46.118671871273
45,"Avg",32.2473513545985
55,"Avg",23.5004875687095
65,"Avg",19.6291912723025
75,"Avg",15.5026550874036
85,"Avg",34.4906932192858
95,"Avg",24.9886593815312
105,"Avg",65.5210543819162
115,"Avg",13.9122701007296
125,"Avg",23.275183365871
135,"Avg",3.49081173258919
145,"Avg",6.64308787328139
155,"Avg",16.5449689474437
165,"Avg",12.0525557905727
175,"Avg",19.4220878016089
185,"Avg",16.5571566534931
195,"Avg",23.5997756292714
-195,"Min",1.00976337173562
-185,"Min",1.90944704340849
-175,"Min",3.22293447054008
-165,"Min",2.39883992991633
-155,"Min",3.12423010224517
-145,"Min",2.01823783867683
-135,"Min",1.15030276179747
-125,"Min",1.05278402408074
-115,"Min",1.11074552529957
-105,"Min",0.184999511152632
-95,"Min",0.388145256965755
-85,"Min",0.794807694346593
-75,"Min",0.223094470271297
-65,"Min",0.471447587123011
-55,"Min",0.836786410488358
-45,"Min",1.33507053051027
-35,"Min",1.63375167974985
-25,"Min",1.92402055696282
-15,"Min",0.741779872245859
-5,"Min",0.21776484945142
5,"Min",0.712824859276053
15,"Min",2.25108000388472
25,"Min",11.4509985131867
35,"Min",12.4033114935189
45,"Min",9.79519525249978
55,"Min",5.81817357621563
65,"Min",5.77159585220566
75,"Min",6.49810721284546
85,"Min",8.45860393863939
95,"Min",9.21011329166733
105,"Min",13.3070409368814
115,"Min",7.62437160520614
125,"Min",2.38937770064699
135,"Min",2.84311756658835
145,"Min",3.67593137135637
155,"Min",3.69586161250227
165,"Min",6.40837186266214
175,"Min",5.8871176154505
185,"Min",11.1371524237412
195,"Min",7.2402155699679
