"position.disgap","Type","TLC"
-195,"Max",29.072686053646
-185,"Max",98.2853077461583
-175,"Max",42.7651010489199
-165,"Max",28.3510831600953
-155,"Max",23.9391329959419
-145,"Max",28.804675454089
-135,"Max",105.086994021729
-125,"Max",35.5984560274972
-115,"Max",40.1127857742247
-105,"Max",152.759492264622
-95,"Max",79.2040215024647
-85,"Max",17.0498078711149
-75,"Max",24.250711195249
-65,"Max",48.776047615927
-55,"Max",111.006623456714
-45,"Max",84.4238917977602
-35,"Max",13.10386265659
-25,"Max",12.334770834715
-15,"Max",145.346090586135
-5,"Max",103.978550877954
5,"Max",17.5450548905166
15,"Max",35.9881862222644
25,"Max",10.2577494265223
35,"Max",6.81792667723552
45,"Max",1.64956619073865
55,"Max",2.35788582271553
65,"Max",8.36190635075267
75,"Max",10.0237575144011
85,"Max",12.3470003790311
95,"Max",25.9334727778333
105,"Max",20.2794749710296
115,"Max",20.6516748980197
125,"Max",25.3494026344091
135,"Max",26.1363756709283
145,"Max",17.7337597182183
155,"Max",12.1572777676382
165,"Max",6.7235988756282
175,"Max",8.54221352380164
185,"Max",11.0510644931902
195,"Max",24.1558131320054
-195,"P85",27.4477542339909
-185,"P85",78.6789644787291
-175,"P85",33.9651784155825
-165,"P85",27.7897520896717
-155,"P85",23.3544452841223
-145,"P85",28.6201614964226
-135,"P85",92.3682907397691
-125,"P85",29.0190369101485
-115,"P85",35.2932452815774
-105,"P85",88.3311744517753
-95,"P85",42.4023453101783
-85,"P85",16.7860862166263
-75,"P85",21.907939055264
-65,"P85",40.3734409801908
-55,"P85",70.1501723404681
-45,"P85",37.1678741892929
-35,"P85",11.3784483333277
-25,"P85",7.84127016270909
-15,"P85",114.497742553178
-5,"P85",86.3585486574531
5,"P85",11.5171641377846
15,"P85",34.9144608390493
25,"P85",4.6906298177679
35,"P85",2.57836411662785
45,"P85",1.55488550921971
55,"P85",2.20279425024825
65,"P85",7.24155272984816
75,"P85",9.6848939908506
85,"P85",12.3134143587365
95,"P85",18.0971310163188
105,"P85",16.7451549553854
115,"P85",13.9200761568874
125,"P85",15.6854852885463
135,"P85",12.1446333595204
145,"P85",8.32793186324067
155,"P85",6.38790312847077
165,"P85",6.34299646334922
175,"P85",7.1080745431017
185,"P85",10.3386258213066
195,"P85",17.0823730675852
-195,"Median",15.1268014788078
-185,"Median",61.8957787148527
-175,"Median",20.1042147941179
-165,"Median",24.9444203548144
-155,"Median",13.1014589907079
-145,"Median",17.1272821324097
-135,"Median",81.5363320471913
-125,"Median",25.9999373134778
-115,"Median",18.1912708570086
-105,"Median",53.7274865183425
-95,"Median",18.394250325871
-85,"Median",14.316875808429
-75,"Median",15.3727271051585
-65,"Median",29.113662285718
-55,"Median",34.4759648473671
-45,"Median",11.7751102301208
-35,"Median",4.04517753303854
-25,"Median",4.03258467728066
-15,"Median",50.2773901034388
-5,"Median",32.2298346278463
5,"Median",5.62851389927135
15,"Median",16.6758154277722
25,"Median",1.73810779744885
35,"Median",0.746582783129316
45,"Median",1.05933668901165
55,"Median",1.72867839534934
65,"Median",6.20818332373656
75,"Median",6.9903093717561
85,"Median",8.31685786280422
95,"Median",7.18395505371999
105,"Median",9.3931606051784
115,"Median",8.38602619387443
125,"Median",7.69767810106816
135,"Median",1.93166808374583
145,"Median",2.49556892219748
155,"Median",2.93235554549699
165,"Median",3.26778198219891
175,"Median",3.80510321448724
185,"Median",8.41096087375651
195,"Median",11.5616796677841
-195,"Avg",17.2496977954223
-185,"Avg",50.7079020244109
-175,"Avg",21.3434386955939
-165,"Avg",20.6978684052626
-155,"Avg",15.5985597582141
-145,"Avg",17.2594066673425
-135,"Avg",70.3007611203755
-125,"Avg",26.5832392972808
-115,"Avg",21.0627179373006
-105,"Avg",57.3820169536647
-95,"Avg",27.2904469824114
-85,"Avg",13.3878382021807
-75,"Avg",13.8275317356352
-65,"Avg",25.0954787670835
-55,"Avg",40.2920932706033
-45,"Avg",22.5486269566087
-35,"Avg",6.57886874944632
-25,"Avg",5.10179343534434
-15,"Avg",59.3826873186191
-5,"Avg",42.6547145440413
5,"Avg",7.09294210429516
15,"Avg",17.9420940342277
25,"Avg",2.99479195029497
35,"Avg",1.55740993091769
45,"Avg",0.969374822417792
55,"Avg",1.55479954053
65,"Avg",4.99029171803132
75,"Avg",6.21711274864386
85,"Avg",7.77276623561126
95,"Avg",9.69391625163374
105,"Avg",9.60001782345731
115,"Avg",8.71818897068508
125,"Avg",9.47657717900325
135,"Avg",6.44300136588964
145,"Avg",4.77265498832623
155,"Avg",4.00817665032783
165,"Avg",3.53788840816276
175,"Avg",4.34620361925533
185,"Avg",7.26021615646697
195,"Avg",12.379515786502
-195,"Min",5.65709528592211
-185,"Min",4.82905906924743
-175,"Min",5.3179172027171
-165,"Min",7.15128790230215
-155,"Min",10.0619946632902
-145,"Min",5.78578591423772
-135,"Min",15.8321371994424
-125,"Min",22.2822054652509
-115,"Min",7.54296607820206
-105,"Min",4.75487160079804
-95,"Min",7.20916801173285
-85,"Min",4.2747922528065
-75,"Min",0.444591438076963
-65,"Min",1.00184423157085
-55,"Min",1.53363578663871
-45,"Min",2.82567219921962
-35,"Min",3.70837124417428
-25,"Min",0.478305107978003
-15,"Min",0.956470125360364
-5,"Min",1.41517724803241
5,"Min",1.56078732985931
15,"Min",1.70133604563768
25,"Min",0.688756390995361
35,"Min",-0.111359434468371
45,"Min",0.218678129132147
55,"Min",0.66193618985002
65,"Min",1.09617906850752
75,"Min",1.61783018630787
85,"Min",2.14212982637307
95,"Min",-0.321559500900469
105,"Min",0.135319425040278
115,"Min",0.600768485911823
125,"Min",1.13895383573479
135,"Min",-0.0594120896274665
145,"Min",0.351624676967989
155,"Min",0.713748667014662
165,"Min",0.435857935175731
175,"Min",0.875902707881431
185,"Min",1.41279645459861
195,"Min",2.25270859979779
