"position.disgap","Type","TLC"
-195,"Max",32.363991988103
-185,"Max",352.066038427887
-175,"Max",37.5850359444117
-165,"Max",20.5480131046455
-155,"Max",15.9358924564304
-145,"Max",42.6184733128334
-135,"Max",330.094819097098
-125,"Max",21.0607867782403
-115,"Max",20.1584290123188
-105,"Max",33.18570737505
-95,"Max",48.3634757684342
-85,"Max",24.6943416705065
-75,"Max",15.9710061505123
-65,"Max",7.86051689475006
-55,"Max",8.70690900026447
-45,"Max",23.5225824191967
-35,"Max",86.7678193840943
-25,"Max",66.2410726458549
-15,"Max",20.2237564513523
-5,"Max",22.370868827294
5,"Max",41.3913076996719
15,"Max",109.87941782684
25,"Max",21.7909305958894
35,"Max",21.4375593355767
45,"Max",21.8533168335964
55,"Max",30.0545472743973
65,"Max",42.5313975986776
75,"Max",66.5082489278333
85,"Max",21.7148609114564
95,"Max",17.6635925371115
105,"Max",27.6188829141576
115,"Max",115.974953293439
125,"Max",136.952598672818
135,"Max",16.0192812224384
145,"Max",16.9415375410516
155,"Max",57.9024306670647
165,"Max",518.980178296752
175,"Max",19.0637029086038
185,"Max",12.4157302801638
195,"Max",18.9696358112888
-195,"P85",30.568410850692
-185,"P85",312.044272797568
-175,"P85",33.1194570118917
-165,"P85",18.2493043809269
-155,"P85",15.0233043519962
-145,"P85",39.9407732563438
-135,"P85",313.245207769987
-125,"P85",20.3581253317634
-115,"P85",19.7483290492083
-105,"P85",30.2785015194315
-95,"P85",23.9805228527282
-85,"P85",15.471965213794
-75,"P85",13.2335251561075
-65,"P85",7.35249781101914
-55,"P85",7.50209461757718
-45,"P85",13.7964948943508
-35,"P85",81.7521328670126
-25,"P85",57.798031317893
-15,"P85",19.0312182163866
-5,"P85",21.4507648227246
5,"P85",40.0838770214547
15,"P85",99.128757866779
25,"P85",18.0793266315895
35,"P85",16.9286252876795
45,"P85",16.4422329102739
55,"P85",23.6184224087113
65,"P85",22.1132356511777
75,"P85",32.9943645072681
85,"P85",17.2584866999319
95,"P85",12.6001627777131
105,"P85",14.5245989039539
115,"P85",84.9968702256339
125,"P85",123.539714332748
135,"P85",13.2308480574259
145,"P85",11.8380714730288
155,"P85",52.7674580309748
165,"P85",518.60995175058
175,"P85",17.3254143360482
185,"P85",10.0989626704171
195,"P85",16.2222745003732
-195,"Median",22.9592211509549
-185,"Median",5.2229485242521
-175,"Median",6.89375804220879
-165,"Median",9.72795777607184
-155,"Median",13.8561373569345
-145,"Median",31.5704643754798
-135,"Median",251.250267072256
-125,"Median",16.1776411964968
-115,"Median",16.7998921179167
-105,"Median",7.17764753230219
-95,"Median",5.68173753573952
-85,"Median",4.881565811997
-75,"Median",4.28625391483416
-65,"Median",5.24257856688424
-55,"Median",6.08024553820383
-45,"Median",4.6521712360945
-35,"Median",66.1540534126277
-25,"Median",40.5174475605588
-15,"Median",18.0121301488683
-5,"Median",12.0735843835529
5,"Median",30.2731955826645
15,"Median",65.4738985025178
25,"Median",14.0360594461539
35,"Median",9.27871012251555
45,"Median",12.814457257297
55,"Median",6.37786752875963
65,"Median",7.80876222844991
75,"Median",9.83181750056556
85,"Median",12.7607664501866
95,"Median",6.13269127733246
105,"Median",5.53534503689139
115,"Median",52.342272881807
125,"Median",103.714831746602
135,"Median",11.0241081015371
145,"Median",7.2508887186772
155,"Median",48.2198855767463
165,"Median",448.543127785313
175,"Median",15.6906018728994
185,"Median",8.1538071528091
195,"Median",13.7580112996979
-195,"Avg",18.3035311935831
-185,"Avg",130.160794032479
-175,"Avg",16.9587279174528
-165,"Avg",12.3379839283844
-155,"Avg",13.392067910906
-145,"Avg",26.7776286339534
-135,"Avg",180.571561233867
-125,"Avg",16.6269052705165
-115,"Avg",15.4550554376955
-105,"Avg",16.2934499529221
-95,"Avg",14.2731758692284
-85,"Avg",8.99667743277254
-75,"Avg",7.39593135508251
-65,"Avg",5.41478342284776
-55,"Avg",5.72667791542794
-45,"Avg",8.15388558909619
-35,"Avg",47.4112383707165
-25,"Avg",32.9417558269045
-15,"Avg",15.5986951983265
-5,"Avg",14.2323912120234
5,"Avg",24.7098136512725
15,"Avg",56.4712755136324
25,"Avg",14.3203222460567
35,"Avg",11.7002666223363
45,"Avg",11.1362193619955
55,"Avg",12.4308878211563
65,"Avg",12.8426873905105
75,"Avg",18.3741320694108
85,"Avg",11.9364202179715
