"position.disgap","Type","TLC"
-195,"Max",73.4803012834489
-185,"Max",27.866666489918
-175,"Max",16.2115026872319
-165,"Max",12.177791534755
-155,"Max",44.2095129776785
-145,"Max",25.7555290872066
-135,"Max",51.8529406905402
-125,"Max",56.3659044837377
-115,"Max",36.8497350740477
-105,"Max",19.5174380644187
-95,"Max",27.0562273596109
-85,"Max",43.4486010556903
-75,"Max",165.482385494369
-65,"Max",35.8295555924283
-55,"Max",20.3880154416435
-45,"Max",14.1312513532789
-35,"Max",11.1630302284841
-25,"Max",16.4766427665262
-15,"Max",21.7083807182528
-5,"Max",31.692821134379
5,"Max",116.536781716626
15,"Max",54.736888093659
25,"Max",30.4488447996772
35,"Max",18.3767566008675
45,"Max",54.1189436129687
55,"Max",78.290872633084
65,"Max",38.2612735744537
75,"Max",22.9644086753871
85,"Max",15.9401254795617
95,"Max",11.8648155061714
105,"Max",14.5575833594041
115,"Max",29.8663570487631
125,"Max",134.227829953062
135,"Max",35.7164719850442
145,"Max",30.9703802847976
155,"Max",19.2968744701668
165,"Max",44.8964726209528
175,"Max",134.766487159704
185,"Max",32.9040250219815
195,"Max",24.900975790745
-195,"P85",33.165468816197
-185,"P85",16.1246824249817
-175,"P85",12.0032868325687
-165,"P85",11.8517369020671
-155,"P85",37.5069096934016
-145,"P85",24.4584111228404
-135,"P85",48.4973734530783
-125,"P85",50.4870542300227
-115,"P85",30.2220548730633
-105,"P85",16.9935996200627
-95,"P85",21.1143522281211
-85,"P85",34.0031304445054
-75,"P85",104.050495341125
-65,"P85",29.9645525008254
-55,"P85",19.779013083782
-45,"P85",13.7254110841259
-35,"P85",10.9254598968713
-25,"P85",13.8978930196886
-15,"P85",18.4981231519809
-5,"P85",28.7032496700634
5,"P85",89.8365316946337
15,"P85",49.7401874986964
25,"P85",22.362208231639
35,"P85",17.4993712250785
45,"P85",41.4380042251206
55,"P85",73.9855766722383
65,"P85",36.0962200568729
75,"P85",21.0754672381172
85,"P85",14.1228776261085
95,"P85",10.135393586338
105,"P85",13.2123376681705
115,"P85",27.8287936465865
125,"P85",101.682175455316
135,"P85",30.7383843012401
145,"P85",25.1039178312743
155,"P85",18.6267227402877
165,"P85",38.6012872781304
175,"P85",130.53357353227
185,"P85",32.7391142663604
195,"P85",20.9097901799882
-195,"Median",5.77930389550286
-185,"Median",7.35187653838661
-175,"Median",7.45912871695568
-165,"Median",10.1697895950334
-155,"Median",13.6293100656382
-145,"Median",17.5565653684015
-135,"Median",36.8966961230986
-125,"Median",37.3600198405659
-115,"Median",10.6382233413364
-105,"Median",12.6970035034685
-95,"Median",15.9169143169333
-85,"Median",26.2538986197962
-75,"Median",57.9712008675377
-65,"Median",24.7700984442865
-55,"Median",13.8189999221982
-45,"Median",9.59117379219516
-35,"Median",8.99021410662708
-25,"Median",11.2460149800794
-15,"Median",14.4247617108755
-5,"Median",23.2866901140144
5,"Median",67.1370606770791
15,"Median",25.8176529470129
25,"Median",10.7332731554056
35,"Median",14.2627226731642
45,"Median",16.2204739050871
55,"Median",68.9171130957046
65,"Median",30.5663464546344
75,"Median",15.4586962283095
85,"Median",10.9366626741414
95,"Median",7.1893484527707
105,"Median",8.95906300915028
115,"Median",16.0524180055079
125,"Median",6.31421626746674
135,"Median",7.57272343283063
145,"Median",12.2008099909255
155,"Median",17.084293164119
165,"Median",32.1761231789279
175,"Median",102.031837185793
185,"Median",28.5858554651158
195,"Median",17.8701991385879
-195,"Avg",18.4438086426892
-185,"Avg",10.4646636107745
-175,"Avg",8.53124018066586
-165,"Avg",9.09201875757257
-155,"Avg",21.3254630945266
-145,"Avg",17.6009619670165
-135,"Avg",33.2098582225903
-125,"Avg",30.4854924508688
-115,"Avg",16.7835404648401
-105,"Avg",12.1964935873977
-95,"Avg",14.3493017561646
-85,"Avg",22.2897066593142
-75,"Avg",60.7882765881424
-65,"Avg",19.6727654225142
-55,"Avg",12.8798489336216
-45,"Avg",10.1486591654311
-35,"Avg",9.44265300930707
-25,"Avg",11.4851031259675
-15,"Avg",12.9518809301667
-5,"Avg",17.9841419705036
5,"Avg",52.7266660342944
15,"Avg",27.063969265432
25,"Avg",13.3356320692469
35,"Avg",12.242245646058
45,"Avg",24.7370504756906
55,"Avg",52.0085729443801
65,"Avg",21.9326145913473
75,"Avg",13.2146022362371
85,"Avg",10.0269899492774
95,"Avg",7.83831952227591
105,"Avg",8.89149059253571
115,"Avg",16.9713096617504
125,"Avg",46.3576188757574
135,"Avg",16.1718875197788
145,"Avg",15.295074662476
155,"Avg",16.431882107086
165,"Avg",27.0228643075286
175,"Avg",94.5197462174776
185,"Avg",26.3444776401299
195,"Avg",16.6599104106157
-195,"Min",2.59725337791084
-185,"Min",2.78770434848725
-175,"Min",3.37200920026276
-165,"Min",4.08745878737893
-155,"Min",5.3364385976937
-145,"Min",5.16549209998351
-135,"Min",4.23346624114212
-125,"Min",4.05252377216918
-115,"Min",3.91175075043145
-105,"Min",3.79499873010894
-95,"Min",5.61302367008269
-85,"Min",3.19964385311269
-75,"Min",7.3278134884628
-65,"Min",5.07947971531746
-55,"Min",5.1503847210356
-45,"Min",6.6329564726379
-35,"Min",7.70912105569295
-25,"Min",8.58817147326663
-15,"Min",3.14970194668855
-5,"Min",3.42552484538126
5,"Min",2.03505912194244
15,"Min",2.46721965570824
25,"Min",3.46145033139455
35,"Min",3.89516819500635
45,"Min",4.6884355203983
55,"Min",2.79430344907207
65,"Min",3.03999688126529
75,"Min",3.86373637835186
85,"Min",5.08196890278167
95,"Min",4.18035672300832
105,"Min",4.20611292409092
115,"Min",4.62620124616214
125,"Min",5.38871084474168
135,"Min",2.93492141762278
145,"Min",3.38265358867676
155,"Min",13.7370785893503
165,"Min",10.5677531977253
175,"Min",11.0945284262756
185,"Min",9.60850928895198
195,"Min",5.7371499156435
