"position.disgap","Type","TLC"
-195,"Max",18.2388975433987
-185,"Max",18.1599795096816
-175,"Max",20.2324659626911
-165,"Max",20.1488732152075
-155,"Max",24.6857015515037
-145,"Max",22.3506385946555
-135,"Max",22.2245277527938
-125,"Max",21.7760151908727
-115,"Max",21.3172577974453
-105,"Max",20.8502593131964
-95,"Max",19.9515492480737
-85,"Max",19.1588053026108
-75,"Max",17.6994188925261
-65,"Max",13.5695675333725
-55,"Max",13.2168849059328
-45,"Max",12.637330597389
-35,"Max",12.2889501485189
-25,"Max",11.8236716297186
-15,"Max",11.2497069874993
-5,"Max",18.5343726352278
5,"Max",14.7863393294605
15,"Max",14.4457705646623
25,"Max",41.5923541191989
35,"Max",41.0651936982013
45,"Max",40.4876534277762
55,"Max",39.4186713653854
65,"Max",51.6123569340393
75,"Max",15.6881444169139
85,"Max",15.4886259143294
95,"Max",15.2412663701463
105,"Max",14.7923121440715
115,"Max",43.847367352429
125,"Max",42.8734225603991
135,"Max",42.1120540887036
145,"Max",41.1085292179786
155,"Max",38.1252881290692
165,"Max",37.2622749797123
175,"Max",39.4048777219249
185,"Max",23.5658111760728
195,"Max",30.7012700255062
-195,"P85",16.5529807852533
-185,"P85",16.4321905064916
-175,"P85",17.1711422966163
-165,"P85",17.1227185601148
-155,"P85",18.119714540729
-145,"P85",20.8784811251696
-135,"P85",19.6297316762674
-125,"P85",19.399839929983
-115,"P85",21.063984765907
-105,"P85",20.7545894262694
-95,"P85",19.3223322257966
-85,"P85",17.8418153169409
-75,"P85",15.2934638862446
-65,"P85",12.646199997441
-55,"P85",12.3462159604716
-45,"P85",11.8856427604601
-35,"P85",11.5950357674291
-25,"P85",11.2539968218286
-15,"P85",10.9454390279568
-5,"P85",13.8850029274738
5,"P85",14.6454957222766
15,"P85",13.3172644859988
25,"P85",25.2680745881251
35,"P85",29.8224904380938
45,"P85",29.4451530726957
55,"P85",28.7298960079044
65,"P85",34.6868800205291
75,"P85",15.0527465125874
85,"P85",14.9378834927787
95,"P85",14.7108392154314
105,"P85",14.4363689260635
115,"P85",32.8024171042163
125,"P85",42.1940603449324
135,"P85",41.5129497533419
145,"P85",35.6060661067923
155,"P85",29.9221733835288
165,"P85",29.3562315669311
175,"P85",37.812729897618
185,"P85",22.6049653370995
195,"P85",25.2740711948761
-195,"Median",12.9604427355521
-185,"Median",12.481840407829
-175,"Median",11.923713254929
-165,"Median",12.0250991315866
-155,"Median",12.0117422005434
-145,"Median",17.9786611032898
-135,"Median",15.2751959368907
-125,"Median",15.3599735587087
-115,"Median",15.2204677047448
-105,"Median",15.3266494614024
-95,"Median",17.7460313364447
-85,"Median",12.1958120001818
-75,"Median",12.1683779895898
-65,"Median",9.88346630456191
-55,"Median",9.66226872625312
-45,"Median",9.38383720488794
-35,"Median",9.03650846127547
-25,"Median",8.79109809352815
-15,"Median",8.46151925790059
-5,"Median",10.4925002748053
5,"Median",12.1768411568472
15,"Median",11.4886193687267
25,"Median",11.0268526967581
35,"Median",19.1092789799598
45,"Median",16.2217735148392
55,"Median",16.0731901707431
65,"Median",15.9245495782197
75,"Median",10.8905256392915
85,"Median",10.725059421962
95,"Median",11.3897587836729
105,"Median",10.3832547255626
115,"Median",23.5525874700894
125,"Median",17.3386401805499
135,"Median",27.6383393421662
145,"Median",16.3176238977694
155,"Median",14.2061542277532
165,"Median",14.5743089935784
175,"Median",16.3139549603118
185,"Median",16.0427922231261
195,"Median",15.762427398791
-195,"Avg",12.504385764743
-185,"Avg",12.3583467625789
-175,"Avg",12.9863288649323
-165,"Avg",12.8224401788614
-155,"Avg",14.4152091559302
-145,"Avg",17.0075386674566
-135,"Avg",14.8617051231726
-125,"Avg",14.7262302759997
-115,"Avg",15.1828042480508
-105,"Avg",15.0223244697188
