NO,K_Start,CrossSect,tunnel,bridge,Lane,LaneWidth,RoadWidth
1,0,SZ highway - 一般双向8车道-------路基41m 1,F,T,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,41
2,0,SZ highway - 一般双向8车道-------路基41m 2,F,T,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,41
3,223,SZ highway - 一般双向8车道-------路基41m 3,F,T,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,41
4,343,SZ highway - 343m左5右5 1,F,T,10,3.4/3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.7/3.6,43.8
5,543,SZ highway - 543m左5右5 1,F,T,10,3.4/3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.7/3.6,43.8
6,543.01,SZ highway - 543m左5右5 2,F,T,10,3.4/3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.7/3.6,43.8
7,637.16,SZ highway - 637.16m左5右6 1,F,T,11,5.06/3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.7/3.4/3.6,48.86
8,637.17,SZ highway - 637.17m左5右6 1,F,T,11,5.06/3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.7/3.4/3.6,48.86
9,637.18,SZ highway - 637.17m左5右6 2,F,T,11,5.06/3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.7/3.4/3.6,48.86
10,737.17,SZ highway - 737.17m左6右6 1,F,T,12,3.4/3.4/3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.8/9/3.6,56.3
11,737.18,SZ highway - 737.18m左6右4 1,F,T,10,3.4/3.4/3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,45.8
12,737.19,SZ highway - 737.18m左6右4 2,F,T,10,3.4/3.4/3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,45.8
13,893.47,SZ highway - 893.468m左6右4 1,F,T,10,3.4/3.5/9.3/3.7/3.7/3.9/3.7/3.7/3.7/3.9,51.5
14,893.48,SZ highway - 一般双向8车道-------路基41m 4,F,T,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,41
15,1616.17,SZ highway - 一般双向8车道-------绿化 1,F,T,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,41
16,1616.18,SZ highway - 一般双向8车道-------绿化 2,F,T,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,41
17,2350,SZ highway - 一般双向8车道-------绿化 3,F,F,10,2.05/3.7/3.7/3.81/1.74/1.65/3.7/3.7/3.79/2.16,42.55
18,2754.99,SZ highway - 一般双向8车道43.8m 1,F,F,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,43.8
19,2755,SZ highway - 一般双向8车道43.8m 2,T,F,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,43.8
20,2755.01,SZ highway - 一般双向8车道-------隧道 1,T,F,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,43.8
21,3377.78,SZ highway - 3377.78m左6右6 1,T,F,12,3.4/3.5/7.7/3.7/3.7/3.9/3.7/3.7/3.7/3.8/7.4/3.6,64.8
22,3377.79,SZ highway - 3377.78m左6右6 2,T,F,12,3.4/3.5/7.7/3.7/3.7/3.9/3.7/3.7/3.7/3.8/7.4/3.6,64.8
23,3497.24,SZ highway - 3497.238m左6右6 1,T,F,12,3.4/3.4/3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.8/4.67/3.6,57.97
24,3497.25,SZ highway - 3497.25m左6右6 1,T,F,12,3.4/3.4/3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.8/4.67/3.6,57.97
25,3497.26,SZ highway - 3497.25m左6右6 2,T,F,12,3.4/3.4/3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.8/4.67/3.6,57.97
26,3547.78,SZ highway - 3547.78m左5右6 1,T,F,11,5.09/3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.7/3.4/3.6,54.89
27,3547.79,SZ highway - 3547.79m左5右6 1,T,F,11,5.09/3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.7/3.4/3.6,54.89
28,3547.8,SZ highway - 3547.79m左5右6 2,T,F,11,5.09/3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.7/3.4/3.6,54.89
29,3597.57,SZ highway - 3597.565m左5右5 1,T,F,10,3.4/3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.7/6.09,52.29
30,3597.58,SZ highway - 3597.58m左5右5 1,T,F,10,3.4/3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.7/6.09,52.29
31,3604.95,SZ highway - 3597.58m左5右5 2,T,F,10,3.4/3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.7/6.09,52.29
32,3732.83,SZ highway - 3732.826m左5右5 1,T,F,10,3.4/3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.7/3.6,49.8
33,3732.84,SZ highway - 3732.84m左5右5 1,T,F,10,3.4/3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.7/3.6,49.8
34,3874.57,SZ highway - 3732.84m左5右5 2,T,F,10,3.4/3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.7/3.6,49.8
35,3927.57,SZ highway - 3927.565m左4右5 1,T,F,9,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.7/3.6,46.8
36,4082.83,SZ highway - 3927.565m左4右5 2,T,F,9,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.7/3.6,46.8
37,4242.83,SZ highway - 一般双向8车道-------隧道 2,T,F,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,43.8
38,9433,SZ highway - 一般双向8车道-------隧道 3,F,F,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,43.8
39,9434,SZ highway - 一般双向8车道43.8m----出口 1,F,F,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,43.8
40,9434.01,SZ highway - 一般双向8车道43.8m----出口 2,F,F,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,43.8
41,9756.9,SZ highway - 一般双向8车道-------路基40.5 1,F,T,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,40.5
42,9756.9,SZ highway - 一般双向8车道-------路基40.5 2,F,F,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,40.5
43,9756.95,SZ highway - 50m非通航孔桥 1,F,T,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,40.5
44,11005,SZ highway - 110m非通航孔桥 1,F,T,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,40.5
45,12089,SZ highway - 伶仃西航道桥 1,F,T,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,40.5
46,14909,SZ highway - 110m非通航孔桥 2,F,T,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,40.5
47,19529.5,SZ highway - 50m非通航孔桥 2,F,T,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,40.5
48,22760,SZ highway - 110m非通航孔桥 3,F,T,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,40.5
49,23145,SZ highway - 横门东水道桥 1,F,T,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,40.5
50,24345,SZ highway - 110m非通航孔桥 4,F,T,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,40.5
51,26423.1,SZ highway - 110m非通航孔桥 5,F,F,8,3.7/3.7/3.7/3.9/3.7/3.7/3.7/3.9,40.5
