"Position","Speed_x_max","Speed_x_85","Speed_x_median","Speed_x_mean","Speed_x_min","Driver_ID"
-195,-43.848,-43.8534,-43.884,-43.8872727272727,-43.92,"Driver01"
-185,-43.668,-43.668,-43.74,-43.7382,-43.848,"Driver01"
-175,-43.416,-43.4466,-43.542,-43.5384,-43.668,"Driver01"
-165,-43.236,-43.272,-43.344,-43.3285714285714,-43.416,"Driver01"
-155,-43.056,-43.092,-43.164,-43.1451428571429,-43.236,"Driver01"
-145,-42.84,-42.876,-42.984,-42.96,-43.056,"Driver01"
-135,-42.624,-42.696,-42.768,-42.7577142857143,-42.84,"Driver01"
-125,-42.372,-42.3828,-42.444,-42.4627826086957,-42.588,"Driver01"
-115,-42.084,-42.1092,-42.192,-42.1976842105263,-42.336,"Driver01"
-105,-41.832,-41.868,-41.976,-41.952,-42.048,"Driver01"
-95,-41.544,-41.5494,-41.652,-41.6454545454545,-41.796,"Driver01"
-85,-41.436,-41.436,-41.472,-41.4828,-41.544,"Driver01"
-75,-41.364,-41.364,-41.4,-41.3967272727273,-41.436,"Driver01"
-65,-41.22,-41.256,-41.292,-41.2887272727273,-41.364,"Driver01"
-55,-40.968,-41.004,-41.058,-41.0706,-41.184,"Driver01"
-45,-40.788,-40.824,-40.896,-40.8857142857143,-40.968,"Driver01"
-35,-40.572,-40.572,-40.68,-40.6731428571429,-40.752,"Driver01"
-25,-40.392,-40.3974,-40.464,-40.464,-40.536,"Driver01"
-15,-40.212,-40.248,-40.284,-40.2908571428571,-40.392,"Driver01"
-5,-40.032,-40.032,-40.104,-40.0937142857143,-40.176,"Driver01"
5,-39.816,-39.852,-39.924,-39.9174545454545,-39.996,"Driver01"
15,-39.564,-39.6,-39.708,-39.7062857142857,-39.816,"Driver01"
25,-39.204,-39.276,-39.384,-39.372,-39.528,"Driver01"
35,-38.808,-38.844,-38.988,-38.9847272727273,-39.168,"Driver01"
45,-38.376,-38.448,-38.592,-38.5937142857143,-38.772,"Driver01"
55,-37.908,-37.9494,-38.142,-38.1321818181818,-38.376,"Driver01"
