"Position","Steering_max","Steering_85","Steering_median","Steering_mean","Steering_min","Driver_ID"
-195,0.001,0.001,0,0.000181818181818182,-0.001,"Driver01"
-185,0.001,0.001,0.001,0.001,0.001,"Driver01"
-175,0.001,0.001,0.001,0.001,0.001,"Driver01"
-165,0.001,0.001,0.001,0.001,0.001,"Driver01"
-155,0.001,0.001,0.001,0.001,0.001,"Driver01"
-145,0.001,0.001,0.001,0.001,0.001,"Driver01"
-135,0.001,0.001,0.001,0.001,0.001,"Driver01"
-125,0.001,0.001,0.001,0.001,0.001,"Driver01"
-115,0.001,0.001,0.001,0.001,0.001,"Driver01"
-105,0.001,0.001,0.001,0.001,0.001,"Driver01"
-95,0.001,0.001,0.001,0.000545454545454545,0,"Driver01"
-85,0,0,0,0,0,"Driver01"
-75,0,0,0,0,0,"Driver01"
-65,0.001,0.001,0.001,0.000863636363636364,0,"Driver01"
-55,0.001,0.001,0.001,0.001,0.001,"Driver01"
-45,0.001,0.001,0.001,0.001,0.001,"Driver01"
-35,0.001,0.001,0.001,0.001,0.001,"Driver01"
-25,0.001,0.001,0.001,0.001,0.001,"Driver01"
-15,0.001,0.001,0.001,0.001,0.001,"Driver01"
-5,0.001,0.001,0.001,0.001,0.001,"Driver01"
5,0.002,0.001,0.001,0.00109090909090909,0.001,"Driver01"
15,0.003,0.003,0.003,0.00280952380952381,0.002,"Driver01"
25,0.003,0.003,0.003,0.003,0.003,"Driver01"
35,0.003,0.003,0.003,0.003,0.003,"Driver01"
45,0.004,0.004,0.004,0.00380952380952381,0.003,"Driver01"
55,0.004,0.004,0.003,0.00304545454545455,0.002,"Driver01"
65,0.002,0.002,0.002,0.002,0.002,"Driver01"
75,0.002,0.002,0.002,0.002,0.002,"Driver01"
85,0.002,0.002,0.002,0.002,0.002,"Driver01"
95,0.002,0.002,0.002,0.002,0.002,"Driver01"
105,0.002,0.002,0.002,0.002,0.002,"Driver01"
115,0.002,0.002,0.002,0.002,0.002,"Driver01"
125,0.002,0.002,0.002,0.002,0.002,"Driver01"
135,0.002,0.002,0.002,0.002,0.002,"Driver01"
145,0.002,0.002,0.002,0.002,0.002,"Driver01"
155,0.002,0.001,0.001,0.00104545454545455,0.001,"Driver01"
165,0.001,0.001,0.001,0.001,0.001,"Driver01"
175,0.001,0.001,0.001,0.001,0.001,"Driver01"
185,0.001,0.001,0.001,0.001,0.001,"Driver01"
195,0.002,0.001,0.001,0.00113636363636364,0.001,"Driver01"
-195,0.004,0.00385,0.0015,0.00168181818181818,-0.001,"Driver02"
-185,-0.002,-0.003,-0.004,-0.00376190476190476,-0.004,"Driver02"
-175,-0.003,-0.004,-0.004,-0.00390909090909091,-0.004,"Driver02"
-165,0,0,0,-0.00080952380952381,-0.003,"Driver02"
-155,0.004,0.004,0.002,0.00222727272727273,0,"Driver02"
-145,0.004,0.004,0.004,0.004,0.004,"Driver02"
