"Position","SteeringCR_max","SteeringCR_85","SteeringCR_median","SteeringCR_mean","SteeringCR_min","Driver_ID"
-195,0.0100000000000006,0.00526315789473691,0.00500000000000028,0.00458254654018457,0,"Driver01"
-185,0.00500000000000028,0.00489634146341432,0,0.000993902439024382,0,"Driver01"
-175,0,0,0,0,0,"Driver01"
-165,0,0,0,0,0,"Driver01"
-155,0,0,0,0,0,"Driver01"
-145,0,0,0,0,0,"Driver01"
-135,0,0,0,0,0,"Driver01"
-125,0,0,0,0,0,"Driver01"
-115,0,0,0,0,0,"Driver01"
-105,0,0,0,0,0,"Driver01"
-95,0,0,0,-0.00229172332830868,-0.00540540540540534,"Driver01"
-85,0,0,0,-0.000250000000000014,-0.00500000000000028,"Driver01"
-75,0,0,0,0,0,"Driver01"
-65,0.00500000000000028,0.00500000000000028,0.00499999999999957,0.00294900221729488,0,"Driver01"
-55,0,0,0,0,0,"Driver01"
-45,0,0,0,0,0,"Driver01"
-35,0,0,0,0,0,"Driver01"
-25,0,0,0,0,0,"Driver01"
-15,0,0,0,0,0,"Driver01"
-5,0,0,0,0,0,"Driver01"
5,0.00500000000000028,0,0,0.000454545454545448,0,"Driver01"
15,0.0100000000000006,0.0100000000000006,0.00500000000000028,0.00523809523809523,0,"Driver01"
25,0,0,0,0,0,"Driver01"
35,0,0,0,0,0,"Driver01"
45,0.00500000000000028,0.00500000000000028,0.00499999999999957,0.00285714285714285,0,"Driver01"
55,0,0,-0.00500000000000028,-0.00454901381767957,-0.0102564102564106,"Driver01"
65,0,0,0,-0.00093696311654003,-0.00526315789473691,"Driver01"
75,0,0,0,0,0,"Driver01"
85,0,0,0,0,0,"Driver01"
95,0,0,0,0,0,"Driver01"
105,0,0,0,0,0,"Driver01"
115,0,0,0,0,0,"Driver01"
125,0,0,0,0,0,"Driver01"
135,0,0,0,0,0,"Driver01"
145,0,0,0,0,0,"Driver01"
155,0,0,-0.00493902439024354,-0.00274015700844971,-0.00540540540540617,"Driver01"
165,0,0,0,0,0,"Driver01"
175,0,0,0,0,0,"Driver01"
185,0,0,0,0,0,"Driver01"
195,0.00526315789473691,0,0,0.000693779904306184,0,"Driver01"
-195,-0.00499999999999993,-0.00575000000000023,-0.0125000000000002,-0.0115909090909091,-0.0150000000000009,"Driver02"
-185,0,0,-0.0151515151515157,-0.013040941907937,-0.0252525252525261,"Driver02"
-175,0.00499999999999993,0,0,0.000454545454545448,0,"Driver02"
-165,0.0199999999999997,0.0150000000000009,0.00999999999999986,0.0109523809523809,0,"Driver02"
-155,0.0199999999999997,0.0150000000000007,0.00999999999999986,0.00954545454545454,0,"Driver02"
-145,0.00999999999999986,0.00499999999999993,0,0.00142857142857143,0,"Driver02"
-135,0,0,0,-0.00136363636363638,-0.0100000000000006,"Driver02"
-125,0,0,0,-0.00391304347826088,-0.0100000000000006,"Driver02"
-115,0,0,0,0,0,"Driver02"
-105,0,-0.00499999999999993,-0.00526315789473691,-0.00649241929087888,-0.0105263157894738,"Driver02"
-95,0,0,-0.00499999999999993,-0.00484383930147725,-0.0105263157894738,"Driver02"
-85,0,0,0,0,0,"Driver02"
-75,0,0,0,0,0,"Driver02"
-65,0.0102564102564106,0.00999999999999986,0.00493902439024389,0.00431349138666216,0,"Driver02"
-55,0.00512820512820531,0.00499999999999993,0,0.00172427254611774,0,"Driver02"
-45,0.0199999999999997,0.0157894736842107,0.0102564102564099,0.010164150594189,0,"Driver02"
-35,0.00540540540540534,0,0,0.000467429735722418,0,"Driver02"
-25,0.0105263157894738,0.0100000000000004,0.00499999999999993,0.00483603644344846,0,"Driver02"
-15,0,0,0,0,0,"Driver02"
-5,0,-0.00499999999999993,-0.0144599303135886,-0.0116188202360919,-0.0205128205128212,"Driver02"
5,0,0,-0.0129054054054052,-0.0114004914004914,-0.0250000000000014,"Driver02"
